Ticker,Predicted_Direction,Predicted_Probability,Quarter_Date,Staleness_Days,debt_to_equity,roce,roe,roc_1m,roc_3m,volatility_30d,rsi_14d,Rank,Category,Confidence
CGCL.NS,1,0.6386559388392823,2025-09-01,180,2.1078758949880667,11.0,,-10.902805720249406,-15.127036678109542,33.29179092879062,29.22030438264909,1,Buy,0.2773118776785646
MAHSCOOTER.NS,1,0.6368761296228242,2025-09-01,180,0.12834337988065309,1.0,,0.5155029944659237,-9.833390003400204,27.01479621314833,34.55031166518255,2,Buy,0.2737522592456485
AWFIS.NS,1,0.6358665759418209,2025-09-01,180,4.442424242424242,13.0,,-25.88086339759585,-45.44776233274545,56.359877393852244,14.576256528178178,3,Buy,0.2717331518836419
SICALLOG.NS,1,0.6358665759418209,2025-09-01,180,15.40625,-6.0,,-28.234122025489672,-26.930023726039632,59.15843989717274,14.950264964092966,4,Buy,0.2717331518836419
PURVA.NS,1,0.63402739467067,2025-09-01,180,5.30835734870317,1.0,,-11.59020234853494,-20.448899508000377,39.10663324335993,18.56648526668242,5,Buy,0.2680547893413401
KHADIM.NS,1,0.6330810039992182,2025-09-01,180,2.4698795180722892,9.0,,-30.257210754803577,-41.57243503684511,43.29797838047162,1.3850650521059862,6,Buy,0.26616200799843637
EIHOTEL.NS,1,0.6327862957675842,2025-09-01,180,0.1853146853146853,22.0,,1.2758338538702862,-16.15189796560911,28.33165554137334,21.709909145063023,7,Buy,0.2655725915351683
EUREKAFORB.NS,1,0.6313289238345022,2025-09-01,180,0.5043381535038932,5.0,,-9.552324145243835,-21.60158697433989,34.0667989986233,26.884295186223113,8,Buy,0.26265784766900446
KCP.NS,1,0.6295755975488131,2025-09-01,180,1.0422721268163804,4.0,,-8.342511989901192,-13.649020008857416,31.269382392057725,15.048105647785789,9,Buy,0.2591511950976262
SABTNL.NS,1,0.6293552879225395,2025-09-01,180,,143.0,,-30.860004067136703,-14.265318715973102,66.69990420253043,12.204208857907119,10,Buy,0.25871057584507895
