Ticker,Predicted_Direction,Predicted_Probability,Quarter_Date,Staleness_Days,debt_to_equity,roce,roe,roc_1m,roc_3m,volatility_30d,rsi_14d,Rank,Category,Confidence
VARDHACRLC.NS,1,0.7745013559118492,2025-09-01,302,0.47391304347826085,7.0,,3.8022775772322057,47.51772848631888,28.711985042134398,40.469608092636,1,Strong Buy,0.5490027118236984
HERANBA.NS,1,0.7594545955350547,2025-09-01,302,1.0655737704918034,9.0,,0.8937670889437332,7.601467609947256,41.6435674490649,47.59316307224993,2,Strong Buy,0.5189091910701094
ZUARI.NS,1,0.730769899104476,2025-09-01,302,0.87151841868823,0.0,,3.3683052554766593,19.569751099244048,32.51769518140619,61.87989380599724,3,Strong Buy,0.46153979820895197
MAGNUM.NS,1,0.7285990822640178,2025-09-01,302,0.7684365781710915,4.0,,-1.8858349816862459,6.294861133228351,26.04163200518279,37.20933327221945,4,Strong Buy,0.45719816452803563
GMRAIRPORT.NS,1,0.7230846119620865,2025-09-01,302,0.39857363290805764,1.0,,15.485265977081317,32.25958269957596,26.19281336885845,79.13406164806081,5,Strong Buy,0.446169223924173
TAKE.NS,1,0.7145249904145713,2025-09-01,302,0.2571801566579636,17.96,,-17.889605383182015,-33.60461849772635,39.57026746286193,10.909097844904124,6,Strong Buy,0.4290499808291426
ARCHIES.NS,1,0.7087439203265136,2025-09-01,302,0.4944734418176235,4.06,,-5.119677566770994,6.492543761197666,28.276889130354583,49.30555624542411,7,Strong Buy,0.41748784065302713
GOLDENTOBC.NS,1,0.7060376343591779,2021-12-01,1672,-2.343570057581574,,,-0.51060159246386,6.473303694467615,44.87961097270806,48.32041190846008,8,Strong Buy,0.41207526871835576
PVSL.NS,1,0.7025814158014408,2025-09-01,302,2.251732101616628,1.0,,-6.028293211223391,0.8915852521659797,35.39827917283676,37.04869692590811,9,Strong Buy,0.4051628316028817
BTML.NS,1,0.7008933525107525,2025-09-01,302,0.5194871143836487,23.07,,0.49505297180893054,6.468538041394635,40.085746936674425,31.896560937691405,10,Strong Buy,0.40178670502150493
HAVISHA.NS,1,0.7008644191255895,2025-09-01,302,2.3613861386138613,-0.2,,-14.00000254313151,16.216211281816665,30.55538217969658,26.470569673289333,11,Strong Buy,0.401728838251179
GLOBE.NS,1,0.7000368464561193,2025-09-01,302,1.6012658227848102,9.0,,-5.555550461141285,1.3761454344538677,21.93883610415176,35.71428571428572,12,Strong Buy,0.4000736929122386
PGHL.NS,1,0.6975017981291243,2025-09-01,302,0.44193548387096776,48.0,,4.46664464993395,28.152404434183463,35.329475684748836,58.662613981762924,13,Buy,0.39500359625824855
TATACOMM.NS,1,0.6932517179092711,2025-09-01,302,1.002372713791399,6.0,,2.3637992121303393,47.52719992352748,42.70946545718641,51.35397617636832,14,Buy,0.3865034358185422
HARDWYN.NS,1,0.6854467530425177,2025-09-01,302,0.16209476309226933,4.0,,-3.992016089647368,19.53279440308854,32.06939421489759,50.26360972352489,15,Buy,0.37089350608503535
VHLTD.NS,1,0.68480728661714,2025-09-01,302,0.2682926829268293,10.0,,-7.181096310638411,-6.90864433167855,23.22141064182213,35.64075036237614,16,Buy,0.36961457323427993
MPHASIS.NS,1,0.6833749069171254,2025-09-01,302,0.3609923011120616,34.0,,-6.444488307455096,5.289824532696055,24.784583950687257,29.887771693086407,17,Buy,0.36674981383425087
RICOAUTO.NS,1,0.6802380835480722,2025-09-01,302,1.5982142857142858,6.0,,13.690579024021893,28.816138419925412,60.89026647352248,51.91480155686987,18,Buy,0.3604761670961445
BIOCON.NS,1,0.679560993434676,2025-09-01,302,0.2401301382719139,2.0,,-1.726772279786078,15.904681315386279,14.078678590836727,55.331379155376496,19,Buy,0.35912198686935204
REMSONSIND.NS,1,0.678301106317402,2025-09-01,302,1.188034188034188,11.0,,-16.153358254099597,-5.338965823189905,41.63132885578945,45.5592186270164,20,Buy,0.35660221263480407
MANOMAY.NS,1,0.6778984069449819,2025-09-01,302,3.107594936708861,13.0,,3.129771604341768,-21.1617358472015,40.01436868183085,48.444451631868375,21,Buy,0.35579681388996387
MFML.NS,1,0.677816394172652,2025-09-01,302,0.7263392304837313,-6.18,,-15.073972104206668,-11.389234962202746,42.893954262329466,32.232688323088325,22,Buy,0.3556327883453041
KARMAENG.NS,1,0.6767925862329289,2025-09-01,302,0.23071377072819038,1.38,,-9.053136739755978,10.02645765085488,43.25183604871782,48.35164906035161,23,Buy,0.35358517246585786
PRABHA.NS,1,0.6755354086597415,2025-09-01,302,0.5054519467945318,-0.4,,-2.2465465981048918,4.996932909201074,24.20259677461495,39.8373788327314,24,Buy,0.351070817319483
ASAHIINDIA.NS,1,0.6743018472333517,2025-09-01,302,1.0822134387351778,12.0,,-5.80544701930553,4.050916363980786,38.075657820074994,43.40956588936783,25,Buy,0.3486036944667035
GSLSU.NS,1,0.6740719600169853,2025-09-01,302,0.2,4.0,,-22.51241144790882,-17.359746083930375,52.92327253758725,25.777037286818356,26,Buy,0.34814392003397066
ESSARSHPNG.NS,1,0.6719341756053977,2025-09-01,302,-1.0266552020636286,122.0,,-3.386285381935,4.66485819839,27.2827814505732,50.61476803440731,27,Buy,0.3438683512107954
CHENNPETRO.NS,1,0.6685155580566846,2025-09-01,302,0.9039046060322656,4.0,,5.415263295831592,20.4796873260079,41.28943004540243,45.965420706065444,28,Buy,0.3370311161133692
PRIVISCL.NS,1,0.6676298561762323,2025-09-01,302,1.1192,18.0,,12.810272986452938,24.283345580163886,31.424258770611484,77.06201862588412,29,Buy,0.33525971235246455
NLCINDIA.NS,1,0.6670784530973831,2025-09-01,302,1.1008839779005526,9.0,,-4.266390915152606,19.88086101379483,31.24830180245077,60.91549579550199,30,Buy,0.33415690619476623
OBEROIRLTY.NS,1,0.6652686854452087,2025-09-01,302,0.4315609370887076,15.0,,7.263242693376978,21.577800917154832,25.64831977290306,86.12690238106471,31,Buy,0.33053737089041735
FEL.NS,1,0.6648523858028935,2023-03-01,1217,-14.30607476635514,-10.0,,-9.090907243657693,2.5641078544558447,25.432607087943705,28.571434653533203,32,Buy,0.32970477160578704
GNFC.NS,1,0.6648336544736574,2025-09-01,302,0.2601549659544494,10.0,,8.832372861859456,48.287626228010815,34.55677912464305,69.09509993922228,33,Buy,0.3296673089473148
INVENTURE.NS,1,0.6633392289965291,2025-09-01,302,0.35200635677393716,1.65,,-3.124997089616889,4.494384505685279,25.845886001773238,44.44445180303984,34,Buy,0.32667845799305817
KAYA.NS,1,0.6619151062019508,2025-09-01,302,-4.311827956989247,-6.0,,1.7553226890582116,-0.4642800215217016,49.927461900413036,52.595548419671,35,Buy,0.32383021240390164
CMSINFO.NS,1,0.6618223615022699,2025-09-01,302,0.32748538011695905,22.0,,-7.818655804921691,5.647590231663572,22.91709061742461,39.98043052837574,36,Buy,0.32364472300453984
ALICON.NS,1,0.6611140095548973,2025-09-01,302,1.175,11.0,,-0.846889636109171,6.663926752164991,26.90713928403956,57.167027888306386,37,Buy,0.3222280191097946
MODTHREAD.NS,1,0.6603757429301005,2025-09-01,302,0.7279411764705882,3.0,,9.722221755009649,11.242732656663703,40.19512295487749,70.17974276336929,38,Buy,0.32075148586020097
RAMKY.NS,1,0.6598090722852185,2025-09-01,302,1.0048543689320388,23.0,,-8.197097428422202,-10.108584912899012,33.89641141060407,32.923274184938165,39,Buy,0.3196181445704369
SUNTECK.NS,1,0.6593540728008382,2025-09-01,302,0.35881877022653724,8.0,,7.340241796200346,13.744504434543483,39.689189705580425,67.71301154159988,40,Buy,0.3187081456016765
BESTAGRO.NS,1,0.6584300482929527,2025-09-01,302,1.183838383838384,14.0,,-3.562498092651367,25.447155007352208,44.03850829130624,45.375725729809105,41,Buy,0.3168600965859054
BANSWRAS.NS,1,0.65767822132296,2025-09-01,302,1.25,7.0,,10.554092332282279,26.669819332907647,47.516233429384336,54.526757656606705,42,Buy,0.3153564426459201
USHAMART.NS,1,0.6567545232723017,2025-09-01,302,0.25534591194968553,27.0,,1.2531826584787316,26.93830077943194,34.45990545941136,58.70379947785049,43,Buy,0.3135090465446033
CEREBRAINT.NS,1,0.6565913995561676,2025-09-01,302,0.636986301369863,-15.0,,1.2012000831672758,-12.91989702288498,47.05264703666974,38.97058617285059,44,Buy,0.31318279911233526
TIINDIA.NS,1,0.6561385554434045,2025-09-01,302,0.26351962380177246,32.0,,-0.893150819731316,20.339251979053934,35.241470557133646,47.753878468021746,45,Buy,0.312277110886809
NEULANDLAB.NS,1,0.6558730228340391,2025-09-01,302,0.5707196029776674,19.0,,8.725421348314606,53.96536007292616,24.374599104321426,70.75499850790808,46,Buy,0.3117460456680783
TRIVENI.NS,1,0.6558490186819068,2025-09-01,302,0.38780804150453957,9.0,,15.545521927342298,11.373219449301688,27.539502094058005,83.53737881209906,47,Buy,0.31169803736381363
ELDEHSG.NS,1,0.6550843455248123,2025-09-01,302,1.2623906705539358,10.0,,2.3891202452265143,-0.6290053851406493,34.56406296538461,39.679807223009846,48,Buy,0.31016869104962463
FLAIR.NS,1,0.6540208314820607,2025-09-01,302,0.17172675521821631,16.0,,-9.90991181519841,-8.963587379699463,39.81352867829934,28.468220710847774,49,Buy,0.3080416629641214
GPTHEALTH.NS,1,0.6539638398156858,2025-09-01,302,0.8228346456692913,27.0,,4.290730949604633,22.029579483059294,26.92272614331115,47.10743255740218,50,Buy,0.3079276796313717
GREENPANEL.NS,1,0.653950315175286,2025-09-01,302,0.5422382671480145,4.0,,2.9315013029625585,11.97022018131653,46.21856258748597,40.07742136389383,51,Buy,0.307900630350572
ALANKIT.NS,1,0.6537023030064181,2025-09-01,302,0.14860681114551083,7.0,,-5.5555610745039266,8.945261639092449,31.209888117906875,46.34145585029013,52,Buy,0.30740460601283615
IKIO.NS,1,0.653529265995823,2025-09-01,302,0.04722792607802875,7.0,,1.9880493827666588,41.4795523273527,29.847027681455014,46.31286602156946,53,Buy,0.3070585319916459
KICL.NS,1,0.6533179999495417,2025-09-01,302,0.0646335912608102,1.0,,5.394102428909844,21.43672910004568,27.80704700911789,68.75,54,Buy,0.3066359998990833
JSWHL.NS,1,0.6520260909006831,2025-09-01,302,0.1317602904079247,1.0,,-6.302879764030117,6.804105468058751,25.364080563732035,47.355289421157686,55,Buy,0.3040521818013662
OMINFRAL.NS,1,0.6514379691501774,2025-09-01,302,0.4012820512820513,6.0,,1.0976436022431781,7.789832359794178,34.47262006205196,60.597129006839744,56,Buy,0.30287593830035475
TVSELECT.NS,1,0.6512157653889367,2025-09-01,302,2.0,-2.0,,3.5634756673441825,40.30997589567483,54.1603778205918,68.99407585933747,57,Buy,0.3024315307778733
NH.NS,1,0.6511367396125399,2025-09-01,302,1.028029322984045,19.0,,3.528482602881334,22.82438741662179,31.00767715552017,58.66950225453369,58,Buy,0.30227347922507986
AFFLE.NS,1,0.6511111818655021,2025-09-01,302,0.21162672106068334,9.0,,-2.9733424470266576,-1.8394285343348822,25.776013128072478,35.43504096809923,59,Buy,0.3022223637310042
GREENLAM.NS,1,0.6502692606312556,2025-09-01,302,0.8472454090150251,12.0,,13.06974513967247,20.078114556853713,38.177199859240716,77.94492779621491,60,Buy,0.3005385212625111
SHK.NS,1,0.6499071173478409,2025-09-01,302,0.9931787175989086,8.0,,-0.7655470438398719,14.233581996095248,42.29104674179355,56.88679440499293,61,Buy,0.2998142346956818
BBTCL.NS,1,0.649386703174043,2025-09-01,302,2.130081300813008,3.0,,-1.770110211765534,27.33337106568896,50.90151308745211,40.100791013755575,62,Buy,0.298773406348086
SALSTEEL.NS,1,0.6493420955780631,2025-09-01,302,8.090909090909092,7.0,,-8.859058581334532,42.98498893095197,46.16156114470537,33.729666992356044,63,Buy,0.2986841911561262
VAISHALI.NS,1,0.649135306830074,2025-09-01,302,0.8208955223880597,5.0,,2.269501320331619,25.828970578481698,25.418543194926063,48.7804885140353,64,Buy,0.29827061366014807
SUVIDHAA.NS,1,0.6488969178267148,2025-09-01,302,0.1922283047653234,-8.05,,1.5094324684347307,3.065140434486363,29.30189291616361,50.0,65,Buy,0.29779383565342954
AMJLAND.NS,1,0.648877358596101,2025-09-01,302,0.06572769953051644,11.0,,1.2155612030660603,1.9037279146719563,30.635357140897586,57.195583209891375,66,Buy,0.2977547171922019
HINDNATGLS.NS,1,0.6486414910015899,2025-06-01,394,-4.616149068322981,3.0,,,,,,67,Buy,0.2972829820031797
CENTRUM.NS,1,0.6481356973176154,2025-09-01,302,1.8105263157894738,6.0,,-1.7615149069551548,-21.167089961179684,40.54632134656862,50.0,68,Buy,0.2962713946352309
BHEL.NS,1,0.6477443578853156,2025-09-01,302,1.9197062621045835,5.0,,2.2974354226767626,68.67617356558682,32.275967660774725,73.14467448863843,69,Buy,0.2954887157706312
NIVABUPA.NS,1,0.6473501329851312,2025-09-01,302,1.7989487516425755,7.0,,0.08283987553161982,20.93521997105565,21.697562719764097,52.11109764192169,70,Buy,0.29470026597026244
GPIL.NS,1,0.6465361279353247,2025-09-01,302,0.15858245891902595,23.0,,-11.248045571788513,-6.04557583169371,29.682274698836608,30.661301932637485,71,Buy,0.29307225587064933
ASHIANA.NS,1,0.6463110310413678,2025-09-01,302,3.8251572327044023,4.0,,8.658073226946687,36.864856174962675,32.8119833716561,68.8863940499115,72,Buy,0.29262206208273556
IGPL.NS,1,0.645760518209381,2025-09-01,302,0.6844961240310078,11.0,,7.3394451285553854,29.025871813398275,35.582237433872,63.529405194213545,73,Buy,0.2915210364187619
SHIVAMAUTO.NS,1,0.6446279624890956,2025-09-01,302,476.0,3.0,,-10.134385842304777,11.846681605570149,18.23019716948657,24.766327235455336,74,Buy,0.2892559249781912
DNAMEDIA.NS,1,0.6435855665210612,2025-09-01,302,-1.8051642239454349,7.94,,-7.1672366335264845,-2.5089582150498013,22.6192434709696,27.500010430804124,75,Buy,0.2871711330421225
SIMBHALS.NS,1,0.6433806101191516,2025-06-01,394,-43.06382978723404,3.0,,-18.49642207120988,-0.5822410847066868,38.521460342165305,42.6470541830331,76,Buy,0.2867612202383032
SASKEN.NS,1,0.6430544435743534,2025-09-01,302,0.16290726817042606,7.0,,-4.277736941119641,90.18125497863984,76.19968950520185,44.13571432319366,77,Buy,0.28610888714870675
DLINKINDIA.NS,1,0.6429646146567418,2025-09-01,302,0.6541019955654102,29.0,,10.975746504380055,36.24090652920252,20.030904494511194,59.621003574917566,78,Buy,0.28592922931348363
BBOX.NS,1,0.6421988672306892,2025-09-01,302,0.3978494623655914,4.0,,-9.497416940341253,111.83048756259379,39.584951633777685,37.72028271617709,79,Buy,0.2843977344613784
