Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_1M_percentile,ROC_3M_percentile,ROC_12M_percentile,RSI_percentile,Volatility_60_percentile,Volume_Ratio_percentile,market_cap_current_percentile,ROC_6M_percentile,beta_percentile,dividend_yield_percentile,TTM_Revenue_percentile,Net_Income_Growth_QoQ_percentile,Net_Income_percentile,Interest_Expense_percentile,Gross_Profit_percentile,composite_score,quality_quintile
2026-05-31,37.31999969482422,38.290000915527344,32.150001525878906,33.56999969482422,1729167,0.027233763198817318,0.11974650458317182,,,0.6578904159301697,45.08360695392661,0.6809194050953113,,0,1556568000.0,404475000.0,109853000.0,136690000.0,112298000.0,32352000.0,16970000.0,62976000.0,0.2598505172918883,0.07057385221847037,0.02078418674931002,0.087814987845054,5510361000.0,2410815000.0,4086869000.0,1423492000.0,3943433000.0,3248806000.0,23618000.0,2130847000.0,1.6935922365562996,0.43750581858429965,1.2138099350961553,0.5579237418300754,0.09136189564049246,0.9583535108958838,0.13557427710157777,0.6196245306633292,0.15526669427564466,5639067000.0,75563000.0,376284000.0,481739000.0,0.053082841350706574,0.013712894672418013,0.09813611690456711,1.0,1.6035413287804556,2199977984.0,1.008,0.2,MANAKALUCO.NS,,,,,0.2801466942365176,70.70796460176992,77.61061946902656,,49.77777777777778,10.0,23.733333333333334,18.96705253784506,,96.61572052401746,14.806547619047619,33.270852858481724,86.40864086408641,29.496402877697843,56.34995296331138,29.310344827586203,46.47034735026541,Q3 (Medium)
2026-05-31,68.51000213623047,74.80000305175781,66.51000213623047,67.83999633789062,47737648,0.010877599774994806,0.18559935146147843,,,0.6286696236818381,48.73132718008748,0.7591554817030167,,0,7196400000.0,806900000.0,382300000.0,1125600000.0,1055300000.0,381100000.0,278600000.0,173600000.0,0.11212550719804347,0.053123784114279364,0.05295703407259185,0.15641153910288477,71801800000.0,7983100000.0,17474500000.0,41425900000.0,28680300000.0,9487800000.0,3416000000.0,5617000000.0,0.19270794358118953,0.11118244946505519,3.022860937203567,2.4308374965745485,1.4053746908215792,-5.848600508905853,0.4706940243603368,3.04135737009544,0.811393627293209,17562900000.0,2834400000.0,930900000.0,5392500000.0,0.06842096369662458,0.039475333487461316,0.018840697039000993,1.0,1.4215890130888083,103561281536.0,1.154,0.29,LLOYDSENT.NS,,,,,0.2489573124911307,65.30973451327434,85.48672566371681,,60.88888888888889,14.159292035398224,32.0,71.68299198575245,,98.14410480349345,22.023809523809522,58.20056232427366,2.07020702070207,59.44244604316546,73.94167450611478,43.86973180076628,52.481344607290396,Q3 (Medium)
2026-05-31,107.94000244140625,119.0,98.0,101.6500015258789,203539,-0.032365553803970215,-0.09884752858351231,,,0.5304545992047346,43.612780834230854,0.8808429287085597,,0,590815000.0,128843000.0,28703000.0,68820000.0,42028000.0,24042000.0,274000.0,17712000.0,0.21807672452459737,0.04858204344845679,0.04069294110677623,0.11648316308827636,,,,,,,,,,,,,-0.055339880337561875,-0.27496984318455975,-0.028506078260168932,0.5828560142208177,0.2405140869189033,2350987000.0,80906000.0,146275000.0,286932000.0,,,,0.0,,1054883072.0,0.379,0.49,LAMBODHARA.NS,,,,,0.28466871881088945,42.0353982300885,23.27433628318584,,45.15555555555555,34.51327433628319,45.06666666666666,11.57613535173642,,53.38427947598253,38.02083333333333,20.805998125585752,32.313231323132314,27.15827338129496,32.73753527751646,17.911877394636015,34.93022631566651,Q1 (Lowest)
2026-05-31,174.9199981689453,177.60000610351562,164.5,167.57000732421875,1176514,-0.024451282783809924,0.029363070429545335,,,0.27739721849964755,35.96175634940674,1.4941296874956589,,0,183088000.0,74437000.0,55202000.0,59772000.0,55202000.0,38343000.0,13827000.0,,0.40656405662850653,0.30150528707506774,0.20942388359695885,0.3264659617233243,,,,,,,,,,,,,0.1574076415404455,0.2804474870596092,0.44355875140935574,0.10222209446057429,0.12696557185414226,608899000.0,124458000.0,191951000.0,200937000.0,,,,0.0,,3538070784.0,-0.081,0.45,MANCREDIT.NS,,,,,0.28979686274273825,46.19469026548673,59.38053097345133,,24.355555555555554,95.30973451327434,88.62222222222222,23.68655387355298,,11.135371179039302,34.89583333333333,10.309278350515463,71.37713771377138,30.575539568345324,,13.793103448275861,43.97570339978825,Q2 (Low)
2026-05-31,253.11000061035156,258.3999938964844,231.0500030517578,241.4499969482422,321254,-0.0898296213084665,-0.07045236978540059,,,0.48991450910370843,35.64356003519761,0.8866640285288644,,0,1809211000.0,949051000.0,49475000.0,132259000.0,49354000.0,5912000.0,5275000.0,38167000.0,0.5245662335681134,0.02734617465845609,0.003267722780814399,0.07310313722390589,,,,,,,,,,,,,0.04705770009838539,-0.8223183962972981,0.05312019595413853,-0.3582283977420756,0.09889826847020511,7006435000.0,118965000.0,323175000.0,670421000.0,,,,0.0,,4114307840.0,-0.343,,LIBERTSHOE.NS,,,,,0.3649992695273087,15.752212389380531,32.21238938053098,,23.822222222222223,44.690265486725664,46.044444444444444,26.268922528940337,,3.056768558951965,,38.51921274601687,15.751575157515752,19.334532374100718,47.412982126058324,46.264367816091955,33.94199301539865,Q1 (Lowest)
2026-05-31,1759.5999755859375,1760.9000244140625,1515.5999755859375,1545.5999755859375,605937,-0.13372939250963622,-0.22413533731843494,,,0.41626136529257,27.21585988690785,0.9192403158747218,,0,8149990000.0,4549062000.0,839953000.0,1390606000.0,1075434000.0,697275000.0,336590000.0,42167000.0,0.5581678014328852,0.10306184424766165,0.08555531969977877,0.17062671242541402,29948671000.0,2311283000.0,8386302000.0,21537024000.0,12791980000.0,7197521000.0,214802000.0,5143185000.0,0.10731673048235447,0.07717481019441563,1.777275814825688,1.062698531897302,-0.0019109448743104274,-0.21152617503547866,0.20402377853853793,-0.07399045669989868,0.10950599829577556,29577771000.0,3091676000.0,3371539000.0,5332780000.0,0.1435516810493409,0.10323249402285664,0.14137435416275043,1.0,2.3370615544175566,49299804160.0,0.071,1.42,LGBBROSLTD.NS,,,,,0.5756654331784283,5.663716814159292,3.982300884955752,,9.6,65.22123893805309,49.86666666666667,62.154942119323245,,21.50655021834061,74.77678571428571,69.72820993439551,35.103510351035105,69.60431654676259,49.20037629350894,77.87356321839081,46.28547851332515,Q2 (Low)
2026-05-31,339.8999938964844,358.8500061035156,300.20001220703125,307.79998779296875,2057864,-0.037523453589899836,-0.08880994992334468,,,0.33083948965168425,12.890972119372037,0.6415184630123768,,0,4707600000.0,1530600000.0,1230900000.0,1250900000.0,1230900000.0,1031200000.0,346600000.0,,0.325133826153454,0.2614708131531991,0.21905004673294248,0.26571926246919875,137466000000.0,103174900000.0,107101700000.0,29742100000.0,121285800000.0,568400000.0,2236600000.0,,3.4689850414059533,0.7505484992652729,213.381069669247,,0.06031803234379929,0.11843817787418653,0.26324263403638715,0.2975965773247766,0.1898601731189955,17318800000.0,3633400000.0,4577600000.0,4647400000.0,0.12216353250106751,0.02643126300321534,0.03443953745570544,1.0,1.5122327702850158,55851347968.0,,0.63,MASFIN.NS,,,,,0.3005874187362228,39.64601769911504,26.991150442477874,,1.1555555555555554,86.90265486725664,19.2,63.668744434550305,,,46.94940476190476,58.01312089971884,62.28622862286228,74.55035971223022,,55.938697318007655,49.02012895424528,Q3 (Medium)
2026-05-31,6.309999942779541,6.449999809265137,5.760000228881836,6.019999980926514,2582933,-0.05937501699663672,-0.09337347861834133,,,0.6735463275569349,37.39838627578456,0.6531978073540973,,0,1611343000.0,121810000.0,18000000.0,42163000.0,31814000.0,16301000.0,5893000.0,9620000.0,0.07559532638302335,0.011170805967444547,0.010116406004184087,0.026166371778075802,,,,,,,,,,,,,-0.10294356706393748,0.4344420978528687,-0.09947785304438561,-0.23079463948659873,-0.24119499685053536,7853499000.0,75402000.0,92571000.0,193970000.0,,,,0.0,,1603005568.0,,,KRITIKA.NS,,,,,0.3229213750414892,29.734513274336283,25.13274336283186,,28.355555555555554,8.584070796460168,20.266666666666666,16.117542297417632,,,,40.67478912839738,77.22772277227723,24.190647482014388,25.211665098777047,17.720306513409962,34.21441486320961,Q1 (Lowest)
2026-05-31,33.09000015258789,35.70000076293945,31.31999969482422,32.220001220703125,169798,-0.030394171996585895,0.01161698068451722,,,0.5319503769648246,43.75001568542811,1.0609042525434684,,0,767771000.0,238933000.0,-44668000.0,-30920000.0,-44668000.0,-50978000.0,-22840000.0,29150000.0,0.3112034708265876,-0.05817880591999437,-0.06639740235044043,-0.04027242498088623,,,,,,,,,,,,,0.36151577648166633,-0.08824581485191019,0.22601687553494543,0.3877606577013122,1.9397223806807378,3205392000.0,-196592000.0,-164272000.0,-106753000.0,,,,0.0,,563028544.0,-0.158,,MALUPAPER.NS,,,,,0.3091160838356747,42.92035398230089,55.48672566371682,,45.68888888888889,33.98230088495575,64.88888888888889,6.767586821015138,,6.6593886462882095,,24.835988753514528,44.10441044104411,7.643884892086331,41.20413922859831,23.275862068965516,36.49722794401755,Q1 (Lowest)
2026-05-31,27.809999465942383,28.700000762939453,24.75,25.780000686645508,766135,-0.077968471717075,0.007424796128358002,,,0.32637068471859937,27.832984347591307,0.655505461549284,,0,419578000.0,192040000.0,-65775000.0,-11430000.0,-48266000.0,-62266000.0,-62266000.0,7680000.0,0.45769797272497603,-0.1567646540095048,-0.1484014891152539,-0.027241657093555905,4457360000.0,703208000.0,1501119000.0,2956241000.0,2632658000.0,1235790000.0,2223000.0,1181968000.0,0.23787235208496196,0.15776333973473086,2.130344152323615,1.1738968594987822,-0.4013648341896243,-1.5205360352452368,0.16373591018017208,7.979809633689069,-1.3562190295135101,2467807000.0,-2476000.0,-303448000.0,164223000.0,-0.0008375501185458155,-0.0005554857583861299,-0.0829217731959101,0.0,1.8224931798194448,2136867712.0,,,KOTARISUG.NS,,,,,0.22202470735339289,20.442477876106192,54.24778761061947,,11.022222222222222,88.23008849557522,20.88888888888889,18.699910952804988,,,,21.743205248359885,8.19081908190819,6.744604316546762,22.483537158984007,20.21072796934866,32.86028465475763,Q1 (Lowest)
