Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,ROC_12M_percentile,Volume_Ratio_percentile,ROC_6M_percentile,market_cap_current_percentile,RSI_percentile,Volatility_60_percentile,beta_percentile,Revenue_Growth_QoQ_percentile,dividend_yield_percentile,Debt_to_Equity_percentile,Current_Ratio_percentile,Total_Revenue_percentile,Tax_Provision_percentile,composite_score,quality_quintile
2026-04-30,49.75,50.400001525878906,48.02000045776367,49.88999938964844,674866,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12887883776.0,0.436,,SANGHIIND.NS,,,,,0.19451754884989797,,,,,,43.40159271899886,,,57.36342042755345,,,,,,,50.05100087643683,Q3 (Medium)
2026-05-31,287.54998779296875,290.0,257.1499938964844,277.0,8022437,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156286550016.0,0.737,,GSPL.NS,,,,,0.21303259035455835,,,,,,80.09101251422071,,,86.07482185273159,,,,,,,54.4110556244635,Q4 (High)
2026-05-31,1286.0,1288.0,1222.0999755859375,1260.0999755859375,157368,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIGNITITEC.NS,,,,,0.19451754884989797,,,,,,,,,,,,,,,,50.00000000000001,Q3 (Medium)
2026-07-31,2408.89990234375,2408.89990234375,2408.89990234375,2408.89990234375,0,,,,,,,,,0,9042300000.0,6299800000.0,1511200000.0,1859300000.0,1359200000.0,1013700000.0,333200000.0,12300000.0,0.6967032723975095,0.16712562069385,0.1121064330977738,0.20562246331132567,49686464000.0,35893000.0,8094266000.0,41592198000.0,29093736000.0,5911629000.0,1101822000.0,6834030000.0,0.0008629743491796226,0.0007223899048239778,4.9214414504022495,3.765409838810927,-0.15073446539935387,-0.4877457173177018,-0.04765766524834647,-0.30420756400576565,-0.22825004150755435,41477900000.0,7094600000.0,9249200000.0,11403900000.0,0.1705752602928078,0.14278737967749125,0.22218650382022082,1.0,2.6568778490656935,387925901312.0,0.012,,JBCHEPHARM.NS,,,,,0.34071893773314704,,,,,,89.64732650739477,,,13.657957244655583,21.91464821222607,,14.814814814814813,90.10989010989012,72.25071225071224,76.52769845802399,51.92820317318117,Q3 (Medium)
2026-09-30,107.55000305175781,108.30000305175781,100.0,101.80000305175781,1121466,-0.12580501743590222,-0.09001519127192381,,,0.3541224855940946,9.409356170506413,0.6942692284772289,,0,3463100000.0,1832400000.0,324100000.0,575300000.0,425600000.0,300300000.0,83800000.0,40200000.0,0.5291213074990615,0.09358667090179319,0.08671421558719067,0.16612283791978286,,,,,,,,,,,,,-0.03319374651032947,-0.3457516339869281,-0.10486455748552526,-0.417910447761194,-0.28114457078595523,14300000000.0,1252900000.0,1346800000.0,2017500000.0,,,,0.0,,11422742528.0,0.622,0.69,EKC.NS,,,,,0.3196366796736407,26.68918918918919,7.822172200337647,,29.84737139626908,,41.18316268486917,1.4714204867006226,48.64864864864865,78.14726840855107,39.10034602076124,52.387774594078316,,,53.219373219373225,54.940034266133644,42.23045074099412,Q2 (Low)
2026-09-30,3.1600000858306885,3.6500000953674316,3.0799999237060547,3.390000104904175,7244712,-0.10789469804129725,0.011940358629948689,,,0.5873872793123149,52.33645713613432,0.9813807110571646,,0,488778000.0,3529000.0,-24987000.0,189789000.0,173547000.0,127812000.0,26043000.0,9885000.0,0.007220046728780755,-0.051121367983010695,0.26149294771859616,0.38829284460429886,,,,,,,,,,,,,0.07987645374527208,1.7400420186082406,-0.08450709501475939,2.3663084702907713,3.1885855531769325,1901997000.0,250556000.0,69279000.0,362316000.0,,,,0.0,,1924625152.0,0.151,0.59,SPCENET.NS,,,,,0.221242938693686,55.29279279279279,11.480022509848059,,59.299039005087614,,17.633674630261662,66.21392190152801,7.0945945945945965,24.762470308788597,67.9354094579008,46.17956064947469,,,19.943019943019944,37.92118789263278,40.91704624572864,Q1 (Lowest)
2026-09-30,240.9499969482422,242.0,228.3699951171875,235.3699951171875,689360,-0.03930614237882657,-0.012916761880786387,,,0.4469715493431572,41.550290717015,0.6807446663814566,,0,2802400000.0,419400000.0,-67200000.0,-41600000.0,-67200000.0,118800000.0,56800000.0,,0.14965743648301455,-0.023979446188980874,0.04239223522694833,-0.014844419069369112,,,,,,,,,,,,,0.20881680541776304,1.2542694497153701,-0.28270495789500627,-1.027354363343311,-2.0121654501216546,10209500000.0,-4380300000.0,-2286200000.0,-2138400000.0,,,,0.0,,20863080448.0,0.359,,SPANDANA.NS,,,,,0.21391945716153768,48.986486486486484,41.24929656724817,,28.26455624646693,,50.739476678043225,42.78438030560272,25.39414414414415,48.15914489311164,84.94809688581316,,,,48.888888888888886,48.600799543118214,47.86768470926158,Q3 (Medium)
2026-09-30,2376.5,2376.5,2189.0,2246.5,158489,-0.0223682077236369,-0.18507699452647897,,,0.29754729988303835,24.170278427811596,0.876454651935193,,0,5471700000.0,1321900000.0,230000000.0,397100000.0,338900000.0,196300000.0,64600000.0,78000000.0,0.24158853738326297,0.042034468263976464,0.035875504870515565,0.07257342325054371,,,,,,,,,,,,,-0.28669386903753147,-0.5005089058524173,-0.11618478436439994,-0.6098191214470284,-0.48341355535319375,23475300000.0,1114900000.0,1296600000.0,1922300000.0,,,,0.0,,25392459776.0,0.536,1.56,BBL.NS,,,,,0.22845998558288863,8.220720720720722,50.02813731007316,,49.010740531373656,,54.09556313993175,10.809281267685341,68.01801801801801,69.92280285035629,11.534025374855824,77.65042979942693,,,62.67806267806267,50.71387778412336,47.51211063164185,Q2 (Low)
2026-09-30,26.989999771118164,27.75,25.010000228881836,25.510000228881836,272746,-0.014296713442157882,-0.0617874318564815,,,0.30455657127991576,46.10091281572987,0.7649053429883226,,0,171506000.0,25031000.0,202000.0,69290000.0,63757000.0,54407000.0,9300000.0,50000.0,0.14594824670856996,0.0011778013597191935,0.31723088405070377,0.40400918918288575,,,,,,,,,,,,,0.25982296984610853,26.47828282828283,5.8052535513054515,-7.598787143723468,-9.256673021925643,354083000.0,61375000.0,-19141000.0,92410000.0,,,,0.0,,1255260416.0,0.843,,SURANASOL.NS,,,,,0.1873487604872948,34.12162162162162,53.96736072031514,,37.47880158281515,,13.3674630261661,52.97113752122241,65.31531531531532,91.18171021377673,88.17762399077279,,,,11.68091168091168,28.326670474014847,48.439241076462125,Q3 (Medium)
2026-09-30,34.7599983215332,35.9900016784668,33.04999923706055,35.119998931884766,840499,0.18648643511067942,0.14434663801686964,,,0.6687647908972016,69.4494756408107,0.6886447431597805,,0,571951000.0,101038000.0,12932000.0,19101000.0,16436000.0,3381000.0,4793000.0,8261000.0,0.17665499317249206,0.02261032850716233,0.0059113455523287835,0.03339621750814318,,,,,,,,,,,,,-0.015045945499132074,-0.8657534246575342,0.1778548437252232,-0.800177304964539,0.14555595537963306,2325739000.0,45927000.0,72024000.0,86529000.0,,,,0.0,,476227200.0,,,BANG.NS,,,,,0.18122368291936217,76.63288288288288,91.67135621834552,,29.11249293386094,,6.08646188850967,90.60554612337295,3.0968468468468444,,42.84890426758939,,,,21.11111111111111,23.92918332381496,45.67298570642228,Q2 (Low)
