Ticker,Predicted_Direction,Predicted_Probability,Quarter_Date,Staleness_Days,debt_to_equity,roce,roe,roc_1m,roc_3m,volatility_30d,rsi_14d,Rank,Category,Confidence
GOENKA.NS,1,0.846867040833457,2025-09-01,121,1.9979666531110212,-0.3,,-24.770645161748956,-13.684210196096148,41.18109229351354,42.85715502134696,1,Strong Buy,0.693734081666914
NACLIND.NS,1,0.8338820117995519,2025-09-01,121,1.846938775510204,-8.0,,-13.637082710793852,-17.806773263507687,55.460287163301416,47.29248704675679,2,Strong Buy,0.6677640235991038
TERASOFT.NS,1,0.8140886748600963,2025-09-01,121,1.164179104477612,11.0,,-19.45956870089087,-13.202216843594341,51.557556322191566,28.952582181804658,3,Strong Buy,0.6281773497201926
TVSELECT.NS,1,0.8078964088370778,2025-09-01,121,2.0,-2.0,,-21.05020727775219,-32.55685583290921,46.12668754779923,50.77820688241926,4,Strong Buy,0.6157928176741556
AAREYDRUGS.NS,1,0.7962312901707261,2025-09-01,121,0.9864864864864865,6.0,,-16.908157980923516,-18.31240806321309,44.15471695003846,51.73610451904189,5,Strong Buy,0.5924625803414523
HINDWAREAP.NS,1,0.7891415999278213,2025-09-01,121,0.6779026217228464,-11.0,,-17.841743801539522,-19.840789727832515,41.57655097255441,41.47728623857574,6,Strong Buy,0.5782831998556426
RAINBOW.NS,1,0.7859091551397334,2025-09-01,121,0.5643939393939394,18.0,,-0.6772009029345373,-1.5292801193584484,19.072031531734666,38.56548276168361,7,Strong Buy,0.5718183102794667
HAL.NS,1,0.7793451803269525,2025-09-01,121,2.327173854228667,34.0,,-2.657198728790063,-8.633462036523404,21.383144774743972,57.03630990932643,8,Strong Buy,0.5586903606539051
SJVN.NS,1,0.7791537555527267,2025-09-01,121,0.8498478187352047,8.0,,-3.3734012119663057,-17.800984447778617,27.122431733357022,61.83747345378178,9,Strong Buy,0.5583075111054534
UNITEDPOLY.NS,1,0.7772054023142556,2025-09-01,121,1.2131147540983607,15.0,,-34.353921546308385,-46.33008153450206,61.366804337741776,27.879789654503355,10,Strong Buy,0.5544108046285112
APLLTD.NS,1,0.7737846982684751,2025-09-01,121,0.49571836346336823,11.0,,-6.7808733023273575,-6.124141861322109,14.045166188177252,29.913654459648285,11,Strong Buy,0.5475693965369501
CURAA.NS,1,0.7735927933622124,2025-09-01,121,1.4828025477707,-10.69,,-19.559917411540496,-51.33579062383635,44.96935707691016,8.847100648101204,12,Strong Buy,0.5471855867244249
GOKULAGRO.NS,1,0.7725335626186886,2025-09-01,121,3.7621407333994052,35.0,,-15.588512976364823,-12.59476256617535,31.09897099724133,24.18552629090604,13,Strong Buy,0.5450671252373771
RHL.NS,1,0.768893715984117,2025-09-01,121,0.2544704264099037,5.0,,-18.33302364402307,-29.354322713483477,36.72521438924511,25.159732873619532,14,Strong Buy,0.5377874319682341
PREMIERENE.NS,1,0.7669048807965125,2025-09-01,121,0.1769436997319035,12.0,,-12.78479228388175,-17.26593926561379,27.898257446739947,27.006241730400546,15,Strong Buy,0.5338097615930251
STANLEY.NS,1,0.7664794036563388,2025-09-01,121,0.27751196172248804,9.0,,-15.944298913432137,-33.939805850169755,25.250720815355905,20.81639784699793,16,Strong Buy,0.5329588073126776
GLAXO.NS,1,0.7663131254978984,2025-09-01,121,1.13572267920094,63.0,,-1.8256865461622074,-8.290073319127702,21.933870072889658,29.839793816073126,17,Strong Buy,0.5326262509957969
CENTENKA.NS,1,0.7658236719824797,2025-09-01,121,0.21736111111111112,6.0,,-5.839027852242016,-8.171976056122356,33.725817620469215,58.95702075313442,18,Strong Buy,0.5316473439649594
HMT.NS,1,0.7611655307262939,2025-09-01,121,1.7730061349693251,2.0,,-11.41242510872606,-20.50024949938947,30.018421913388018,58.8744600659343,19,Strong Buy,0.5223310614525878
CPCAP.NS,1,0.7605732968785295,2025-09-01,121,0.24577861163227016,10.0,,-3.3470262308929613,-10.714847003369156,31.47796800975063,61.538463698477045,20,Strong Buy,0.521146593757059
KSOLVES.NS,1,0.7593644917898582,2025-09-01,121,0.6470588235294118,157.0,,-8.140844026234372,-6.615934194847931,23.869886307915753,46.57719198496484,21,Strong Buy,0.5187289835797164
JAIPURKURT.NS,1,0.7580300710290193,2025-09-01,121,0.6932812500000001,11.18,,-18.950262145480234,-26.7108216451218,41.696800919193755,35.64593306893583,22,Strong Buy,0.5160601420580386
CONCOR.NS,1,0.7535710090050043,2025-09-01,121,0.15752726131638817,14.0,,4.2808936376304905,0.19950706319078956,14.72728399066821,69.46724233244699,23,Strong Buy,0.5071420180100086
SPAL.NS,1,0.7531875178728688,2025-09-01,121,0.5,13.0,,-9.902508156680287,-3.635615188969493,26.06488072512939,50.26157949806209,24,Strong Buy,0.5063750357457375
EUROTEXIND.NS,1,0.7493266034740118,2025-09-01,121,-2.1220400728597455,-18.07,,-29.840226393670825,-5.025444964590594,52.43568632194568,28.11861291661336,25,Strong Buy,0.4986532069480236
WELCORP.NS,1,0.7489583185292658,2025-09-01,121,0.8321766561514196,18.0,,-3.683988389641282,-4.7875083112995,27.793601557000425,55.68845239895605,26,Strong Buy,0.4979166370585315
VETO.NS,1,0.7469850554845077,2025-09-01,121,0.19029850746268656,11.0,,3.1845926318006,-2.3331108959497167,23.132939590924252,65.41315774770815,27,Strong Buy,0.49397011096901533
HISARMETAL.NS,1,0.7456956304143983,2025-09-01,121,1.3125,9.0,,-6.822368505576675,-11.710378511355875,33.23105358684111,42.87463912610887,28,Strong Buy,0.4913912608287967
ARKADE.NS,1,0.7438636815830985,2025-09-01,121,0.323189926547744,30.0,,-16.66359146985407,-19.569471057616923,35.66145968276681,24.243838066256117,29,Strong Buy,0.4877273631661969
BANG.NS,1,0.7432743766599409,2025-09-01,121,1.2222222222222223,-2.0,,-7.6109920764564185,-7.308138972082537,26.665924189619144,43.40320829656611,30,Strong Buy,0.4865487533198818
UBL.NS,1,0.7428796659874217,2025-09-01,121,0.8803596127247579,14.0,,-2.950332066315081,-9.945584895602364,14.180480159751745,36.408095370113664,31,Strong Buy,0.48575933197484344
INSECTICID.NS,1,0.7406033098598286,2025-09-01,121,0.6496655518394648,17.0,,0.1817148097015352,-4.299640961051439,21.46145344201852,65.19865954483978,32,Strong Buy,0.48120661971965717
SUNDRMBRAK.NS,1,0.7388070535537268,2025-09-01,121,1.105263157894737,8.0,,-6.896782371874391,-9.421384928290435,21.985827960197074,56.581088657874865,33,Strong Buy,0.47761410710745356
VMART.NS,1,0.7383874992374353,2025-09-01,121,2.1076923076923078,8.0,,-9.826664003407657,0.7748661728075734,20.511885412996914,37.697088393349766,34,Strong Buy,0.4767749984748706
GILLANDERS.NS,1,0.7372299007033437,2025-09-01,121,0.7864768683274022,4.0,,-7.457777235243055,-10.00950953987544,28.82561564528726,44.92010047100136,35,Strong Buy,0.4744598014066874
GALAXYSURF.NS,1,0.7369168614561447,2025-09-01,121,0.6717506631299734,15.0,,1.73243496370067,-6.66728040936638,15.788580845903263,72.33778060666097,36,Strong Buy,0.4738337229122893
DIXON.NS,1,0.7351057536814458,2025-09-01,121,0.6803942273847237,12.0,,-16.503380709259,-26.445025223363523,40.642818369614844,35.72809278350515,37,Strong Buy,0.47021150736289163
ADANIENT.NS,1,0.734474747846175,2025-09-01,121,0.8869040010226256,13.0,,0.004458542207133188,-13.615150485903602,21.910616893259984,40.64959281802606,38,Strong Buy,0.4689494956923499
NAHARCAP.NS,1,0.7290355043589536,2025-09-01,121,0.03329864724245578,4.0,,-2.311483988100573,-10.001753602075516,26.499607312321523,53.87131084636628,39,Strong Buy,0.4580710087179072
KAJARIACER.NS,1,0.728885914834414,2025-09-01,121,0.25396825396825395,17.0,,-10.274228451519914,-16.450504469724972,22.95603975095072,33.04168609027043,40,Strong Buy,0.457771829668828
AMBER.NS,1,0.7280737115608585,2025-09-01,121,1.1274845784784098,12.0,,-9.294894553717247,-22.501971728447494,30.433948584775735,44.43064182194617,41,Strong Buy,0.4561474231217171
EMMBI.NS,1,0.7278016555687157,2025-09-01,121,1.218274111675127,8.0,,-6.773943786843918,-3.5489957583881506,26.914882290932045,54.195587756775964,42,Strong Buy,0.45560331113743135
BALMLAWRIE.NS,1,0.7270253494580451,2025-09-01,121,0.6845998655010087,22.0,,0.2568452956960443,-12.895256401562769,18.492409458909304,63.45399702867776,43,Strong Buy,0.4540506989160902
FOSECOIND.NS,1,0.7270011699711245,2025-09-01,121,0.4146341463414634,31.0,,-4.432266128256898,-7.241508025382605,26.565782336551397,39.66480446927375,44,Strong Buy,0.45400233994224903
