Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_12M_percentile,ROC_6M_percentile,Volatility_60_percentile,Volume_Ratio_percentile,market_cap_current_percentile,ROC_1M_percentile,RSI_percentile,Net_Income_Growth_QoQ_percentile,dividend_yield_percentile,beta_percentile,Revenue_Growth_QoQ_percentile,EBITDA_Growth_YoY_percentile,Gross_Margin_percentile,Current_Ratio_percentile,composite_score,quality_quintile
2025-11-30,446.6499938964844,485.0,428.29998779296875,474.54998779296875,3149105,0.06904706987590514,0.053422136623973326,,,0.29952110350180283,70.25818413461917,1.3948347938417227,,0,30471020000.0,9269890000.0,16830950000.0,13640070000.0,18462170000.0,13416490000.0,1533390000.0,6579590000.0,0.6796072160919995,0.3042198784287497,1.3760804800659487,0.8856697988818237,9410220000.0,4336470000.0,626250000.0,1342900000.0,973210000.0,509480000.0,302430000.0,161300000.0,0.46082557049675776,0.0665499850162908,0.054141135913931875,0.1427065467119791,0.09051528829606625,0.059540397213268204,0.12887057999318619,104.92099792099792,0.7792410832582544,35036200000.0,1596800000.0,2316220000.0,4618360000.0,0.11706684789740815,0.05240389064757268,0.10110100585073042,1.0,2.080623064144226,65202266112.0,0.201,0.63,SUPRAJIT.NS,,,,,0.24401989939114035,72.05029013539652,,,58.02707930367505,86.17021276595744,68.8374336710082,89.60850652489125,94.77756286266924,60.54187192118226,50.74196207749382,52.68229166666667,65.3,88.23224468636599,60.538827258320126,32.49641319942611,65.33364640487018,Q5 (Highest)
2025-11-30,260.04998779296875,274.20001220703125,222.75,260.25,1626300,0.010875850301832912,-0.06485802581635891,,,0.34479299234099325,62.390028177308075,0.8644278636903424,,0,4565669000.0,1960810000.0,3493402000.0,1072267000.0,2246537000.0,1853224000.0,44843000.0,463668000.0,1.8286583472213545,0.42946827726670506,1.2122317647515897,0.9620364294872071,1600582000.0,930012000.0,220760000.0,259816000.0,222795000.0,151803000.0,-193000.0,71185000.0,0.5810461444649508,0.13792482984314455,0.09484237608569883,0.16232595393425642,-0.019155064221982543,0.12525851525147336,-0.00702091135983085,0.8931595684978488,0.20060627345150728,6227152000.0,501450000.0,869916000.0,970247000.0,0.4676540451212245,0.10983056371366387,0.2868097315036842,1.0,1.9571118493259148,9115301888.0,0.03,,WANBURY.NS,,,,,0.30219048661848463,40.03868471953578,,,43.036750483559,33.172147001934235,37.192474674384954,78.25036249395843,87.95938104448743,65.71428571428571,,35.260416666666664,34.300000000000004,65.31881804043546,77.23190702588484,24.533715925394546,51.46726291936847,Q3 (Medium)
2025-11-30,557.3422973969198,574.1291132606846,533.2999877929688,555.6500244140625,3955546,-0.014192777393604472,0.029248047697536306,,,0.38187602638174284,52.42490399668081,1.101460373565499,,0,134132600000.0,1462600000.0,10499700000.0,123473800000.0,79995600000.0,9405300000.0,885500000.0,,0.011845427936938848,0.010904135161772754,8.50537462919843,,12998700000.0,12998700000.0,3805400000.0,8942100000.0,4902800000.0,3543300000.0,1314100000.0,41800000.0,1.0,0.29275235215829276,0.2725887973412726,0.687922638417688,0.007432495272343909,-0.33031563031563027,0.38919525488938755,-0.13423901092188528,0.2535361323333567,43583000000.0,16176400000.0,15951800000.0,28880000000.0,0.13101078933344565,0.12060006292280923,0.1276793632600267,1.0,2.3658224771606604,218973126656.0,0.068,2.7,SUNTV.NS,,,,,0.4516337000542459,66.82785299806577,,,34.187620889748544,63.15280464216635,84.8528702363724,70.03383276945384,73.21083172147002,30.0,92.0032976092333,39.0625,42.25,70.34733022291343,98.837823560486,93.61549497847919,63.89215064189259,Q5 (Highest)
2025-11-30,6080.0,6149.0,5211.0,5601.5,652275,-0.06196098132797456,0.06327295416614032,,,0.28755769415610627,37.14161598609905,1.0978085590338318,,0,13420008000.0,18274000.0,2854303000.0,10565705000.0,10478827000.0,2225157000.0,120727000.0,1358766000.0,0.0017295580370642566,0.0013616981450383636,4.70925287519038,4.098614614609216,3151500000.0,971500000.0,344400000.0,430900000.0,366300000.0,249800000.0,110800000.0,5700000.0,0.3082659051245439,0.10928129462160875,0.07926384261462796,0.13672854196414405,0.11577270313329802,-0.43509724106739034,0.11191475849416088,-0.4424107142857143,-0.32923412204234126,11134093000.0,948965000.0,1142014000.0,1554788000.0,0.08981558731764705,0.07071270002223545,0.10790025188069628,1.0,2.760003868850153,48415768576.0,0.431,0.36,VSTTILLERS.NS,,,,,0.5009196123089116,73.88781431334623,,,62.765957446808514,62.71760154738878,64.83357452966715,46.06089898501692,36.60541586073501,26.20689655172414,30.956306677658695,76.484375,70.05,20.736132711249354,33.06920232435288,85.86800573888091,52.68281211245524,Q4 (High)
2025-11-30,1128.8213150168497,1214.2898204270891,980.0,989.0999755859375,179951,-0.1390474330508935,-0.18236444776322724,,,0.37510541940913156,29.51486422997445,1.6675113786701117,,0,1599557000.0,0.0,92531000.0,1507026000.0,1084153000.0,85879000.0,41680000.0,948709000.0,0.0,0.0,12.62419217736583,1.577149244867779,205744000.0,163468000.0,150770000.0,153572000.0,152670000.0,110677000.0,41950000.0,43000.0,0.7945213469165565,0.7328038727739327,0.5379354926510616,0.746422738937709,-0.17088189306381674,-0.30657419067847047,0.05428644632334101,-0.26990210565201334,-0.2160294042574914,9145505810.0,319997860.0,404095990.0,439832890.0,0.21233731866603495,0.20005405246577646,0.26814135257122307,1.0,8.100419059777176,10538860544.0,-0.587,1.62,WEALTH.NS,,,,,0.5526726031293294,11.65377176015474,,,36.170212765957444,94.97098646034816,40.18330921369995,12.614789753504107,20.59961315280464,30.689655172413794,79.84336356141797,5.15625,15.299999999999999,26.69777086573354,91.49498151082938,95.1219512195122,44.033110362425056,Q2 (Low)
2025-11-30,133.5399932861328,137.0,114.5,117.94000244140625,4732472,-0.08545288227932413,-0.04300548129043247,,,0.4129525772935532,33.66206787755546,0.888329481919884,,0,11530570000.0,1930390000.0,3057370000.0,8473200000.0,9160700000.0,2795800000.0,34060000.0,,0.2278230184581976,0.1674149673433317,3.276593461621003,,4396150000.0,299380000.0,123240000.0,166880000.0,166880000.0,89460000.0,32140000.0,45280000.0,0.06810049702580667,0.028033620326876927,0.020349624102908227,0.037960488154407834,0.057229364770163826,-0.17051460361613346,0.018964705991428632,-0.5280649926144756,-0.4825586803509969,17270110000.0,470050000.0,635370000.0,800380000.0,0.05547490912524194,0.040765547583510614,0.06107218758140219,1.0,3.2367154442495036,12024598528.0,,,WCIL.NS,,,,,0.5202023348611649,47.38878143133462,,,27.466150870406196,36.07350096711799,42.305836951278344,33.01111648139198,28.868471953578336,38.91625615763547,,,56.55,16.537065837221355,5.229793977812995,77.33142037302726,40.645226333386965,Q1 (Lowest)
2025-11-30,3423.0,3475.10009765625,3075.10009765625,3172.5,15593700,-0.07566574059393139,-0.06693722454149487,,,0.3918555989643786,38.092850042769435,0.8031312145549879,,0,,,,,,,,,,,,,44258300000.0,14241800000.0,8152600000.0,11686700000.0,9866100000.0,7452000000.0,1704700000.0,432500000.0,0.3217882295524229,0.18420499657691325,0.1683751974205968,0.2640566854126797,0.12475044117527467,0.20404839460214053,0.52118815338675,0.6146191063260915,0.5251094238965608,152269620000.0,22508490000.0,27123550000.0,36107390000.0,,,,0.0,,912540762112.0,,0.13,WAAREEENER.NS,,,,,0.5592051942381657,39.313346228239844,,,31.76982591876208,25.77369439071567,94.35600578871201,38.424359594006766,39.02321083172147,71.67487684729063,9.480626545754328,,71.45,83.51477449455676,36.027469624933964,,49.38721268431291,Q3 (Medium)
2025-11-30,150.57000732421875,182.75999450683594,140.0,177.6999969482422,9373316,0.21205917883132108,0.3425702466781444,,,0.5526060692232754,73.44175603918201,1.4609540023954042,,0,3027604000.0,922880000.0,2020331000.0,1005579000.0,2412319000.0,1802324000.0,41245000.0,595080000.0,0.9177598179755146,0.3048218987687954,1.3384491356714996,1.0082754266158582,952341000.0,139531000.0,23498000.0,43118000.0,23530000.0,2577000.0,-1072000.0,22026000.0,0.14651369624955768,0.024673935071576253,0.0027059635151694614,0.045275799319781464,-0.38454931794740554,-0.7671666064329599,-0.26507201181637396,-0.49638460035176857,0.2253260962232515,7678813000.0,180860000.0,311220000.0,386902000.0,0.17985658013940228,0.05973700655700019,0.16138274134944014,1.0,3.268679325301459,23813220352.0,-0.245,0.11,WEL.NS,,,,,0.4351034061639378,94.97098646034816,,,9.187620889748544,89.21663442940039,53.01495417269657,98.21169647172547,96.42166344294004,17.536945812807883,7.337180544105523,15.520833333333334,7.199999999999999,67.96267496111975,12.044374009508717,30.774748923959827,46.62668756344628,Q2 (Low)
2025-11-30,1688.199951171875,1833.0,1667.0,1831.5999755859375,35050941,0.07526121247765816,0.14869863630350433,,,0.1539773894881561,90.44743183352952,1.0459392151700606,,0,,,,,,,,,,,,,137860700000.0,109713100000.0,33720700000.0,39481200000.0,32475700000.0,22786300000.0,8701500000.0,748000000.0,0.7958257864641627,0.2445998025543175,0.16528495793217357,0.2863847347358602,0.07572735685782472,0.059887063464007184,0.10072729392207758,-0.19642617840190157,-0.04638698410934816,533028100000.0,103720500000.0,129503300000.0,163668300000.0,,,,0.0,,4394621861888.0,0.266,0.87,SUNPHARMA.NS,,,,,0.5401096593176692,84.71953578336557,,,98.69439071566731,55.27079303675049,99.27641099855282,90.62348960850653,99.46808510638297,60.591133004926114,61.78895300906843,59.32291666666667,61.35,38.31000518403318,91.60063391442155,,70.0677564685561,Q5 (Highest)
2025-11-30,265.1000061035156,293.25,243.10000610351562,254.0500030517578,2378386,-0.0744990781356728,-0.05586989219190286,,,0.2771061529084018,43.49775754069493,0.8850706390142044,,0,108712400000.0,5798200000.0,23281000000.0,85415300000.0,15978900000.0,10839700000.0,1421100000.0,9524000000.0,0.0678824519728901,0.05333522210897745,1.474109062058913,0.5954869599712169,9729900000.0,3575900000.0,739600000.0,1031600000.0,761500000.0,455300000.0,138000000.0,168100000.0,0.3675166240146353,0.07601311421494568,0.04679390332891396,0.10602370014080309,-0.039316357460925544,-0.2727998722248842,0.12388245893686323,0.11620495219416527,-0.032723863103609974,37595400000.0,2015200000.0,3212500000.0,4169300000.0,0.02359296285325931,0.01853698382153278,0.03521956727896638,1.0,1.5256475802208396,45784752128.0,0.591,0.3,SUNFLAG.NS,,,,,0.3426775397223691,42.89168278529981,,,66.7311411992263,35.5899419729207,63.96526772793053,38.95601739971,52.659574468085104,32.857142857142854,25.39159109645507,86.484375,30.2,39.657853810264385,44.32118330692023,37.37446197991392,46.472015573591264,Q2 (Low)
