Ticker,Predicted_Direction,Predicted_Probability,Quarter_Date,Staleness_Days,debt_to_equity,roce,roe,roc_1m,roc_3m,volatility_30d,rsi_14d,Rank,Category,Confidence
BANCOINDIA.NS,1,0.8353935550886903,2025-09-01,211,0.10993249758919961,39.0,,-20.04927408123533,-25.899048807370644,44.476247604047714,39.01083423456534,1,Strong Buy,0.6707871101773806
SOMATEX.NS,1,0.8322192212849752,2025-09-01,211,0.020392937080328282,-1.74,,-21.43909497587663,-26.742113999809792,43.48674098566384,24.690912420099437,2,Strong Buy,0.6644384425699503
MFSL.NS,1,0.813677123077779,2025-09-01,211,0.0020780762950868338,0.0,,-19.62581601245042,-10.843304355749103,28.27123090980247,23.477621488911424,3,Strong Buy,0.6273542461555579
TERASOFT.NS,1,0.8067923921360056,2025-09-01,211,1.164179104477612,11.0,,-22.83975168441686,-27.577826130259886,55.153893546338374,26.262988111292586,4,Strong Buy,0.6135847842720112
IIFL.NS,1,0.80045198670218,2025-09-01,211,4.795408311537344,,,-15.423911605697672,-27.63705109788631,36.560849899076345,36.21676989502406,5,Strong Buy,0.60090397340436
MEGASOFT.NS,1,0.7995396722923751,2025-09-01,211,0.06857142857142857,8.0,,-11.266162843632518,-28.0635885289507,54.79463889907319,46.40940187873764,6,Strong Buy,0.5990793445847502
IZMO.NS,1,0.7979587158633071,2025-09-01,211,0.08571027118167773,0.68,,-21.416264827551835,-23.981731037461287,62.41699008579362,33.36823593448251,7,Strong Buy,0.5959174317266143
APOLLO.NS,1,0.7908885247152041,2025-09-01,211,0.6070110701107011,15.0,,-23.81430405181785,-31.915525332385545,56.182378137975974,35.1712292132686,8,Strong Buy,0.5817770494304082
GAYAHWS.NS,1,0.7896129989899701,2025-09-01,211,-2.5421686746987953,7.0,,-11.11111111111111,-31.740615889694713,58.35430133098506,40.40403991752164,9,Strong Buy,0.5792259979799401
ASHOKLEY.NS,1,0.7854214055464587,2025-09-01,211,1.0268019776216497,36.0,,-27.163175446220972,-11.764362637174493,44.97964875803949,29.638819037186607,10,Strong Buy,0.5708428110929173
LOTUSEYE.NS,1,0.779487919386728,2025-09-01,211,0.17964368195315078,2.99,,-10.570882652092251,-22.922387989107023,53.11646611442804,38.289875633997255,11,Strong Buy,0.558975838773456
THYROCARE.NS,1,0.778583612616972,2025-09-01,211,0.2616279069767442,26.0,,-13.327548134613926,-24.10161826991468,35.81747091976344,38.384743858471445,12,Strong Buy,0.5571672252339439
