Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_12M_percentile,Volume_Ratio_percentile,Volatility_60_percentile,RSI_percentile,ROC_6M_percentile,ROC_3M_percentile,ROC_1M_percentile,market_cap_current_percentile,Interest_Expense_percentile,Net_Income_Growth_YoY_percentile,dividend_yield_percentile,beta_percentile,Net_Income_Growth_QoQ_percentile,Tax_Provision_percentile,Revenue_Growth_YoY_percentile,composite_score,quality_quintile
2025-10-31,20.790000915527344,20.790000915527344,20.3700008392334,20.690000534057617,471772,,,,,,,,,0,0.0,,-7700000.0,1800000.0,1800000.0,400000.0,1300000.0,100000.0,,,,,634931000.0,,274472000.0,360459000.0,540943000.0,263937000.0,254070000.0,,,,2.0495156041024942,,,-0.9903846153846154,,-0.9917695473251029,-0.9731743666169895,22477000.0,68246000.0,10834000.0,84896000.0,0.18933082541981197,0.1074856952960243,,1.0,1.3630879575890922,4317160960.0,0.108,,HINDMOTORS.NS,,,,,0.25253252828306316,,,,,,,,26.478616924476796,3.6573628488931664,14.835680751173708,,53.8422649140546,12.730627306273062,21.32284921369103,,38.85782679723749,Q1 (Lowest)
2026-02-28,247.5500030517578,268.0,238.8000030517578,258.6499938964844,20125447,-0.02451442636101897,-0.06523316774211618,,,0.3794252555342625,61.811020919055,1.156858250302697,,0,11394500000.0,5381000000.0,1850700000.0,2448900000.0,2001200000.0,1432500000.0,441500000.0,125200000.0,0.47224538154372725,0.16242046601430515,0.12571854842248453,0.21491947869586203,,,,,,,,,,,,,-0.12864768138994254,-0.11267343904856297,-0.12187885326757086,-0.010567757977621217,0.014163250093179203,52340742000.0,7419075000.0,9653352000.0,11933699000.0,,,,0.0,,167777943552.0,0.649,0.39,GPIL.NS,,,,,0.24405787056396575,,56.29562043795621,46.049046321525886,65.69343065693431,,60.85376930063578,45.776566757493185,79.61783439490446,69.20115495668912,47.6056338028169,29.438543247344462,95.34883720930233,44.37269372693727,80.75855689176689,13.446969696969695,55.630577160085096,Q4 (High)
2026-02-28,1140.0,1217.9000244140625,1106.0,1114.4000244140625,299548,-0.051844347000625235,-0.0948306633187872,,,0.3302154567887931,53.50215793648392,0.5233913766572009,,0,37856300000.0,13360300000.0,3976600000.0,5053700000.0,3713800000.0,2121100000.0,1098500000.0,488900000.0,0.3529214424019252,0.1050446028798377,0.05603030407092082,0.13349693446005023,,,,,,,,,,,,,0.16530044972803926,0.8707884988534134,0.28721331542528783,2.371106166560712,1.1497787987068233,132245700000.0,7665400000.0,13121400000.0,17848500000.0,,,,0.0,,172788416512.0,-0.346,1.27,DCMSHRIRAM.NS,,,,,0.4022627176021749,,8.485401459854014,59.763851044504996,40.96715328467153,,50.95367847411444,33.2425068119891,80.2547770700637,85.65928777670837,93.89671361502347,70.63732928679818,16.885743174924166,89.57564575645756,90.47178538390379,80.01893939393939,60.05418750219685,Q4 (High)
2026-02-28,41.0,42.029998779296875,37.959999084472656,38.439998626708984,1088905,-0.15274411435583202,-0.7600499415794104,,,1.444670186276598,45.862064127219654,0.8627884597398456,,0,5222400000.0,1374100000.0,-7000000.0,149300000.0,46600000.0,-31200000.0,-2200000.0,80000000.0,0.26311657475490197,-0.0013403799019607843,-0.0059742647058823525,0.028588388480392156,19503100000.0,3020200000.0,10378600000.0,9124500000.0,11753900000.0,8182100000.0,333000000.0,4295900000.0,0.3309989588470601,0.15485743292092027,1.436538297014214,0.911501937155498,0.0575085047788757,-1.1849436870183758,-0.007940427795296578,-1.1361850720209516,-0.7268569337724113,19653270000.0,609523000.0,1063939000.0,1685879000.0,0.06680070140829635,0.03125262137813989,0.08760521050334714,1.0,1.8903410227092101,3343979520.0,0.084,10.41,DCMSRIND.NS,,,,,0.358067437722915,,32.299270072992705,0.0,20.71167883211679,,0.09082652134423251,6.630336058128973,23.475887170154685,61.21270452358036,11.830985915492958,100.0,51.21334681496461,10.055350553505535,9.250693802035153,25.094696969696972,30.124385148934202,Q1 (Lowest)
2026-02-28,3.9800000190734863,5.130000114440918,3.819999933242798,4.409999847412109,232088,-0.08506230490609024,-0.28292686519891286,,,0.49032187751152856,44.623648608981505,0.4868442834902891,,0,0.0,-936000.0,-4137000.0,-3399000.0,-4137000.0,-2592000.0,-21000.0,,,,,,,,,,,,,,,,,,,-0.32359081419624214,,0.08361204013377921,-0.0964912280701754,32000.0,-17122000.0,-10977000.0,-1981000.0,,,,0.0,,98281096.0,-0.089,,DCMFINSERV.NS,,,,,0.48951734315316525,,7.481751824817519,19.61852861035422,18.15693430656934,,7.538601271571299,19.709355131698455,0.18198362147406735,,56.24413145539906,,33.51870576339737,29.243542435424352,11.285846438482887,,30.198625390612563,Q1 (Lowest)
2026-02-28,1539.800048828125,1654.0,1510.300048828125,1522.9000244140625,440352,-0.0729286725018462,-0.1423180641171644,,,0.26991430438605996,44.35205953448784,0.35041756149910247,,0,3540000000.0,1695000000.0,494700000.0,751700000.0,574800000.0,422600000.0,149800000.0,2400000.0,0.4788135593220339,0.1397457627118644,0.11937853107344633,0.21234463276836157,,,,,,,,,,,,,-0.12706828101496803,-0.14522653721682843,-0.1467617922822917,-0.10956595027391491,-0.0909420728020317,14931561000.0,1814744000.0,2171308000.0,3131094000.0,,,,0.0,,77887275008.0,0.279,0.66,ALKYLAMINE.NS,,,,,0.24542686468752647,,3.64963503649635,79.56403269754769,17.974452554744524,,33.87829246139873,23.614895549500453,68.60782529572339,11.88642925890279,41.40845070422535,48.02731411229135,73.40748230535895,41.05166051660517,65.12488436632748,12.121212121212121,41.354437798688956,Q2 (Low)
2026-02-28,27.239999771118164,30.299999237060547,26.729999542236328,27.579999923706055,699230,0.16077439638156066,-0.10104303620058142,,,0.44346270349970085,56.87204123491408,1.0799368919008372,,0,337529000.0,113587000.0,15203000.0,35421000.0,26495000.0,-25249000.0,-6515000.0,58258000.0,0.33652515783828946,0.04504205564558897,-0.0748054241265195,0.1049420938645272,4336769000.0,1264160000.0,2372121000.0,1964648000.0,3423585000.0,1651242000.0,81128000.0,2756496000.0,0.6434536873780952,0.291498117607832,2.0733393409324616,0.4039922676385412,-0.18061563857937024,-22.785159620362382,-0.41202262516745025,-1.662320969518913,-0.7088166385794731,1717910000.0,-44510000.0,161161000.0,222794000.0,-0.022655457873369683,-0.010263401163400679,0.049913466517674636,0.0,1.5409311171519628,2028524416.0,,0.73,LANCORHOL.NS,,,,,0.30956493990397554,,51.277372262773724,28.065395095367847,51.09489051094891,,48.86466848319709,93.64214350590372,18.198362147406733,56.40038498556304,7.511737089201878,52.65553869499241,,0.7380073800738007,7.400555041628122,4.166666666666666,38.001048124248264,Q1 (Lowest)
2026-02-28,59.779998779296875,62.79999923706055,54.0,59.83000183105469,178007,-0.052573232218588006,-0.1202764306460462,,,0.4202774952350336,43.56790735840091,1.8663421408680878,,0,72742000.0,72725000.0,-13378000.0,3010000.0,-13336000.0,-31265000.0,0.0,17929000.0,0.9997662973247917,-0.18391025817272003,-0.42980671414038657,0.04137912072805257,1659140000.0,2214724000.0,3267465000.0,-1608325000.0,97765000.0,1116130000.0,1475000.0,57664000.0,-1.3770376012310945,1.3348626396807985,0.08759284312759266,0.035928610466522716,0.7455007918606325,-0.4910301491176662,-0.3656515976001117,-0.5960020157903578,-1.0674162336498836,230230000.0,-228620000.0,-160002000.0,-96355000.0,0.1421478867766154,-0.13779427896380053,-0.2638559760157916,0.0,-1.9814312234048967,1301180544.0,0.232,,KREBSBIO.NS,,,,,0.1896797770451587,,88.41240875912408,33.514986376021795,15.875912408759124,,41.87102633969119,32.879200726612176,12.92083712465878,34.16746871992301,22.253521126760564,,68.85743174924166,23.8929889298893,14.153561517113783,4.640151515151516,36.22929968619646,Q1 (Lowest)
2026-02-28,10.289999961853027,10.789999961853027,9.210000038146973,9.289999961853027,52661660,-0.10758884745204966,-0.2902979485438435,,,0.8750098283457135,51.785712765187476,0.9770384894931274,,0,5160000000.0,4130000000.0,100000000.0,130000000.0,130000000.0,0.0,-20000000.0,160000000.0,0.8003875968992248,0.01937984496124031,,0.025193798449612403,,,,,,,,,,,,,-0.03910614525139666,-1.0,-0.005780346820809301,-1.0,-0.6829268292682926,86574700000.0,-1165000000.0,1395400000.0,-268000000.0,,,,0.0,,13927728128.0,0.277,6.36,ALLCARGO.NS,,,,,0.3354665568219405,,42.700729927007295,0.5449591280653863,36.77007299270073,,6.811989100817439,13.71480472297911,44.313011828935394,73.14725697786332,14.460093896713616,98.93778452200304,73.25581395348837,12.361623616236162,5.45790934320074,25.28409090909091,36.517342727940104,Q1 (Lowest)
2026-02-28,495.0,545.0999755859375,472.0,486.3500061035156,3870653,-0.27182214654029646,-0.14798009904499576,,,0.45524846555348397,35.9826002633998,0.5316535362726397,,0,4780400000.0,3689700000.0,2787400000.0,2863600000.0,2787400000.0,1610000000.0,1169300000.0,,0.7718391766379382,0.5830892812316961,0.33679190025939254,0.5990293699272028,,,,,,,,,,,,,-0.2097336793903225,-0.790055680884635,-0.2251434499303011,-0.7015257410874844,-0.5339420275702684,20164300000.0,36334600000.0,33034500000.0,32948700000.0,,,,0.0,,413020815360.0,-1.112,0.04,AIIL.NS,,,,,0.37269682270753723,,8.94160583941606,25.52225249772934,7.481751824817519,,31.88010899182561,0.9082652134423252,88.98999090081892,,20.187793427230048,1.669195751138088,1.820020222446916,16.88191881918819,90.84181313598519,8.238636363636363,30.22422353251164,Q1 (Lowest)
