Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,RSI_percentile,ROC_1M_percentile,Volume_Ratio_percentile,Volatility_60_percentile,ROC_12M_percentile,market_cap_current_percentile,ROC_6M_percentile,beta_percentile,Net_Income_Growth_QoQ_percentile,dividend_yield_percentile,Revenue_Growth_QoQ_percentile,Current_Ratio_percentile,Gross_Margin_percentile,Gross_Profit_percentile,composite_score,quality_quintile
2025-06-30,90.30000305175781,92.44999694824219,41.93967056274414,41.93967056274414,58766,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923343808.0,0.589,,UMANGDAIRY.NS,,,,,0.5072747386219575,,,,,,,8.901790033865506,,85.81818181818181,,,,,,,49.64799812346983,Q3 (Medium)
2025-08-31,15.15999984741211,17.81999969482422,15.149999618530273,15.710000038146973,630284,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850927424.0,-0.702,,INDSWFTLTD.NS,,,,,0.65040526060784,,,,,,,8.61151427189163,,3.5324675324675328,,,,,,,44.14293212029062,Q2 (Low)
2025-08-31,36.20000076293945,37.45000076293945,33.810001373291016,36.22999954223633,8044373,-0.027121431007197883,,,,,46.60713932952727,0.6294522933377762,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20347529216.0,-0.231,,UDAICEMENT.NS,,,,,0.6341027796154682,,64.67734109655507,63.71124031007752,19.44713870029098,,,50.89501693275278,,14.805194805194805,,,,,,,47.56906212299142,Q3 (Medium)
2025-10-31,56.310001373291016,56.310001373291016,50.38999938964844,50.459999084472656,22215945,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31367266304.0,0.147,,DHANI.NS,,,,,0.5282881773734558,,,,,,,58.78084179970973,,45.298701298701296,,,,,,,50.27196953989408,Q3 (Medium)
2025-10-31,310.75,310.75,300.25,307.3500061035156,470624,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36425633792.0,-0.192,,MANGCHEFER.NS,,,,,0.6510863743156509,,,,,,,61.24818577648766,,16.90909090909091,,,,,,,48.54381844570525,Q3 (Medium)
2025-10-31,20.790000915527344,20.790000915527344,20.3700008392334,20.690000534057617,471772,,,,,,,,,0,634931000.0,,274472000.0,360459000.0,540943000.0,263937000.0,254070000.0,,,,2.0495156041024942,,0.0,,-7700000.0,1800000.0,1800000.0,400000.0,1300000.0,100000.0,,,,,,-0.9903846153846154,,-0.9917695473251029,-0.9731743666169895,22477000.0,68246000.0,10834000.0,84896000.0,0.18933082541981197,0.1074856952960243,,1.0,1.3630879575890922,4317160960.0,0.407,,HINDMOTORS.NS,,,,,0.22621158311017067,,,,,,,26.511852926947267,,72.25974025974025,12.660098522167488,,,57.43481324876674,,,47.92443366384146,Q3 (Medium)
2025-10-31,21.84000015258789,21.84000015258789,18.1200008392334,18.850000381469727,1086774,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705583360.0,,,IEL.NS,,,,,0.528798903932267,,,,,,,24.770198355104014,,,,,,,,,48.31801322367361,Q3 (Medium)
2025-11-30,66.30999755859375,66.88999938964844,64.94999694824219,66.5,908030,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9803060224.0,0.257,,ACLGATI.NS,,,,,0.5279664197336413,,,,,,,39.18722786647315,,56.8051948051948,,,,,,,49.732828178111205,Q3 (Medium)
2025-12-31,464.45001220703125,487.79998779296875,382.25,426.04998779296875,160535,-0.11267313712635196,-0.20823265726960394,,,0.3569526559791201,35.361211729735686,1.0365539442272833,,0,3457888000.0,503455000.0,771331000.0,2600813000.0,905747000.0,313001000.0,176401000.0,123383000.0,0.193576008732654,0.14559609796500061,2.8937511381752774,2.4995575094009284,327224000.0,241955000.0,118725000.0,186244000.0,162690000.0,126915000.0,34648000.0,9523000.0,0.7394170354252745,0.36282485392269515,0.38785358042197393,0.5691636310295088,0.019589514452992285,-0.019931117563476874,0.4319021196898356,0.16403742089333218,0.08212818620757778,1203238000.0,484106000.0,533461000.0,714134000.0,0.18613641196041392,0.1400004858456954,0.17184759820994835,1.0,1.7619276274997917,8802192384.0,0.136,,INNOVANA.NS,,,,,0.5470162997108122,19.631604459524965,32.79961183891315,14.147286821705427,68.71968962172647,40.329617062530296,,36.86502177068215,,44.077922077922075,51.724137931034484,,45.42271135567784,73.22057787174067,89.33333333333333,27.29177579884756,46.23755266290923,Q2 (Low)
2025-12-31,100.11000061035156,102.0,91.31999969482422,98.0999984741211,1442598,-0.04348673157801708,-0.17556096953262568,,,0.30258095127950263,47.93082941182569,0.7917193732246979,,0,7769900000.0,2418140000.0,3609170000.0,4160730000.0,4222680000.0,1189940000.0,216710000.0,1052470000.0,0.5811816676400535,0.311218934606623,3.548649511740088,2.6641763450258,1637260000.0,935740000.0,297460000.0,500330000.0,316570000.0,188720000.0,63910000.0,63940000.0,0.5715280407510108,0.1816815899734923,0.11526574887311729,0.3055898269059282,0.3650772476008637,1.9941297794700934,-0.11771299240178912,-0.28679944068629304,-0.1397647948832571,5923880000.0,573140000.0,961770000.0,1734600000.0,0.13774986600908976,0.07376414110863717,0.14619075920332822,1.0,2.1149398319154686,6412807168.0,,3.06,MUFTI.NS,,,,,0.28079485887692585,28.259815802229767,68.94711305191655,53.19767441860465,38.21532492725509,56.61657779932138,,32.41412675374939,,,94.48275862068965,93.37748344370861,89.54477238619309,79.77448907681466,76.42666666666666,50.91671031953903,60.81156755111257,Q5 (Highest)
