Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,Volume_Ratio_percentile,ROC_6M_percentile,Volatility_60_percentile,ROC_12M_percentile,market_cap_current_percentile,RSI_percentile,beta_percentile,Current_Ratio_percentile,Net_Income_Growth_QoQ_percentile,Revenue_Growth_QoQ_percentile,Tax_Provision_percentile,dividend_yield_percentile,Debt_to_Equity_percentile,composite_score,quality_quintile
2026-04-30,49.75,50.400001525878906,48.02000045776367,49.88999938964844,674866,,,,,,,,,0,2750000000.0,3079100000.0,-724200000.0,314500000.0,-638100000.0,-1153900000.0,0.0,515800000.0,1.1196727272727274,-0.26334545454545455,-0.4196,0.11436363636363636,,,,,,,,,,,,,-0.034850665075632614,-0.009952809952810004,0.0619400679641644,0.19007838283828393,-0.0870827285921626,11344600000.0,-4242500000.0,-2615400000.0,467100000.0,,,,0.0,,12887883776.0,0.336,,SANGHIIND.NS,,,,,0.20951311674666068,,,,,,,43.23529411764706,,51.170212765957444,,46.676587301587304,24.77386934673367,17.858917039244908,,,45.58099203807803,Q2 (Low)
2026-05-31,1286.0,1288.0,1222.0999755859375,1260.0999755859375,157368,,,,,,,,,0,5794000000.0,2840000000.0,990000000.0,1141000000.0,1092000000.0,803000000.0,273000000.0,16000000.0,0.49016223679668625,0.17086641353123921,0.13859164653089404,0.1969278564031757,,,,,,,,,,,,,0.08461250467989512,0.21851289833080423,,,,21602771000.0,2829502000.0,3383620000.0,4112648000.0,,,,0.0,,34711924736.0,-0.081,,CIGNITITEC.NS,,,,,0.20330115304585586,,,,,,,58.77450980392157,,11.48936170212766,,63.24404761904761,56.68341708542714,74.81371087928464,,,51.0003364726539,Q3 (Medium)
2026-05-31,287.54998779296875,290.0,257.1499938964844,277.0,8022437,,,,,,,,,0,38849980000.0,10126774000.0,4242996000.0,7079517000.0,5192210000.0,2567506000.0,1311133000.0,90587000.0,0.26066355761315707,0.10921488247870398,0.06608770454965485,0.18222704361752567,,,,,,,,,,,,,-0.030658841937876935,-0.015403010808107798,-0.10904190605778885,0.09656778289247203,0.09097688234860812,161958103000.0,10524983000.0,13658777000.0,35055983000.0,,,,0.0,,156286550016.0,0.705,,GSPL.NS,,,,,0.3983038918518724,,,,,,,80.24509803921569,,87.15425531914893,,46.18055555555556,25.57788944723618,91.50521609538002,,,55.37753429710243,Q4 (High)
2026-07-31,333.54998779296875,344.5,282.1000061035156,298.45001220703125,718011,-0.09354590066201596,0.15745590514826846,,,0.7241685472108628,31.463537613993594,0.7646623119633197,,0,778103000.0,372258000.0,103349000.0,99961000.0,93067000.0,60154000.0,21861000.0,11052000.0,0.4784173817605124,0.13282174724940016,0.07730853113276777,0.12846756791838612,2376361000.0,464425000.0,1003295000.0,1373066000.0,2188054000.0,982228000.0,537000.0,858270000.0,0.33823938543376647,0.1954353736658698,2.227643683543943,1.35384452489646,0.17443482145821942,0.21090242969583506,0.6339939142833744,0.44538420875582685,0.5061853029367005,2548858000.0,191645000.0,308781000.0,323088000.0,0.1395744996963001,0.08064641693749393,0.16804490470973735,1.0,2.619662037880608,4378375168.0,0.169,,THOMASCOTT.NS,,,,,0.208463098763026,79.09715407262021,15.309126594700686,24.076809453471196,,1.6192345436702738,,27.15686274509804,24.679802955665025,31.409574468085104,63.59861591695501,62.74801587301587,73.81909547738694,38.201689021361155,,55.96140592694693,43.17849246993176,Q2 (Low)
2026-07-31,443.0,449.95001220703125,375.25,385.8999938964844,37594384,-0.12275517333311692,-0.14268481045149695,,,0.33747036929502294,24.76189581902473,1.4481723757556608,,0,7360000000.0,5626000000.0,287000000.0,1026000000.0,-96000000.0,-90000000.0,-102000000.0,96000000.0,0.7644021739130434,0.0389945652173913,-0.012228260869565218,0.13940217391304346,,,,,,,,,,,,,-0.2899179932465027,-1.0608519269776877,-0.2770137524557956,-1.0490998363338788,-0.7169655172413794,35641000000.0,2406000000.0,4604000000.0,8003000000.0,,,,0.0,,155325972480.0,-0.001,0.32,SYNGENE.NS,,,,,0.34686608852715084,14.81844946025515,7.114818449460255,89.80797636632201,,64.32777232580962,,80.09803921568628,12.709359605911331,16.80851063829787,,14.732142857142858,6.884422110552764,3.8748137108792844,25.721561969439726,,35.79319111398381,Q1 (Lowest)
2026-07-31,2564.89990234375,2708.0,2436.699951171875,2556.300048828125,188237,0.015492789593420042,0.030017622415980716,,,0.317267962703339,60.0888010236017,0.8891994582725045,,0,7117044000.0,4509272000.0,1065750000.0,1530171000.0,1202513000.0,760803000.0,276698000.0,148377000.0,0.6335877648079736,0.14974615865800464,0.10689873492421854,0.21500091892083287,32493348000.0,8190807000.0,11829956000.0,20222401000.0,19126226000.0,9338602000.0,1600872000.0,7863198000.0,0.4050363258052296,0.25207642499627925,2.048082357509186,1.20607217225876,0.07438544762437282,0.4304680214193315,0.01341697685786869,0.1532577736209999,0.0993176371191613,27589805000.0,2853081000.0,3444059000.0,5697012000.0,0.1410851757909459,0.0878050793657828,0.12121331037311943,1.0,2.203977506411466,58507153408.0,0.215,1.55,TIIL.NS,,,,,0.22503471672965814,58.68498527968596,68.84200196270854,40.423436730674545,,71.00098135426889,,67.00980392156862,82.85714285714286,36.67553191489362,59.16955017301038,72.91666666666666,53.36683417085427,75.01241927471436,77.24957555178268,61.33700895933839,61.63639592115399,Q5 (Highest)
2026-07-31,1359.9000244140625,1440.0,1291.0,1360.199951171875,4481378,-0.026899482288452403,0.15702618188123907,,,0.4286690962349156,43.37961450690996,0.5960921181033767,,0,2193767000.0,1944494000.0,711917000.0,979204000.0,735920000.0,479293000.0,163389000.0,93238000.0,0.8863721625860905,0.32451805501678166,0.21847944654104104,0.4463573387693406,15070483000.0,4225850000.0,5498965000.0,9571518000.0,3218996000.0,1238644000.0,396752000.0,48920000.0,0.4415025913339974,0.28040574412910324,2.59880643671628,2.559311634335612,0.0690335719016053,0.11010925228081803,0.2982206452025238,0.35781284969219995,0.36324515619757514,7858826000.0,1643080000.0,2355934000.0,3430418000.0,0.171663470726378,0.10902636630823312,0.1707524217662383,1.0,1.7294674364451357,138470129664.0,0.338,0.15,VIJAYA.NS,,,,,0.42043375200938177,79.04808635917566,49.21491658488714,9.650418513047759,,36.015701668302256,,78.57843137254902,51.37931034482759,51.62234042553191,70.31141868512111,56.69642857142857,51.85929648241206,66.07054148037754,12.054329371816639,63.47346657477602,51.73164576228355,Q3 (Medium)
2026-07-31,500.0,527.0,485.0,502.3999938964844,12207796,0.0,0.10612060852936045,,,0.32372760071575163,44.774099658235606,1.0034074503684995,,0,10330000000.0,5136600000.0,1744900000.0,2215400000.0,1880200000.0,1419800000.0,420800000.0,39000000.0,0.4972507260406583,0.16891577928363988,0.13744433688286545,0.21446272991287513,,,,,,,,,,,,,0.05487817331454359,-0.0393775372124493,0.15279885724488884,0.4058817704723241,0.32325886990801567,38165000000.0,4982600000.0,6178300000.0,7965800000.0,,,,0.0,,150967320576.0,0.198,0.76,USHAMART.NS,,,,,0.20274183327956657,72.81648675171736,61.99705593719332,56.03151157065484,,69.03827281648675,,79.70588235294119,54.285714285714285,34.57446808510639,,45.13888888888889,48.09045226130653,80.32786885245902,55.43293718166383,,57.1626359322755,Q4 (High)
2026-07-31,22.25,24.010000228881836,21.049999237060547,22.469999313354492,383598,-0.023468096921161363,-0.056675079713080945,,,0.3761712236247754,51.09717306036545,0.8953596141320134,,0,480471000.0,210421000.0,150540000.0,200522000.0,177721000.0,133547000.0,26878000.0,17296000.0,0.4379473474986003,0.31331755714704945,0.2779501780544507,0.41734464723157066,3650876000.0,766120000.0,1947801000.0,1703075000.0,2078170000.0,1220512000.0,147651000.0,855953000.0,0.4498451330681268,0.20984552748436267,1.7027034555989617,1.0013969547206418,0.013502225409749657,-3.7899596799465183,-0.5728588535568648,-3.136854569019313,-24.433680028047213,2113256000.0,16558000.0,65499000.0,178139000.0,0.009722413869031018,0.004535349872195057,0.0265264590281448,1.0,1.6744556374963158,1231696512.0,0.587,,USK.NS,,,,,0.22451764002565364,35.9666339548577,51.32482826300294,41.3096996553422,,50.68694798822374,,13.137254901960786,67.73399014778325,78.8031914893617,46.78200692041523,5.357142857142857,35.92964824120603,40.88425235966219,,64.02481047553411,45.46269381696618,Q2 (Low)
2026-07-31,2952.0,3470.0,2839.10009765625,3155.39990234375,163940,0.060032906944995856,0.18326019429261886,,,0.3943957298023766,57.235935441651776,0.7625198671393787,,0,4538334000.0,1906330000.0,487999000.0,785341000.0,579932000.0,217180000.0,185130000.0,177622000.0,0.42005061769362945,0.10752822511520747,0.04785456513337273,0.17304610017684904,17161570000.0,6339109000.0,9973719000.0,7187851000.0,7927002000.0,6304108000.0,93066000.0,2428980000.0,0.8819199229366329,0.3693781512996771,1.2574343586753272,0.8721332185298856,-0.023902309662591437,-0.13262270006030663,0.0744996297060947,-0.42881639437390195,0.036997472673446774,17891842000.0,977965000.0,2091062000.0,3039444000.0,0.13605805128681717,0.05698575363442855,0.15458476997048856,1.0,1.853914402936328,28635725824.0,0.542,0.79,TCPLPACK.NS,,,,,0.29816873244860714,82.18842001962709,81.5505397448479,23.879862136878387,,45.33856722276742,,55.98039215686275,79.06403940886699,75.61170212765957,26.85121107266436,38.64087301587302,26.532663316582916,68.35568802781917,56.536502546689306,83.18401102687801,56.24763145493446,Q4 (High)
