Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,ROC_12M_percentile,Volume_Ratio_percentile,Volatility_60_percentile,RSI_percentile,ROC_6M_percentile,beta_percentile,market_cap_current_percentile,dividend_yield_percentile,Net_Income_Growth_QoQ_percentile,Revenue_Growth_QoQ_percentile,Gross_Margin_percentile,Interest_Expense_percentile,Total_Revenue_percentile,composite_score,quality_quintile
2026-01-31,363.0,369.0,361.1000061035156,367.70001220703125,1673776,-0.0332588239607956,-0.08063507692382821,,,0.16605459136068718,44.8869765858953,0.8807307781378999,,0,43645100000.0,13898700000.0,2393200000.0,4451700000.0,2930700000.0,1719400000.0,796900000.0,397400000.0,0.3184481190328353,0.05483318860536463,0.03939502945347817,0.10199770420963636,218159900000.0,16446700000.0,70673700000.0,147246900000.0,66499200000.0,54595700000.0,1196200000.0,38892800000.0,0.1116947113996967,0.07538828171446724,1.2180299913729469,0.5056515439860648,-0.07041566562728963,-0.37016007912377746,-0.01921123595505614,-0.25657212037357313,-0.13103650204958028,173184400000.0,7886100000.0,12230900000.0,19201000000.0,0.05355698490087058,0.036148256393590206,0.07471825410400895,1.0,1.848577900888293,312584994816.0,0.441,0.54,EXIDEIND.NS,,,,,0.21337168295058342,45.82929194956353,28.986912263693647,,60.60164968461912,96.26576139670223,29.80582524271845,,75.80061983471074,87.94188861985472,43.82255389718076,28.684080827994084,24.974974974974977,34.92233529726835,84.0270551508845,92.9493545183714,55.64082024390243,Q4 (High)
2026-01-31,1270.0,1270.0,1236.0,1256.0999755859375,2145074,-0.016828428624648062,0.00600672765228949,,,0.16193947644149737,33.60106023119839,1.0515823475778887,,0,88051000000.0,48140000000.0,17867000000.0,24308000000.0,19257000000.0,14372000000.0,4082000000.0,907000000.0,0.546728600470182,0.20291649157874414,0.1632235863306493,0.27606727919046914,542005000000.0,58539000000.0,179923000000.0,358489000000.0,279517000000.0,150927000000.0,9906000000.0,75821000000.0,0.1632937133356951,0.10800453870351749,1.8520012986410648,1.3496326038415922,0.030414735758086398,0.013683171110170589,0.09841321324318253,0.14490560025491916,0.017113686765136693,342149000000.0,58621000000.0,70765000000.0,98493000000.0,0.16352245117702358,0.10815582882076734,0.1696888458328937,3.0,1.9591880148707113,1045775056896.0,0.345,0.64,DRREDDY.NS,15573000000.0,5438000000.0,-10135000000.0,58818000000.0,0.314981863107937,71.48399612027157,39.11778962675715,,71.85832120329937,96.89621726479146,9.660194174757281,,66.83884297520662,95.25423728813558,50.95356550580431,56.08674223755544,48.44844844844845,74.0224959828602,90.11446409989594,96.27606752730884,64.46742549700616,Q5 (Highest)
2026-01-31,499.0,503.95001220703125,497.0,498.6000061035156,27264,0.044297818317603044,-0.09444237520549204,,,0.14834311607728273,73.71177242267862,0.8461484755950028,,0,37446300000.0,14310600000.0,2003900000.0,4187500000.0,2293400000.0,269100000.0,109300000.0,1881200000.0,0.3821632577851483,0.05351396533168831,0.007186290768380321,0.11182680264805869,207792600000.0,93263100000.0,130517400000.0,77275200000.0,85485600000.0,67618600000.0,11149200000.0,23985800000.0,1.2068956146344494,0.44882782158748674,1.2642320308317534,0.9095101052077387,-0.024302352849214448,-0.5361944157187177,-0.009627006397727622,-1.416434540389972,0.2845880115344499,150438155000.0,3903185000.0,10905440000.0,18823961000.0,0.05051018955628714,0.01878404235762005,0.06394716025666962,1.0,1.3842266519596944,36114214912.0,0.284,0.6,UFLEX.NS,,,,,0.22042482962321142,40.78564500484966,74.30925836160931,,58.369723435225616,98.35111542192047,93.3009708737864,,59.55578512396694,60.82324455205811,48.466003316749585,22.917693445046822,32.732732732732735,46.920192822710234,93.18418314255983,91.75769612711024,61.431616290688396,Q5 (Highest)
2026-01-31,237.5,238.83999633789062,233.41000366210938,234.22999572753906,54941,-0.05772791856872095,0.04897588417603793,,,0.4298438184724558,32.49900159264017,0.46606656174070926,,0,4199710000.0,390550000.0,19110000.0,35290000.0,27170000.0,-1660000.0,23160000.0,5670000.0,0.0929945162880294,0.004550314188360625,-0.0003952653873719852,0.008402961156841781,5937950000.0,1861230000.0,5864880000.0,2297610000.0,4784870000.0,5148480000.0,548450000.0,49020000.0,0.8100722054656796,0.3134465598396753,0.9293752719249176,0.9198540151656411,0.22488377383584268,-1.0367744793974303,-0.19179771994242123,-1.9940119760479043,2.092900964066608,14551700000.0,13930000.0,118720000.0,97850000.0,0.006062821801785334,0.0023459274665499036,0.028546421598330304,1.0,2.9339558265057804,3829937920.0,0.305,,DELPHIFX.NS,,,,,0.45013126454375585,79.53443258971872,16.43238002908386,,22.22222222222222,22.405431619786626,8.398058252427184,,62.21590909090909,24.74576271186441,,12.074913750616068,83.48348348348348,6.963042313872522,20.759625390218524,59.98013902681232,37.947693365400994,Q1 (Lowest)
2026-01-31,24.489999771118164,24.489999771118164,23.260000228881836,23.540000915527344,181995,-0.06215137220053846,-0.12098579865734915,,,0.35477664545058796,46.40412066216437,1.0930254645717827,,0,1245848000.0,245451000.0,47491000.0,126099000.0,104382000.0,70622000.0,29008000.0,2773000.0,0.1970152057072773,0.038119417457025254,0.056685887845066174,0.10121539706288407,7271145000.0,125942000.0,4981171000.0,2272861000.0,5594197000.0,4868290000.0,1857151000.0,15749000.0,0.05541121960383851,0.01732079335510432,1.1491092354810415,1.1458742186681565,0.006692168336880577,0.030466629702045722,0.14447077844531409,-1.9548804067118268,-4.494789645806773,4781311000.0,-180153000.0,56599000.0,26234000.0,-0.07926265618531006,-0.024776427921599693,0.023594684515568808,0.0,1.2623686365764952,4905812992.0,0.343,,DIGISPICE.NS,,,,,0.5100201915363104,31.377303588748788,14.929714008725156,,73.65356622998544,38.942774005819594,33.300970873786405,,66.50309917355372,28.232445520581113,,57.861015278462304,41.99199199199199,17.24692019282271,14.672216441207075,34.70705064548163,40.22793786341106,Q1 (Lowest)
2026-01-31,436.70001220703125,439.20001220703125,426.8999938964844,433.8999938964844,221804,0.014140441057993058,-0.22142472025735305,,,0.34263098744056175,55.44008879188935,0.7271220410032294,,0,1724706000.0,553168000.0,336847000.0,415533000.0,390741000.0,282359000.0,82826000.0,26524000.0,0.32073176529796965,0.19530691027920122,0.16371427941921696,0.24092975846318154,13169185000.0,1648282000.0,2735779000.0,10410490000.0,8069208000.0,1014060000.0,839050000.0,1024559000.0,0.15832895473700084,0.12516203546384988,7.957327968759245,6.9469745379957795,-0.2780300800916242,-0.2546393820844618,-0.2612723358652811,-0.4313320322963303,-0.41113358057617877,9374426000.0,1628895000.0,2154733000.0,2364496000.0,0.15646669849353873,0.12368988665585608,0.1786859391652815,1.0,2.559363764728037,24094816256.0,0.29,0.35,EMSLIMITED.NS,,,,,0.2739532153708417,8.486905916585838,60.93068347067378,,47.30713245997089,42.91949563530552,60.04854368932039,,60.6146694214876,53.753026634382564,29.47761194029851,33.859043863972396,9.60960960960961,35.51151580074986,42.24765868886576,41.459781529294936,41.748378577367845,Q2 (Low)
2026-01-31,217.0,217.94000244140625,213.49000549316406,214.3800048828125,1250655,0.058300820119394636,0.010891745079518067,,,0.23827761150053295,38.00644272507137,0.9187874321134879,,0,12059000000.0,7187000000.0,1572000000.0,2638000000.0,1694000000.0,1043000000.0,348000000.0,285000000.0,0.5959864001990215,0.13035906791607926,0.08649141719877271,0.218757774276474,44596000000.0,8498000000.0,18283000000.0,26237000000.0,20042000000.0,13286000000.0,2110000000.0,8402000000.0,0.3238937378511263,0.19055520674499954,1.5085051934367002,0.8761101911786844,0.08845563679032398,0.04299999999999993,0.1102006996869822,0.19885057471264367,0.13364847443059724,43816000000.0,4121000000.0,5840000000.0,9470000000.0,0.15706826237755842,0.09240739079738093,0.16813012811285447,1.0,2.1133106108171136,68648529920.0,0.353,2.33,EPL.NS,,,,,0.25078781701002517,72.40543161978663,79.05962190984003,,63.41581756428918,78.61299709020369,16.359223300970875,,67.97520661157024,69.87893462469734,88.68159203980099,59.68457368161656,64.86486486486487,78.62881628280664,80.43704474505724,80.03972194637538,66.6695897521253,Q5 (Highest)
2026-01-31,7.949999809265137,8.199999809265137,7.650000095367432,8.149999618530273,57102,-0.03891508744339245,0.07661815504841729,,,0.39319600337715677,32.863831372405045,0.8400727231280233,,0,10600000.0,2400000.0,-1800000.0,-200000.0,-1800000.0,-1000000.0,-800000.0,0.0,0.22641509433962265,-0.16981132075471697,-0.09433962264150944,-0.018867924528301886,1959200000.0,0.0,48400000.0,1910800000.0,230300000.0,47100000.0,100000.0,200000.0,0.0,0.0,4.889596602972399,4.885350318471337,-0.26388888888888884,-1.625,-0.49282296650717705,-0.8571428571428572,-1.0555555555555556,43677000.0,-160698000.0,-6971000.0,-31050000.0,-0.08409985346451748,-0.08202225398121682,-0.003648210173749215,0.0,1.4968849530420578,348369120.0,-0.425,,TREEHOUSE.NS,,,,,0.6291515439174227,82.97769156159069,25.787687833252544,,57.73896166909267,29.825412221144518,8.689320388349515,,8.238636363636363,3.2445520581113803,,7.442089699359291,10.06006006006006,20.674879485806105,1.2747138397502602,3.723932472691162,27.311862510189638,Q1 (Lowest)
2026-01-31,28.610000610351562,29.1299991607666,27.93000030517578,28.389999389648438,151576,0.12480188776129797,-0.08271409725961765,,,0.34938786427873547,53.12499211957612,0.5690734496132422,,0,201400000.0,,43600000.0,167200000.0,122900000.0,88000000.0,33800000.0,3400000.0,,0.21648460774577954,0.4369414101290963,0.8301886792452831,13492100000.0,,905800000.0,12587700000.0,1533100000.0,284100000.0,25100000.0,,,,5.396339317141852,,-0.03912213740458015,0.18120805369127524,0.005994005994006013,0.33333333333333326,-0.08533916849015322,850300000.0,575500000.0,350900000.0,961000000.0,0.045719233855271414,0.04265459046404933,,1.0,1.5103245602982485,6995691520.0,-0.149,3.0,TREL.NS,,,,,0.545447944561645,45.10184287099903,92.24430441105187,,32.45997088791849,40.737148399612025,53.398058252427184,,20.170454545454543,33.365617433414045,93.32504145936981,70.82306554953179,29.97997997997998,,16.337148803329864,13.20754716981132,46.07667865086,Q2 (Low)
2026-01-31,248.8000030517578,260.260009765625,247.9600067138672,254.77999877929688,407243,0.11471824247802309,-0.11457863152286052,,,0.5484238300956121,64.51394981549946,0.6676639724976581,,0,7080500000.0,6099600000.0,593300000.0,1627800000.0,814300000.0,234100000.0,152600000.0,427600000.0,0.8614645858343337,0.08379351740696278,0.03306263681943366,0.22989901843090177,,,,,,,,,,,,,0.09449390960242376,-0.4567184961708053,0.35180801099698344,-1.301791929869795,5.521634615384615,28263500000.0,1042200000.0,2465700000.0,6023700000.0,,,,0.0,,40068395008.0,0.296,,DCAL.NS,,,,,0.4989611171216007,33.511154219204656,91.12942317014057,,42.11547792333818,8.535402521823471,80.58252427184466,,61.053719008264466,62.469733656174334,,25.62838836865451,66.01601601601602,94.16175682913766,84.59937565036421,70.40714995034757,58.014008105687346,Q4 (High)
