Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,RSI_percentile,ROC_1M_percentile,Volume_Ratio_percentile,Volatility_60_percentile,ROC_12M_percentile,market_cap_current_percentile,ROC_6M_percentile,beta_percentile,Net_Income_Growth_QoQ_percentile,dividend_yield_percentile,Revenue_Growth_QoQ_percentile,Current_Ratio_percentile,Gross_Margin_percentile,Gross_Profit_percentile,composite_score,quality_quintile
2025-12-31,109.88999938964844,112.98999786376953,100.01000213623047,109.44999694824219,6042591,-0.12607793983438897,-0.1824157694752171,,,0.23666578340479744,54.74290696195854,0.8291274553697265,,0,62928200000.0,22207400000.0,43160100000.0,19500300000.0,35210100000.0,32834000000.0,6320900000.0,4606200000.0,1.138823505279406,0.35290060735886297,1.0723670585368825,0.9320795516842297,26626300000.0,3381600000.0,559700000.0,567200000.0,567200000.0,156400000.0,70100000.0,334000000.0,0.12700224965541587,0.021020569887667456,0.005873891603414669,0.021302246275299235,0.027126385347431503,-0.7777461986642035,0.05959297698258581,0.6763129689174705,-0.03026158317661143,101951500000.0,566000000.0,2214600000.0,2630400000.0,0.029025194484187423,0.008994377719369059,0.05309810898227425,1.0,2.1290137013294514,48339283968.0,0.519,,TVSSCS.NS,,,,,0.41957179653228655,21.35593220338983,76.19970916141541,14.375605033881897,46.70542635658915,79.46731234866829,,65.07246376811594,,81.32780082987551,17.0935960591133,,47.1735867933967,17.72151898734177,10.01598295151838,76.39979068550498,46.860581678587415,Q2 (Low)
2025-12-31,41.5099983215332,41.959999084472656,38.79999923706055,38.900001525878906,496136,-0.0707118738966449,-0.25278523819178667,,,0.38712777224382544,38.06106662155693,0.8454008253435774,,0,6100543000.0,2170246000.0,2662246000.0,3004680000.0,5181776000.0,2520747000.0,16293000.0,3256245000.0,0.7222885631747806,0.3557463655284456,2.0556509637817677,0.7638731693422625,1426455000.0,428240000.0,45480000.0,97699000.0,81497000.0,20857000.0,11872000.0,52684000.0,0.30021276521166107,0.03188323501267127,0.014621561843871696,0.0684907690743837,0.1374694990670302,-0.5940796387840099,-0.0830594959850045,-0.7058126577993427,-0.48695044846346125,5363341000.0,190097000.0,405125000.0,604694000.0,0.06326697019316532,0.03116066881259586,0.07828614360862358,1.0,2.1362144156675886,3173106176.0,,,BALAJEE.NS,,,,,0.3683665542148946,8.619854721549638,29.810954920019388,39.690222652468535,48.69186046511628,31.719128329297817,,22.51207729468599,,,21.330049261083744,,73.63681840920461,57.52461322081576,31.646244006393182,35.374149659863946,40.03706486269992,Q1 (Lowest)
2025-12-31,114.51000213623047,116.98999786376953,97.19999694824219,108.83999633789062,1198761,-0.1205559594441219,-0.079888447920337,,,0.4955107937958408,38.28708371424308,0.5278635500536615,,0,8302950000.0,253528000.0,1831673000.0,6497657000.0,5398670000.0,1781671000.0,43002000.0,1903778000.0,0.03901837231482056,0.03053468947783619,3.0301161101011354,1.9615810101865048,488053000.0,125112000.0,-86703000.0,-43337000.0,-60251000.0,-48407000.0,-15789000.0,5253000.0,0.2563492079753633,-0.17765078792672107,-0.09918390010920945,-0.0887956840752951,-0.3298902402521975,-0.16032957502168255,-0.6620651118733824,-1.8558521923620934,-1.311047471398016,2810837000.0,715129000.0,-492552000.0,-290414000.0,0.11005951837716273,0.08612950818684925,-0.07295785850928392,1.0,1.9329427853955519,13059150848.0,0.134,,BALAJITELE.NS,,,,,0.19470506842581395,52.88135593220339,30.392632089190496,16.55372700871249,15.358527131782946,14.285714285714292,,44.05797101449275,,43.77593360995851,39.80295566502463,,8.054027013506754,74.89451476793249,24.98668087373468,19.623233908948194,35.644484886746774,Q1 (Lowest)
2025-12-31,145.00999450683594,148.4199981689453,132.14999389648438,137.25,48135,-0.12294718395932658,-0.11622667544792109,,,0.23016871051864934,30.412380594070314,0.7305986550981693,,0,29620801000.0,,1176582000.0,28444219000.0,224625000.0,24782000.0,130332000.0,,,,9.064038414978613,,0.0,0.0,-12657000.0,233310000.0,231600000.0,231600000.0,0.0,0.0,,,,,-1.0,-32.46311642439886,-1.0,4.999844563612342,4.565202871931875,838638000.0,189893000.0,-42307000.0,205651000.0,0.0066759786935967555,0.006410798951723149,,1.0,1.4066005912534232,9556636672.0,0.297,0.36,UNIENTER.NS,,,,,0.6884119433842449,40.38740920096852,14.590402326708677,15.58567279767667,34.44767441860465,81.79176755447942,,38.64734299516908,,61.15145228215768,0.4433497536945813,30.206611570247933,1.1005502751375689,93.95218002812939,,3.296703296703297,37.706741099978494,Q1 (Lowest)
2025-12-31,192.0399932861328,195.57000732421875,182.60000610351562,190.5,533150,-0.03763575177114109,-0.1592373622538722,,,0.2823303015208002,58.82936187562065,0.8147723917761851,,0,7417607000.0,1633658000.0,2833467000.0,4550592000.0,3956573000.0,2220166000.0,493685000.0,1580232000.0,0.3589990049646288,0.22024057084717483,1.7821068334529941,1.0703438391543696,2307829000.0,1043739000.0,263923000.0,279014000.0,279014000.0,173950000.0,61050000.0,44453000.0,0.4522601111260843,0.1143598594176605,0.07537386868784472,0.1208989054215022,-0.06627963760226474,0.031884917692421855,-0.03912283901117253,0.06008251518974217,0.034216388727236424,9188771000.0,623614000.0,1006614000.0,945916000.0,0.13704019169374007,0.08407212730466847,0.16277058657072402,1.0,2.5026985657234198,6742845952.0,0.607,0.66,20MICRONS.NS,,,,,0.3156541936968177,27.554479418886196,84.73097430925837,59.63213939980639,44.96124031007752,63.002421307506054,,33.04347826086956,,86.56639004149378,58.029556650246306,51.32231404958678,25.56278139069535,48.52320675105485,58.87053809270112,53.322867608581895,53.008159172717605,Q4 (High)
2025-12-31,1.8899999856948853,1.9299999475479126,1.7400000095367432,1.809999942779541,25869422,-0.09950251175753522,-0.18834083977651517,,,0.29962495436859893,47.99999141693729,0.6710575879703276,,0,,,,,,,,,,,,,923836000.0,29456000.0,-44390000.0,-12405000.0,-27183000.0,-39597000.0,795000.0,11550000.0,0.0318844470230647,-0.048049653834663295,-0.04286150355690837,-0.01342770794816396,-0.31671259705660904,0.36706369756602797,0.003163130902366529,0.40365118752215534,-1.6207465972778223,4803136000.0,-112781000.0,-101430000.0,-49074000.0,,,,0.0,,3377803776.0,-0.934,,VIKASLIFE.NS,,,,,0.5129347807834469,20.048426150121067,58.50702859912749,25.26621490803485,28.439922480620154,57.384987893462466,,23.23671497584541,,1.8672199170124482,78.4729064039409,,8.404202101050526,,3.4629728289824193,9.105180533751962,34.279718452796644,Q1 (Lowest)
2025-12-31,330.0,342.04998779296875,288.20001220703125,306.95001220703125,170182,-0.18004539280773213,-0.22799293889568895,,,0.2750783110361611,29.475582979900693,0.8642768916787842,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.499,,ZODIAC.NS,,,,,0.7539344775303873,12.154963680387409,13.03926320891905,4.598257502420135,50.72674418604651,65.13317191283294,,,,6.3537344398340245,,,,,,,40.13374232869601,Q1 (Lowest)
2025-12-31,144.8000030517578,147.1699981689453,134.0,143.05999755859375,336721,-0.02706743681492274,-0.11098683080769645,,,0.22773982391620215,48.74182488363924,0.7456746475656457,,0,,,,,,,,,,,,,11294000000.0,5325600000.0,241400000.0,1139200000.0,365900000.0,-74100000.0,-44100000.0,484100000.0,0.47154241190012397,0.021374180981051885,-0.006561005843810873,0.10086771737205596,-0.14635331721175138,-1.334916767985392,0.021813279772729288,-1.3382017343678685,-0.2928615766604593,44667998000.0,-255851000.0,1126258000.0,4481132000.0,,,,0.0,,9901267968.0,-0.243,2.1,TNPL.NS,,,,,0.3302387148261585,41.98547215496368,60.49442559379544,64.3272023233301,36.48255813953488,82.61501210653753,,39.42028985507247,,14.185684647302905,8.96551724137931,86.03305785123968,16.858429214607305,,62.75972296217368,83.35949764521193,49.83245798234326,Q3 (Medium)
2025-12-31,785.4000244140625,803.2999877929688,727.0,760.9000244140625,713503,-0.10175888756489537,0.03235877758103034,,,0.4315849266422103,38.03116683042127,0.5388541245896729,,0,26263100000.0,8012400000.0,17805600000.0,8457500000.0,12910300000.0,12843900000.0,238600000.0,10441100000.0,0.9473721548921076,0.3050820352509795,1.0051697693068304,0.19224690319918405,8068700000.0,2713500000.0,4100000.0,749400000.0,38400000.0,-88700000.0,-47400000.0,174500000.0,0.3362995278049748,0.0005081363788466543,-0.010993096781389815,0.0928774151969958,-0.08850907119134221,-1.2639880952380953,0.22073619074995832,-0.8430366306848345,0.8554097548898243,34924100000.0,1148700000.0,1823000000.0,4844000000.0,0.13582027785988768,0.04373817256911789,0.110686767982805,1.0,1.78847889243844,60538957824.0,0.383,,VMART.NS,,,,,0.3509550640825488,78.15980629539952,29.762481822588466,24.443368828654403,16.32751937984496,23.68038740920096,,68.40579710144927,,70.28008298755186,9.556650246305418,,22.511255627813906,14.767932489451477,38.25253063399041,72.78911564625851,41.26246189790061,Q1 (Lowest)
2025-12-31,177.77999877929688,178.50999450683594,159.22999572753906,165.4499969482422,21426162,-0.17320475516662626,-0.11191629501864842,,,0.2883720984121998,39.35416539510091,1.5963623910118803,,0,191892977000.0,19889036000.0,147127942000.0,42105641000.0,162857714000.0,126881358000.0,12517963000.0,4658485000.0,0.4723603661561642,0.10364650291500767,1.2835432767042105,1.2468279934393514,18511802000.0,7469942000.0,5447667000.0,4224041000.0,3822262000.0,780628000.0,-264553000.0,3179848000.0,0.40352322264466745,0.29428075127424114,0.0421692064338199,0.22818097341360932,-0.019017340770906332,-0.6409142512277293,-0.2562348253125538,-0.8291988211071702,-0.553173195856441,77578126000.0,13821913000.0,15793133000.0,25126423000.0,0.3282674879596299,0.07202928015442692,0.2547498231178783,1.0,1.002179017734453,46460739584.0,0.425,,ASHOKA.NS,,,,,0.19087032149609442,41.549636803874094,33.640329617062534,5.3727008712487905,91.76356589147287,60.72639225181598,,64.54106280193237,,74.09232365145229,20.64039408866995,,33.96698349174587,27.637130801687764,50.98561534363346,87.33647305075877,49.483507244356986,Q3 (Medium)
