Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,Volume_Ratio_percentile,ROC_12M_percentile,RSI_percentile,Volatility_60_percentile,ROC_6M_percentile,market_cap_current_percentile,beta_percentile,dividend_yield_percentile,Tax_Provision_percentile,Interest_Expense_percentile,F_Score_percentile,Revenue_Growth_QoQ_percentile,Operating_Margin_percentile,composite_score,quality_quintile
2026-04-30,49.75,50.400001525878906,48.02000045776367,49.88999938964844,674866,,,,,,,,,0,2750000000.0,3079100000.0,-724200000.0,314500000.0,-638100000.0,-1153900000.0,0.0,515800000.0,1.1196727272727274,-0.26334545454545455,-0.4196,0.11436363636363636,,,,,,,,,,,,,-0.034850665075632614,-0.009952809952810004,0.0619400679641644,0.19007838283828393,-0.0870827285921626,11344600000.0,-4242500000.0,-2615400000.0,467100000.0,,,,0.0,,12887883776.0,0.336,,SANGHIIND.NS,,,,,0.1371996177944742,,,,,,,,43.06712395884371,51.41657922350472,,19.202180376610507,85.86224754013465,10.806132542037586,20.894023103967854,8.006279434850864,42.616971078663326,Q2 (Low)
2026-05-31,287.54998779296875,290.0,257.1499938964844,277.0,8022437,,,,,,,,,0,38849980000.0,10126774000.0,4242996000.0,7079517000.0,5192210000.0,2567506000.0,1311133000.0,90587000.0,0.26066355761315707,0.10921488247870398,0.06608770454965485,0.18222704361752567,,,,,,,,,,,,,-0.030658841937876935,-0.015403010808107798,-0.10904190605778885,0.09656778289247203,0.09097688234860812,161958103000.0,10524983000.0,13658777000.0,35055983000.0,,,,0.0,,156286550016.0,0.705,,GSPL.NS,,,,,0.2901010846606827,,,,,,,,79.96080352768251,87.22455403987408,,92.41823587710604,62.45468669083376,10.806132542037586,21.898543445504774,58.398744113029835,54.2107800157379,Q4 (High)
2026-05-31,1286.0,1288.0,1222.0999755859375,1260.0999755859375,157368,,,,,,,,,0,5794000000.0,2840000000.0,990000000.0,1141000000.0,1092000000.0,803000000.0,273000000.0,16000000.0,0.49016223679668625,0.17086641353123921,0.13859164653089404,0.1969278564031757,,,,,,,,,,,,,0.08461250467989512,0.21851289833080423,,,,21602771000.0,2829502000.0,3383620000.0,4112648000.0,,,,0.0,,34711924736.0,-0.081,,CIGNITITEC.NS,,,,,0.10267004394253147,,,,,,,,58.69671729544341,11.542497376705143,,75.56987115956393,32.263076126359394,10.806132542037586,53.94274234053239,77.60334903192046,48.02829239150415,Q3 (Medium)
2026-07-31,8681.0,8950.0,8611.5,8841.0,2214785,0.0409749205227834,0.176212332867691,,,0.16542424862039795,73.60406091370558,0.9195809333374316,,0,66055000000.0,32035000000.0,7866000000.0,10650000000.0,8406000000.0,5293000000.0,1702000000.0,1191000000.0,0.4849746423435016,0.11908258269623799,0.08013019453485731,0.16122927863144348,221969000000.0,84929000000.0,122224000000.0,94801000000.0,68998000000.0,64813000000.0,8113000000.0,5424000000.0,0.8958660773620531,0.3826164914920552,1.0645703793991945,0.9808834647370126,0.01977645351529933,0.053752737407923634,0.1951546074653061,0.421702927746441,0.2822056344810979,245172000000.0,18540000000.0,27286000000.0,38258000000.0,0.19556755730424785,0.08352517693912213,0.1518166138096033,1.0,1.8500565394266766,1271200088064.0,0.179,0.23,APOLLOHOSP.NS,,,,,0.44224355793770037,70.0,47.59803921568627,54.746679783571075,,94.58661417322834,99.46078431372548,,96.4233219010289,32.26652675760756,18.728668941979524,93.7561942517344,91.29984464008287,60.48466864490604,34.45504771471622,61.64311878597593,63.69663394161616,Q5 (Highest)
2026-07-31,936.5999755859375,1220.0,933.2000122070312,1193.699951171875,1290915,0.3450140294894366,0.04660023678781977,,,0.40978101839743686,89.35704761721706,2.9892699778306624,,0,13347263000.0,982379000.0,661209000.0,729919000.0,702833000.0,506013000.0,159164000.0,37655000.0,0.07360153163985755,0.04953892045133148,0.03791136804601812,0.05468679234087168,11426167000.0,3038259000.0,5100043000.0,6326124000.0,10512421000.0,4907882000.0,257546000.0,10039433000.0,0.48027180624344384,0.2659036052947589,2.1419465667674977,0.09637314018552198,0.09191060465884138,-0.3101851410062586,0.8609288761895308,1.0117481483248452,0.722014744913005,40651283000.0,2118403000.0,2937197000.0,3096739000.0,0.3348658673146464,0.18539926818853603,0.31365622273245336,1.0,5.124435193359243,27249686528.0,-0.488,,DPABHUSHAN.NS,,,,,0.1489369632195707,45.78431372549019,97.5,98.4751598622725,,99.36023622047244,43.03921568627451,,54.581087702106814,1.9412381951731374,,67.2447968285431,46.60797514241325,60.48466864490604,55.650426921145154,32.757718472004186,56.89512249338676,Q4 (High)
2026-07-31,684.9500122070312,718.9500122070312,681.0999755859375,709.4500122070312,1337893,0.13995346675974352,0.025661413454894255,,,0.43242764894101254,60.3967024457251,0.5956491130680347,,0,5826440000.0,2996222000.0,1019654000.0,1266976000.0,985416000.0,611241000.0,205546000.0,168630000.0,0.5142457486904525,0.17500463404754876,0.10490814287970013,0.21745285285697613,34817059000.0,7543613000.0,13571012000.0,21246047000.0,13972919000.0,9375701000.0,85303000.0,6403077000.0,0.35505960238156303,0.21666427942693264,1.4903332561479936,0.8073894421334469,0.3478621249965588,0.2745977529214523,0.0334653595304526,-0.308087542788836,-0.12027040914102882,18194424000.0,1865040000.0,2980557000.0,3999321000.0,0.08778291792350831,0.05356684491932532,0.10352873219065456,1.0,1.6287252809032489,64332795904.0,0.216,0.56,AARTIPHARM.NS,,,,,0.06412782230732351,41.127450980392155,79.70588235294119,22.429906542056074,,79.18307086614173,37.254901960784316,,68.34884860362568,36.9884575026233,44.79522184300341,71.01090188305253,73.01916105644743,60.48466864490604,85.68558513309894,78.1789638932496,58.547534750821484,Q4 (High)
2026-07-31,29.200000762939453,33.75,29.200000762939453,31.190000534057617,82856,0.06232969637816854,0.15049796502579804,,,0.5160587249052608,51.08077676619093,1.600862845999533,,0,1115009000.0,244096000.0,22022000.0,95943000.0,52734000.0,9150000.0,5163000.0,38421000.0,0.2189184123177481,0.019750513224556933,0.008206211788425026,0.08604683908381008,3421782000.0,1675417000.0,1943034000.0,1478748000.0,2029697000.0,1444376000.0,3276000.0,1130901000.0,1.1329969677051126,0.4896328871915277,1.4052414329786704,0.6222728707760307,0.19521894840876364,-0.07463592233009708,-0.07287863455665244,-0.4300485860221751,-0.24704525121250642,3932905000.0,74353000.0,68074000.0,448612000.0,0.050281048562703046,0.021729321154883626,0.02158225711083599,1.0,2.010519548001597,726727040.0,0.791,,DAMODARIND.NS,,,,,0.11380537442893777,65.14705882352942,57.15686274509804,87.94884407279882,,61.368110236220474,18.33333333333333,,8.427241548260657,90.398740818468,,28.642220019821607,47.07405489383739,60.48466864490604,74.93721747865393,21.350078492935637,51.41789540719089,Q3 (Medium)
2026-07-31,3.2799999713897705,3.390000104904175,3.119999885559082,3.1600000858306885,386328,0.009584655045652868,-0.06508876365722238,,,0.6468459495821454,60.41668632793,0.7239566668478483,,0,70493000.0,30157000.0,-5867000.0,7581000.0,-4690000.0,-10626000.0,563000.0,5373000.0,0.4278013419772176,-0.08322812194118565,-0.1507383711857915,0.1075425928815627,403715000.0,227573000.0,259429000.0,144286000.0,40515000.0,94583000.0,1590000.0,22843000.0,1.5772354906227908,0.5636971626023308,0.42835393252487236,0.1868411871055052,-0.1940249019585425,-5.6,0.08345757189185865,5.389657245941071,-0.37336749876012565,289372000.0,-13946000.0,1985000.0,54506000.0,-0.09665525414801159,-0.03454417101172857,0.0053380447965492295,0.0,1.0180790904474692,486561024.0,0.167,,DANGEE.NS,,,,,0.05710161418861418,18.03921568627451,33.23529411764706,33.74323659616331,,79.33070866141733,4.607843137254903,,6.124448799608035,31.217208814270727,,22.59663032705649,19.264629725530813,10.806132542037586,8.136614766449021,11.145996860282574,28.54986400226616,Q1 (Lowest)
2026-07-31,176.0,204.5,175.0,195.85000610351562,5315197,0.11000908747184601,0.22967288786203466,,,0.5220954886252627,73.5587049197758,1.4294350176964663,,0,8514000000.0,7164900000.0,741600000.0,1782200000.0,894300000.0,217400000.0,243900000.0,433000000.0,0.8415433403805497,0.08710359408033827,0.02553441390650693,0.2093258163025605,119233100000.0,30760600000.0,52464100000.0,66769000000.0,28421000000.0,23170500000.0,7877600000.0,10191200000.0,0.4607018227021522,0.25798708580083884,1.2266027923437128,0.7867676571502558,0.18282856348985832,-2.6761757902852734,0.2477650438197967,3.695464362850972,0.2058186738836265,29955900000.0,752700000.0,2357800000.0,6096800000.0,0.011273195644685407,0.006312844336010722,0.024175224752280334,1.0,1.1128142269218866,30705969152.0,0.621,,DCAL.NS,,,,,0.1709082893090259,77.79411764705883,73.6764705882353,83.8170191834727,,94.48818897637796,17.058823529411754,,56.98187163155316,81.32214060860441,,73.68681863230921,84.15328845157948,60.48466864490604,73.58111501757911,49.293563579277865,65.08920576602439,Q5 (Highest)
2026-07-31,184.00999450683594,186.0,165.0,174.6199951171875,146649,-0.09231733711849854,-0.21554361936547295,,,0.6568828604438904,32.82659161708767,0.7082947699984011,,0,2039747000.0,706110000.0,145628000.0,228065000.0,154577000.0,49972000.0,14825000.0,89780000.0,0.34617528546432474,0.07139512890569272,0.024499116802230866,0.11181043531379137,6761614000.0,3477996000.0,5051989000.0,1709625000.0,4544140000.0,3322650000.0,4554000.0,2359122000.0,2.0343619214740074,0.5143736391932459,1.3676252388906445,0.6576130498246882,0.15475853495049785,0.08035888012106795,0.13863672648228142,0.5009310986964619,0.20760681362088773,7107033000.0,196411000.0,552852000.0,858795000.0,0.11488542809095562,0.029047946244787116,0.10657139370821422,1.0,1.6972870826403281,3151670272.0,-0.012,,MANOMAY.NS,,,,,0.1808501116311231,1.911764705882353,3.872549019607843,32.51352680767339,,19.242125984251967,4.264705882352942,,23.272905438510534,16.1594963273872,,35.38156590683845,62.24754013464526,60.48466864490604,69.06077348066299,42.28152799581371,34.71287668856884,Q1 (Lowest)
