Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_1M_percentile,ROC_3M_percentile,ROC_12M_percentile,RSI_percentile,Volatility_60_percentile,Volume_Ratio_percentile,market_cap_current_percentile,ROC_6M_percentile,beta_percentile,dividend_yield_percentile,TTM_Revenue_percentile,Net_Income_Growth_QoQ_percentile,Net_Income_percentile,Interest_Expense_percentile,Gross_Profit_percentile,composite_score,quality_quintile
2026-05-31,327.0,359.54998779296875,294.0,311.20001220703125,3326296,-0.03218776544504609,-0.1320596212466697,,,0.4864242090496685,30.0,0.4698429487708079,,0,28037800000.0,4169756000.0,13194202000.0,14843598000.0,24929262000.0,12295224000.0,377262000.0,2496561000.0,0.28091275444134234,0.1487190863762492,2.027556553666692,1.8245052713151058,3512975000.0,802483000.0,331056000.0,492446000.0,440311000.0,229832000.0,94899000.0,115580000.0,0.22843401959877313,0.09423807456642874,0.06542375052484006,0.14017919284936556,0.2454845103948884,-0.6263763059971421,-0.10406580534294785,-0.9539664001509404,-0.9185135371716645,13055683000.0,1411106000.0,1259446000.0,2548806000.0,0.09506495662305056,0.05032869911333985,0.06624007526499533,1.0,1.799377700818181,16394566656.0,0.633,0.64,INDIANHUME.NS,,,,,0.25448506100909735,39.097744360902254,12.244897959183673,,20.905172413793103,44.46831364124597,3.2327586206896552,44.49244060475162,,80.65552699228792,45.996441281138786,49.375709421112376,21.195652173913043,49.34782608695652,66.4009111617312,40.55619930475087,41.19797293483046,Q2 (Low)
2026-05-31,478.6000061035156,483.8999938964844,422.1499938964844,427.5,95042827,-0.10676975648107967,-0.17614187726676378,,,0.41971708259056906,35.01362896291825,1.4591652187760804,,0,95605450000.0,49022160000.0,71729230000.0,22920950000.0,12999270000.0,35356920000.0,1288230000.0,3085200000.0,2.1387490483596885,0.5127548691000356,0.3676584385744007,0.28039970676178805,24994660000.0,13365350000.0,2155000000.0,5088780000.0,2394790000.0,797910000.0,283980000.0,1174930000.0,0.5347282179473536,0.0862184162537118,0.03192321879953558,0.20359468782531948,0.025540175093005546,0.12535435736146572,0.19305341820778454,0.662139360483283,0.2622109116885436,95376970000.0,4284810000.0,9130930000.0,19296030000.0,0.18693858675142175,0.044817633304377526,0.12691875566680394,1.0,1.13529016389756,281158156288.0,0.131,0.28,JUBLFOOD.NS,,,,,0.6958769631412532,10.311493018259936,6.122448979591836,,32.435344827586206,63.265306122448976,87.5,84.66522678185746,,24.55012853470437,20.640569395017792,86.15209988649262,58.04347826086956,69.67391304347827,90.54669703872437,90.61413673232909,54.96805617475735,Q4 (High)
2026-05-31,17.100000381469727,17.100000381469727,13.899999618530273,14.529999732971191,4834860,-0.14479105775674017,-0.011564631190457364,,,0.531161434278696,34.75044832413239,1.416232711682179,,0,,,,,,,,,,,,,1089682000.0,521506000.0,-16467000.0,33248000.0,21573000.0,-6449000.0,8110000.0,19852000.0,0.47858549558495045,-0.01511174819809816,-0.005918240367373233,0.03051165385864867,0.1504790662563149,-0.6279351525990884,0.288664719308412,0.38718003871800377,0.9785765293977624,3848509000.0,23833000.0,301930000.0,195552000.0,,,,0.0,,2579399680.0,0.205,,A2ZINFRA.NS,,,,,0.5173993257834739,4.618689581095596,43.5016111707841,,31.68103448275862,33.941997851772285,85.23706896551724,20.518358531317496,,32.005141388174806,,26.333711691259932,21.086956521739133,12.173913043478262,33.59908883826879,32.4449594438007,35.1428354339978,Q1 (Lowest)
2026-05-31,12393.0,13232.0,12051.0,13177.0,81140,0.06326151859920914,-0.2323779564254923,,,0.4364216180714729,67.52043596730246,0.9267026657808399,,0,372026310000.0,,41911558000.0,330114752000.0,13531153000.0,26347000.0,25867000.0,,,,513.574714388735,,331430000.0,,300425000.0,300451000.0,300425000.0,135411000.0,76172000.0,,,0.9064508342636454,0.40856591135383036,0.9065292822013699,0.014701740205983471,-0.5784753502821869,0.1342845311147085,-0.025013500378010534,0.157905487170396,1253431000.0,891976000.0,1110591000.0,1110644000.0,0.002702017994033784,0.0023976153729557462,,1.0,1.2918743663586587,146244124672.0,,,JSWHL.NS,,,,,0.26940644826527327,78.19548872180451,3.007518796992481,,93.10344827586206,58.21697099892589,40.94827586206897,76.13390928725701,,,,15.550510783200908,21.84782608695652,42.71739130434782,,,48.64808934116109,Q3 (Medium)
2026-05-31,128.02000427246094,175.1199951171875,127.25,147.5,391160,0.13987640616115504,0.09992537872176177,,,0.47694661068887645,59.335197756860374,1.824940517484078,,0,,,,,,,,,,,,,2627249000.0,440630000.0,20193000.0,35547000.0,21618000.0,15827000.0,5324000.0,467000.0,0.1677153554916188,0.007685986368250592,0.006024172052211268,0.013530122192453019,0.0689268373261378,-0.15544290288153684,0.1944625291654012,-1.6020388755753356,-2.763069139966273,9559298000.0,61303000.0,69258000.0,136073000.0,,,,0.0,,1309969664.0,0.368,2.37,JOCIL.NS,,,,,0.15192987800398722,90.87003222341569,72.28786251342643,,84.80603448275862,47.15359828141783,96.33620689655173,12.742980561555076,,51.02827763496144,87.36654804270462,42.90578887627696,36.08695652173913,23.695652173913043,5.5808656036446465,30.243337195828506,52.07360940054626,Q3 (Medium)
2026-05-31,1082.0999755859375,1147.800048828125,976.2000122070312,1013.5999755859375,97964,-0.10285012234042212,-0.20719595182953654,,,0.6656137414567498,16.923060871742607,0.5709010699615182,,0,,,,,,,,,,,,,1400000.0,1000000.0,9617000000.0,8398900000.0,8398900000.0,7020500000.0,1375200000.0,3200000.0,0.7142857142857143,6869.285714285715,5014.642857142857,5999.214285714285,-0.9871912168344007,11.20107751129649,1.7999999999999998,20.00059826503141,23.34463768115942,112799000.0,8890024000.0,9966863000.0,10049457000.0,,,,0.0,,10654891008.0,-0.828,,JPOLYINVST.NS,,,,,0.5231008753724343,11.600429645542427,3.9742212674543502,,3.771551724137931,9.022556390977442,6.573275862068965,37.14902807775378,,0.5141388174807198,,4.426787741203178,98.58695652173914,93.69565217391305,14.350797266514807,3.7079953650057935,29.15822605691944,Q1 (Lowest)
2026-05-31,395.8999938964844,417.0,376.1000061035156,381.95001220703125,4430220,-0.04952094959371034,-0.10539875562336132,,,0.36825123892332556,32.75530892344456,0.2783683178685834,,0,134030600000.0,13048100000.0,32787900000.0,101242700000.0,15844500000.0,15757000000.0,137600000.0,7342200000.0,0.12887941550353754,0.09735164954868515,1.0055530875166592,0.5395887542044806,12286500000.0,8906500000.0,772400000.0,1680100000.0,921500000.0,595000000.0,92700000.0,233800000.0,0.72490131445082,0.06286574695804338,0.048427135473894115,0.13674358035241932,0.10266006138603201,-23.284644194756556,0.3072969867211439,-0.5134914145543745,-0.24466124173897408,45652200000.0,-614000000.0,137600000.0,3442500000.0,-0.006064634783544888,-0.004581043433365217,0.0012039464243841149,0.0,1.4216002166669401,177547640832.0,0.274,,INDIACEM.NS,,,,,0.29378682734093364,30.075187969924812,16.756176154672396,,27.155172413793103,78.19548872180451,0.9698275862068966,79.26565874730022,,39.203084832904885,,76.50397275822928,0.9782608695652175,65.21739130434783,76.42369020501138,86.558516801854,48.48682855770764,Q3 (Medium)
2026-05-31,1042.050048828125,1175.199951171875,965.0,975.0,3009972,-0.06434436513248909,0.058804183066596405,,,0.43510033959396094,25.93903750440137,0.8377064191294961,,0,65229500000.0,16906100000.0,35901700000.0,29327800000.0,14978100000.0,20141100000.0,318700000.0,8906100000.0,0.5764530581905223,0.25917874581286077,0.7436584893575823,0.3014731072285029,9763500000.0,3693900000.0,1252700000.0,1801000000.0,1388700000.0,868800000.0,255800000.0,264100000.0,0.37833768628053466,0.1283043990372305,0.08898448302350591,0.18446253904849697,-0.11434143686502174,0.2857777120023679,0.1310558142767777,0.3570759137769448,0.13334591907368942,42114100000.0,2927600000.0,4938700000.0,6997700000.0,0.09982337577315721,0.04488153366191677,0.1068198875716736,1.0,1.250356510474555,65351094272.0,0.309,1.28,INDIAGLYCO.NS,,,,,0.3327378398755957,23.308270676691727,62.72824919441461,,14.00862068965517,58.64661654135339,30.711206896551722,64.68682505399568,,45.24421593830334,69.9288256227758,74.6878547105562,67.28260869565217,70.54347826086956,78.01822323462414,73.23290845886443,55.5351935982872,Q4 (High)
2026-05-31,35.02000045776367,36.900001525878906,30.049999237060547,31.239999771118164,131861,-0.11975209090867078,-0.0918605120521141,,,0.44873720415740664,28.06394123604659,1.3195144918423674,,0,1123200000.0,,76600000.0,1046600000.0,222100000.0,,2000000.0,,,,,,10100000.0,,5600000.0,5800000.0,5600000.0,4200000.0,1400000.0,,,0.5544554455445545,0.4158415841584158,0.5742574257425742,0.04123711340206193,0.050000000000000044,0.08602150537634401,0.10526315789473695,0.11538461538461542,38000000.0,15600000.0,20200000.0,20800000.0,0.014905407987769922,0.013888888888888888,,1.0,,,,,3PLAND.NS,,,,,0.5565952479213181,8.16326530612245,20.30075187969925,,17.45689655172414,55.20945220193341,81.78879310344827,,,,,2.9511918274687856,50.8695652173913,17.717391304347828,,,40.29715382614236,Q2 (Low)
2026-05-31,177.11000061035156,207.9499969482422,162.0500030517578,182.75999450683594,6712841,0.02461175931952142,0.02237637124030578,,,0.4989433020621758,50.620021498938506,1.7504596748782362,,0,7562226000.0,1560040000.0,2693675000.0,4836189000.0,4169528000.0,2170991000.0,735836000.0,1422364000.0,0.3225763095693737,0.20629375530432442,1.920564387415701,1.265396309795849,2610633000.0,1114444000.0,265912000.0,283708000.0,283708000.0,176170000.0,68638000.0,39210000.0,0.42688650606960077,0.10185728901764438,0.06748171803543432,0.10867402656750298,0.2152574184881022,0.177914028389754,0.1480093682994057,0.15748253953653402,0.18944663153349173,9538325000.0,668256000.0,1025583000.0,1078481000.0,0.1381782225632621,0.0883676314355059,0.16034182015684553,1.0,2.597577803149496,6448961024.0,0.733,0.68,20MICRONS.NS,,,,,0.29017286204848636,66.9172932330827,53.276047261009666,,70.6896551724138,41.031149301826,95.25862068965517,29.913606911447083,,87.53213367609256,48.220640569395016,42.79228149829739,60.76086956521739,46.30434782608695,47.722095671981776,46.929316338354575,55.82320384765733,Q4 (High)
