ticker,status,records
ADROITINFO,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ADSL,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ADVANIHOTR,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ADVENZYMES,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AEGISLOG,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AEROFLEX,success,"{'quarterly': 13, 'annual_pl': 9, 'balance_sheet': 9, 'cash_flow': 8, 'ratios': 8}"
AETHER,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AFCONS,success,"{'quarterly': 9, 'annual_pl': 7, 'balance_sheet': 7, 'cash_flow': 6, 'ratios': 6}"
AFFLE,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AFFORDABLE,success,"{'quarterly': 8, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AFIL,success,"{'quarterly': 11, 'annual_pl': 9, 'balance_sheet': 9, 'cash_flow': 8, 'ratios': 8}"
AFSL,success,"{'quarterly': 13, 'annual_pl': 8, 'balance_sheet': 8, 'cash_flow': 7, 'ratios': 7}"
AGARIND,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AGARWALEYE,success,"{'quarterly': 8, 'annual_pl': 8, 'balance_sheet': 8, 'cash_flow': 7, 'ratios': 7}"
AGI,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AGIIL,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AGRITECH,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AGROPHOS,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AGSTRA,success,"{'quarterly': 13, 'annual_pl': 11, 'balance_sheet': 11, 'cash_flow': 10, 'ratios': 10}"
AHLADA,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AHLEAST,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AHLUCONT,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AIAENG,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AIIL,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AIRAN,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AIROLAM,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AJANTPHARM,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AJAXENGG,success,"{'quarterly': 8, 'annual_pl': 7, 'balance_sheet': 7, 'cash_flow': 6, 'ratios': 6}"
AJMERA,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AJOONI,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
