Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_12M_percentile,ROC_1M_percentile,Volatility_60_percentile,Volume_Ratio_percentile,ROC_6M_percentile,RSI_percentile,market_cap_current_percentile,beta_percentile,dividend_yield_percentile,Interest_Expense_percentile,TTM_Revenue_percentile,F_Score_percentile,Debt_to_Assets_percentile,Net_Income_Growth_QoQ_percentile,composite_score,quality_quintile
2026-04-30,49.75,50.400001525878906,48.02000045776367,49.88999938964844,674866,,,,,,,,,0,,,,,,,,,,,,,2750000000.0,3079100000.0,-724200000.0,314500000.0,-638100000.0,-1153900000.0,0.0,515800000.0,1.1196727272727274,-0.26334545454545455,-0.4196,0.11436363636363636,-0.034850665075632614,-0.009952809952810004,0.0619400679641644,0.19007838283828393,-0.0870827285921626,11344600000.0,-4242500000.0,-2615400000.0,467100000.0,,,,0.0,,12887883776.0,0.331,,SANGHIIND.NS,,,,,0.15423593595063265,,,,,,,,44.10609037328094,51.41322781232335,,85.86956521739131,50.74935400516796,16.930693069306933,,44.47198810114031,49.56939457190739,Q3 (Medium)
2026-05-31,287.54998779296875,290.0,257.1499938964844,277.0,8022437,,,,,,,,,0,,,,,,,,,,,,,38849980000.0,10126774000.0,4242996000.0,7079517000.0,5192210000.0,2567506000.0,1311133000.0,90587000.0,0.26066355761315707,0.10921488247870398,0.06608770454965485,0.18222704361752567,-0.030658841937876935,-0.015403010808107798,-0.10904190605778885,0.09656778289247203,0.09097688234860812,161958103000.0,10524983000.0,13658777000.0,35055983000.0,,,,0.0,,156286550016.0,0.697,,GSPL.NS,,,,,0.2796080553871132,,,,,,,,80.99214145383104,86.68739400791408,,62.47412008281573,92.19638242894057,16.930693069306933,,43.97620228061477,55.550462221561546,Q4 (High)
2026-05-31,1286.0,1288.0,1222.0999755859375,1260.0999755859375,157368,,,,,,,,,0,,,,,,,,,,,,,5794000000.0,2840000000.0,990000000.0,1141000000.0,1092000000.0,803000000.0,273000000.0,16000000.0,0.49016223679668625,0.17086641353123921,0.13859164653089404,0.1969278564031757,0.08461250467989512,0.21851289833080423,0.16065705128205132,0.5179584120982987,0.3796856106408706,21602771000.0,2829502000.0,3383620000.0,4112648000.0,,,,0.0,,,-0.102,,CIGNITITEC.NS,,,,,0.15998762821791115,,,,,,,,,10.175240248728095,,32.50517598343685,63.92764857881137,16.930693069306933,,62.320277640059494,45.723935701356176,Q2 (Low)
2026-06-30,4982.7001953125,5016.10009765625,4722.10009765625,4832.10009765625,1566829,0.15536913260987584,0.6024208581184711,,,0.47087686500436227,67.91607904212914,0.6335842092459136,,0,132821100000.0,23525300000.0,77029200000.0,55499700000.0,71088000000.0,58203600000.0,6744500000.0,9095000000.0,0.4238815705310119,0.17712020153424418,1.221367750448426,1.0651059384642874,34280400000.0,16164900000.0,7694600000.0,4304900000.0,3764800000.0,2442800000.0,897300000.0,423500000.0,0.4715493401477229,0.2244606247301665,0.07125937853700656,0.12557904808578663,0.30112195788482854,0.19639533744735038,0.12527573529411762,0.187381519467263,0.14118707419876464,106309800000.0,7205000000.0,12677800000.0,13545400000.0,0.12982052155236876,0.05424589918318701,0.16042771274913004,1.0,1.5953376383722164,544329662464.0,0.298,0.29,THERMAX.NS,,,,,0.36889495728227645,96.4774951076321,,92.61252446183953,50.24461839530333,29.25871379479627,,80.3632793323515,91.30648330058939,46.38213680045224,22.59450171821306,83.9544513457557,88.9922480620155,66.60891089108911,53.6664503569111,61.080813088745664,64.23617511037963,Q5 (Highest)
2026-06-30,43.20000076293945,46.95000076293945,42.91999816894531,44.77000045776367,623242,0.06215892851809657,0.3404191141451025,,,0.565207596253263,58.52273170613291,1.3268386575498574,,0,3425600000.0,0.0,886400000.0,2539200000.0,2756500000.0,787100000.0,32300000.0,640700000.0,0.0,0.0,3.5020963028840044,2.688095540592047,835000000.0,322900000.0,93500000.0,144000000.0,136900000.0,155900000.0,-19100000.0,100000.0,0.3867065868263473,0.11197604790419162,0.1867065868263473,0.1724550898203593,0.20334342124225402,7.908571428571429,0.18238459359954695,8.993589743589743,2.388235294117647,3067800000.0,232700000.0,73100000.0,262600000.0,0.09164303717706364,0.06792970574497899,0.028788594833018273,1.0,2.755058967772069,3597884928.0,0.335,3.35,VARDHACRLC.NS,,,,,0.15867051453056333,87.573385518591,,83.51272015655577,25.391389432485326,80.01963672066765,,61.855670103092784,24.95088408644401,51.92198982475975,93.51374570446735,4.063146997929606,25.684754521963825,66.60891089108911,0.8760545100584036,97.32275656916212,53.553003002484445,Q4 (High)
2026-06-30,2562.0,2654.0,2480.0,2628.0,6676,-0.06443574225703097,0.029982363315696592,,,0.3895370416466549,58.99062108445078,0.7340545772791313,,0,17161570000.0,6339109000.0,9973718000.0,7187852000.0,7927002000.0,6304108000.0,93066000.0,2428980000.0,0.8819198002407395,0.3693781512996771,1.2574343586753272,0.8721332185298856,4538334000.0,1906330000.0,487999000.0,785341000.0,579932000.0,217180000.0,185130000.0,177622000.0,0.42005061769362945,0.10752822511520747,0.04785456513337273,0.17304610017684904,-0.023902309662591437,-0.13262270006030663,0.0744996297060947,-0.42881639437390195,0.036997472673446774,17891842000.0,977965000.0,2091062000.0,3039444000.0,0.13605803235792835,0.05698575363442855,0.15458475854258766,1.0,1.853914484513946,23864619008.0,0.557,0.95,TCPLPACK.NS,,,,,0.10847362989296136,40.60665362035225,,39.92172211350293,74.07045009784736,38.88070692194404,,63.18114874815905,53.43811394891945,76.48388920293951,61.29725085910653,73.91304347826086,60.258397932816536,66.60891089108911,82.28423101881896,36.836886465047094,57.852093686586905,Q4 (High)
2026-06-30,983.9500122070312,994.9000244140625,954.0499877929688,970.25,779303,-0.07753379448782582,0.20370946553404767,,,0.43181155646861774,68.72113210126014,0.7096102466668686,,0,23737936000.0,1456586000.0,14399684000.0,9343498000.0,17896301000.0,13288686000.0,718154000.0,1167642000.0,0.15589300709434517,0.06136110570017545,1.3467321750246788,1.2588647967150401,11023965000.0,2315756000.0,2047236000.0,2128626000.0,2107702000.0,1557379000.0,523786000.0,26842000.0,0.21006561613720653,0.18570777392707616,0.14127212849460244,0.1930907799507709,0.29532065104169414,0.29546240995524786,2.059262011748669,1.9106569157535307,1.811782235502049,30332229000.0,4562134000.0,6014233000.0,6263255000.0,0.48826831236010326,0.19218747577716952,0.5568690947218559,1.0,2.354782690458008,101241503744.0,,,WAAREERTL.NS,,,,,0.1384344858247738,76.22309197651663,,34.00195694716243,62.18199608610567,36.769759450171826,,81.5414825724104,74.75442043222003,,,40.57971014492754,70.95607235142118,66.60891089108911,28.423101881894873,66.93108577094695,55.93143923365777,Q4 (High)
2026-06-30,13556.0,13690.0,13160.0,13583.0,14879,-0.07169218151995627,-0.0666167215619915,,,0.2567276118551728,54.872280037842955,0.8814362712917798,,0,640076700000.0,361563400000.0,511155500000.0,64657300000.0,467109100000.0,101109300000.0,46213800000.0,24592000000.0,5.591996572699448,0.5648751157478471,4.619843080705731,4.376621141675395,149023800000.0,53747100000.0,20909900000.0,24288300000.0,20569600000.0,4241100000.0,5389700000.0,6526300000.0,0.3606611829788262,0.140312486998721,0.02845921255530996,0.16298269135534055,0.01987410330427508,-0.1400154108200179,0.36849906056982906,0.09861672365557972,0.32517295563169735,530119400000.0,15358000000.0,75437600000.0,87678900000.0,0.23752925037080114,0.023993999469126122,0.1769918729897445,1.0,1.761849884552898,274812665856.0,0.311,0.63,TVSHLTD.NS,,,,,0.3611127129193177,16.97651663405088,,36.545988258317024,97.21135029354207,52.43004418262151,,52.67550319096711,86.49312377210217,48.24759751271905,47.63745704467354,95.70393374741201,97.41602067183463,66.60891089108911,92.99156391953277,36.440257808626676,61.82521786183256,Q5 (Highest)
2026-06-30,1433.0,1514.300048828125,1401.0,1475.800048828125,58710,6.78306292349884e-05,0.11760700403492996,,,0.27152513501136155,69.51000490349566,1.168889733137861,,0,14060500000.0,158900000.0,3704400000.0,10356100000.0,9466800000.0,3207400000.0,1681000000.0,3246500000.0,0.015343613908710809,0.011301162832047225,2.951549541684854,1.939358982353308,6069800000.0,2479200000.0,529900000.0,741600000.0,646100000.0,574600000.0,64400000.0,7100000.0,0.40844838380177273,0.08730106428547893,0.09466539259942668,0.12217865498039474,0.12878210254216804,0.31940298507462694,0.14042537201262584,-0.03752093802345058,-0.04469921422130618,21675600000.0,1916200000.0,1918200000.0,2749700000.0,0.18503104450517086,0.13628249351018812,0.18242510699001427,1.0,3.258600334269763,25081014272.0,0.354,3.93,VEEDOL.NS,,,,,0.13001815552379323,62.769080234833666,,68.98238747553816,95.93933463796478,72.36131566028473,,82.4742268041237,54.46954813359528,54.46579988694178,95.27491408934708,22.386128364389236,63.979328165374675,66.60891089108911,11.161583387410772,68.22012890431334,61.27284577568042,Q5 (Highest)
2026-06-30,474.0,548.8499755859375,451.54998779296875,544.3499755859375,2813163,0.07536539403184217,0.26475367868350674,,,0.4662261523125039,87.5565415078073,2.0612598114543923,,0,5622280000.0,33320000.0,1053550000.0,4568730000.0,2248700000.0,655230000.0,229690000.0,299470000.0,0.00729305518163691,0.00592642130950433,3.4319246676739468,2.9748790501045432,1092450000.0,867700000.0,266170000.0,421190000.0,293680000.0,211130000.0,79340000.0,3210000.0,0.794269760629777,0.2436450180786306,0.1932628495583322,0.38554624925625886,0.10759076576804927,0.20055726145797803,0.15675395220296262,0.15251924231672032,0.21460910690082757,4072900000.0,775130000.0,977480000.0,1488930000.0,0.16965983982419622,0.13786755551128724,0.21240099520865702,1.0,2.374558008494774,24377563136.0,-0.158,0.37,VIMTALABS.NS,,,,,0.14759783069903734,82.14285714285714,,85.86105675146771,51.90802348336595,91.85076092292587,,97.59450171821305,54.02750491159135,7.2922555115884675,29.63917525773196,15.165631469979296,29.92248062015504,66.60891089108911,8.306294613887086,61.37828458106098,52.113182525060864,Q3 (Medium)
