Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_12M_percentile,Volatility_60_percentile,ROC_6M_percentile,ROC_3M_percentile,Volume_Ratio_percentile,ROC_1M_percentile,RSI_percentile,market_cap_current_percentile,beta_percentile,dividend_yield_percentile,Revenue_Growth_QoQ_percentile,Net_Income_percentile,Gross_Margin_percentile,Net_Income_Growth_QoQ_percentile,Current_Ratio_percentile,composite_score,quality_quintile
2025-10-31,20.790000915527344,20.790000915527344,20.3700008392334,20.690000534057617,471772,,,,,,,,,0,0.0,,-7700000.0,1800000.0,1800000.0,400000.0,1300000.0,100000.0,,,,,634931000.0,,274472000.0,360459000.0,540943000.0,263937000.0,254070000.0,,,,2.0495156041024942,,,-0.9903846153846154,,-0.9917695473251029,-0.9731743666169895,22477000.0,68246000.0,10834000.0,84896000.0,0.18933082541981197,0.1074856952960243,,1.0,1.3630879575890922,4317160960.0,0.05,,HINDMOTORS.NS,,,,,0.3536799296732716,,,,,,,,28.494885533365803,50.90439276485789,,,17.885375494071145,,13.333333333333334,56.84210526315789,44.49733949258574,Q2 (Low)
2026-03-31,120.62999725341797,124.98999786376953,115.01000213623047,116.7699966430664,118376,-0.0867355225586266,-0.10376849596864157,,,0.367763041703811,31.481460639044542,1.4676865110954873,,0,1464280000.0,232100000.0,-2630000.0,74740000.0,20340000.0,10970000.0,2530000.0,6840000.0,0.15850793564072446,-0.0017961045701641763,0.007491736553118256,0.051042150408391836,,,,,,,,,,,,,0.10112798917130394,-0.8584333462382243,0.22149554539691008,-0.8668850867613154,-0.4266646210494016,5707230000.0,264510000.0,290890000.0,565270000.0,,,,0.0,,3851380480.0,,,VRAJ.NS,,,,,0.35691337503387166,,56.03112840466926,,55.15564202334631,82.77208394338702,44.74708171206226,43.359375,26.838772528007794,,,66.1144578313253,23.863636363636363,11.88066062866276,15.950617283950615,,45.11423038126985,Q2 (Low)
2026-03-31,898.0,915.0,856.0,878.6500244140625,37328,-0.08900982435037585,-0.1910789321375792,,,0.11874694370158485,23.831977058348443,2.3858048877799685,,0,2092989000.0,1116837000.0,49156000.0,169918000.0,147703000.0,105326000.0,35545000.0,6832000.0,0.5336086333946333,0.023486028832449667,0.05032324584601257,0.08118437316201853,,,,,,,,,,,,,-0.0756565611063561,-0.18976260442789672,0.05447210873866237,-0.3876786949671823,-0.3447277186676899,8269673000.0,564127000.0,212577000.0,865828000.0,,,,0.0,,12415617024.0,-0.023,1.14,TTKHLTCARE.NS,,,,,0.4059737469390031,,99.80544747081711,,29.766536964980546,95.55880917520741,43.67704280155642,25.341796875,45.10472479298587,42.248062015503876,66.41156462585033,21.385542168674696,46.09683794466403,71.87000532765052,38.617283950617285,,51.725576940900545,Q3 (Medium)
2026-03-31,209.88999938964844,209.89999389648438,199.99000549316406,206.02000427246094,47837,-0.06222403394342557,-0.15624357694464885,,,0.25272883240243066,30.57441214775777,1.211105205118307,,0,1694800000.0,106300000.0,44100000.0,61900000.0,61600000.0,45200000.0,16300000.0,100000.0,0.06272126504602313,0.02602076941232004,0.026669813547321217,0.036523483596884586,,,,,,,,,,,,,0.11580749226413856,0.5694444444444444,0.15765027322404368,-0.0978043912175649,-0.06917293233082711,6170950000.0,191234000.0,242416000.0,262825000.0,,,,0.0,,3790264576.0,-0.418,3.4,VINYLINDIA.NS,,,,,0.43173069752466314,,89.83463035019456,,38.42412451361868,71.59590043923866,56.3715953307393,41.30859375,26.44909887968826,13.695090439276486,92.81462585034014,69.32730923694778,35.62252964426877,4.74160895045285,83.60493827160494,,51.586003043758026,Q3 (Medium)
2026-03-31,456.3999938964844,498.0,455.0,494.6499938964844,248399,-0.047467734403859985,-0.11074158400632017,,,0.23236314687492732,48.735110194776595,1.1955252162440133,,0,1345300000.0,1185850000.0,192369000.0,390972000.0,181079000.0,144840000.0,33613000.0,2626000.0,0.8814762506504126,0.1429933843752323,0.10766371812978517,0.2906206794023638,,,,,,,,,,,,,0.678417125269329,-9.292682926829269,0.10715531941509138,-0.28665005269845645,-0.07233460985436269,4760690000.0,763213000.0,744335000.0,1729876000.0,,,,0.0,,31368943616.0,-0.113,0.4,WONDERLA.NS,,,,,0.3596060887866201,,93.19066147859922,,53.21011673151751,70.71742313323573,62.5,80.810546875,60.4968339016074,33.38501291989664,29.549319727891156,95.1305220883534,50.54347826086957,95.5247735748535,1.8271604938271606,,58.45905661237677,Q4 (High)
2026-03-31,110.0,122.5,102.52999877929688,108.91999816894531,25210650,-0.25712725551593485,-0.3934061057591477,,,0.681601802806107,20.30467345472971,1.043507012886058,,0,2568150000.0,845830000.0,115730000.0,235020000.0,125580000.0,83360000.0,6700000.0,35520000.0,0.32935381500301775,0.04506356715923914,0.03245916321087164,0.09151334618305006,,,,,,,,,,,,,-0.2680601592047175,-0.41608293639674976,0.09162667528128576,-0.16723276723276725,0.1983479502345502,9793580000.0,538240000.0,540400000.0,1052210000.0,,,,0.0,,17091311616.0,-1.009,,YATRA.NS,,,,,0.7133581364816073,,3.8424124513618665,,2.480544747081712,59.93167398731089,2.6750972762645913,18.115234375,50.121773015099855,2.1705426356589146,,7.580321285140562,42.934782608695656,35.32232285562067,27.753086419753085,,30.19518611046585,Q1 (Lowest)
2026-03-31,7.75,8.609999656677246,7.599999904632568,8.609999656677246,4341540,0.2161016595280283,0.3246153317964995,,,0.8058175889592771,61.67315128170874,0.433655597951692,,0,505964000.0,103939000.0,-16449000.0,23499000.0,5978000.0,1450000.0,0.0,4528000.0,0.20542765888482184,-0.0325102181182851,0.0028658165403072154,0.046444015779778795,,,,,,,,,,,,,-0.1802799559328624,-0.9775513995541244,-0.32854879249619795,-0.9939741261443965,-0.92127427200729,2530533000.0,77842000.0,34705000.0,268215000.0,,,,0.0,,3971006976.0,0.103,,VARDMNPOLY.NS,,,,,0.29356432533642857,,1.1673151750972721,,98.2976653696498,9.41922889214251,98.2976653696498,93.359375,27.228446176327324,56.485788113695094,,11.39558232931727,18.725296442687746,16.56899307405434,13.728395061728396,,42.97825006695664,Q2 (Low)
2026-03-31,242.9499969482422,251.0,231.5500030517578,237.60000610351562,66576,-0.11310186070656114,-0.24917049474445763,,,0.37329542222958334,6.1497417837119315,1.2433466717409525,,0,37821000.0,13004000.0,220456000.0,253558000.0,244681000.0,180471000.0,63859000.0,351000.0,0.3438301472726792,5.828931017159779,4.771714127072261,6.70415906506967,,,,,,,,,,,,,-0.7610590955611993,1.5415586976115367,-0.29712501626122023,-1.3095095586078922,-1.3338578156868064,688561000.0,564632000.0,594554000.0,768182000.0,,,,0.0,,7455570944.0,0.045,0.63,VLSFINANCE.NS,,,,,0.5415398539789736,,54.280155642023345,,16.488326848249027,74.03611517813567,32.782101167315176,1.85546875,36.87286897223575,50.3875968992248,44.94047619047619,1.6064257028112447,53.952569169960476,38.67874267448055,92.49382716049382,,43.22497829036041,Q2 (Low)
2026-03-31,14.039999961853027,14.119999885559082,11.40999984741211,13.270000457763672,22396,-0.10699860266814465,-0.22124414643242996,,,0.43271485778117436,36.87150346879338,1.5614334997984218,,0,118474000.0,116780000.0,3123000.0,4888000.0,3037000.0,1424000.0,39000.0,1574000.0,0.9857015041274879,0.026360214055404563,0.012019514830258116,0.041257997535324206,429815000.0,51390000.0,99337000.0,330478000.0,364470000.0,87356000.0,171000.0,237102000.0,0.15550203039234078,0.1195630678315089,4.172237739823252,1.4580337927560785,0.3973791915832183,4.812244897959184,0.34298377863677065,-1.6679174484052532,5.242656449553001,357439000.0,1613000.0,7687000.0,14033000.0,0.004880809009979484,0.003752777357700406,0.02012999256287513,1.0,2.7050407733559787,141897728.0,-0.382,,UNIINFO.NS,,,,,0.48775172098214636,,36.13813229571985,,21.44941634241245,85.35871156661786,35.35992217898833,56.640625,1.2177301509985388,15.762273901808785,,90.51204819277109,18.675889328063242,97.92221630261055,97.28395061728395,88.42105263157895,52.982797900590235,Q4 (High)
2026-03-31,117.0199966430664,118.5999984741211,110.5,111.8499984741211,93885102,-0.07324553640287557,-0.16411329112278505,,,0.3202765393247404,37.174902050190994,0.47609377458117513,,0,36704110000.0,10664690000.0,4374820000.0,6297230000.0,4620750000.0,3129230000.0,1064570000.0,426950000.0,0.29055846879273195,0.1191915564769177,0.08525557492062878,0.1715674348186075,,,,,,,,,,,,,0.2310672493289423,1.0544868427963654,0.17043481089230728,0.19109844015255906,0.20164449643259919,123243640000.0,7864200000.0,11809100000.0,18963680000.0,,,,0.0,,522675388416.0,,,VMM.NS,,,,,0.4331035039290009,,71.44941634241245,,36.67315175097276,12.201073694485116,50.826848249027236,57.32421875,91.13492450073065,,,82.88152610441767,90.31620553359684,29.30207778369739,89.72839506172839,,57.45585585140457,Q4 (High)
2026-03-31,521.0,559.9500122070312,500.0,534.9000244140625,160327,-0.049973148451878724,-0.06133777812004326,,,0.3606475328629949,38.919527348732174,1.6003849774604975,,0,3140500000.0,451200000.0,264400000.0,299300000.0,299300000.0,220300000.0,75900000.0,3100000.0,0.1436713899060659,0.08419041553892692,0.07014806559465053,0.09530329565355836,,,,,,,,,,,,,0.01789129096036035,-0.07862818904224178,0.05929773670185856,0.1479937467430954,0.14323911382734922,12166100000.0,847700000.0,1005600000.0,1149500000.0,,,,0.0,,20550320128.0,0.102,2.24,TCIEXP.NS,,,,,0.4109372104884053,,58.56031128404669,,65.85603112840467,86.62762323084432,61.38132295719845,61.376953125,52.94690696541646,56.35658914728682,85.20408163265306,42.62048192771085,56.916996047430835,10.229088971763451,47.85185185185185,,55.728549217973836,Q4 (High)
2026-03-31,622.25,638.0,601.0,628.3499755859375,11588286,-0.1718070838590211,-0.16934369033499908,,,0.42709567401927284,29.75311093818462,0.7797345466462742,,0,122690000000.0,64230000000.0,16710000000.0,21980000000.0,13710000000.0,3960000000.0,1810000000.0,7000000000.0,0.523514548862988,0.13619691906430842,0.032276469149889964,0.1791507050289347,,,,,,,,,,,,,0.33127170138888884,-5.5,0.10631199278629389,-1.8939051918735892,0.49422161794697494,475900000000.0,20320000000.0,64520000000.0,77940000000.0,,,,0.0,,531134283776.0,0.479,0.95,UPL.NS,,,,,0.3321910391298898,,37.840466926070036,,34.776264591439684,35.13909224011713,13.03501945525292,39.35546875,91.28105211885045,88.78552971576228,60.16156462585034,88.70481927710844,91.84782608695652,70.64464571124134,2.666666666666667,,53.61589441102105,Q4 (High)
2026-03-31,6.300000190734863,6.369999885559082,5.960000038146973,6.039999961853027,10075918,-0.14204545531514268,-0.2392947206139645,,,0.3340780565897903,22.727276011273574,0.7824415398274306,,0,601049000.0,124479000.0,31785000.0,92605000.0,46491000.0,31858000.0,10613000.0,4377000.0,0.20710291507015235,0.052882543686122094,0.053003998010145596,0.1540722969341934,,,,,,,,,,,,,-0.12686832766061917,-9.415900317000236e-05,-0.07889304536656605,3.6453776611256927,0.5278327723883058,2599768000.0,101059000.0,131615000.0,332043000.0,,,,0.0,,6542478336.0,-0.0,0.56,VAKRANGEE.NS,,,,,0.6515343115279973,,66.82879377431907,,17.996108949416342,35.38311371400683,21.254863813229573,23.193359375,34.72966390647832,44.67700258397933,40.39115646258503,15.562248995983936,32.16403162055336,16.728822589238145,54.46913580246914,,36.891886772483936,Q1 (Lowest)
2026-03-31,202.39999389648438,202.39999389648438,175.4600067138672,191.5,2354,-0.12517128670840239,-0.19198312236286919,,,0.4329930992177553,36.593111671119466,1.4866955779221358,,0,141700000.0,75000000.0,-3900000.0,6500000.0,4800000.0,1700000.0,1500000.0,1600000.0,0.529287226534933,-0.027522935779816515,0.011997177134791814,0.045871559633027525,,,,,,,,,,,,,-0.27370579190158895,-0.7976190476190477,-0.23694130317716744,-0.7462686567164178,-0.5112781954887218,696836000.0,54130000.0,-1900000.0,87697000.0,,,,0.0,,1107810688.0,0.994,,ZENITHEXPO.NS,,,,,0.47433654555850824,,36.08949416342413,,29.523346303501945,83.21132259638848,27.140077821011673,56.0546875,11.787627861665854,98.96640826873386,,7.1787148594377514,18.824110671936758,71.33724027703782,17.185185185185183,,43.819881033888244,Q2 (Low)
2026-03-31,1030.0,1091.0999755859375,1007.4000244140625,1020.7000122070312,245959,-0.11765217053627153,-0.18350529386370362,,,0.43727589795582233,33.405282599318596,0.8399256947058522,,0,2966990000.0,1015460000.0,427430000.0,508160000.0,447020000.0,256120000.0,86240000.0,104660000.0,0.3422525859541151,0.1440618269694202,0.08632317601340078,0.17127122100175599,,,,,,,,,,,,,0.017695684983192628,-0.018321195860482975,0.28272871514852804,0.4250264285316865,0.3347341878545913,10827680000.0,1001710000.0,1625140000.0,1934580000.0,,,,0.0,,21236043776.0,-0.799,0.1,VENUSPIPES.NS,,,,,0.5083752097421064,,35.01945525291829,,31.56614785992218,40.995607613469986,30.496108949416346,48.193359375,53.72625426205553,3.901808785529716,5.952380952380952,42.52008032128514,59.53557312252964,38.25253063399041,52.44444444444445,,39.506916771529504,Q1 (Lowest)
2026-03-31,461.04998779296875,489.54998779296875,455.0,471.8999938964844,1193094,-0.06881163548035762,-0.11932852584528852,,,0.3433679087887616,38.395054797870095,0.5333058955177152,,0,6240000000.0,2921000000.0,1247000000.0,1370000000.0,1276000000.0,921000000.0,352000000.0,7000000.0,0.46810897435897436,0.1998397435897436,0.14759615384615385,0.21955128205128205,,,,,,,,,,,,,0.23271434215725018,0.009868421052631637,0.2395709177592371,-0.0032467532467532756,0.041825095057034245,20272500000.0,3416680000.0,4128960000.0,5057860000.0,,,,0.0,,150013247488.0,0.027,0.95,TRITURBINE.NS,,,,,0.27741386291582476,,63.764591439688715,,50.63229571984436,16.349438750610055,52.918287937743195,60.05859375,81.78275694106186,47.9328165374677,60.16156462585034,83.08232931726907,77.76679841897233,62.3867874267448,55.604938271604944,,57.49607994245716,Q4 (High)
2026-03-31,252.39999389648438,264.0,240.6999969482422,251.25,145818,-0.027707919819821014,0.021964587197165653,,,0.7032670255403736,47.949873756126536,0.2576252423669422,,0,1624475000.0,936468000.0,229465000.0,268640000.0,231248000.0,157590000.0,1061000.0,72597000.0,0.5764742455254774,0.1412548669570169,0.09700980316717708,0.16537035042090523,,,,,,,,,,,,,0.014927695050925172,0.03812177624948121,0.21727470142778138,11.941611234294161,0.8166571992750682,6517111000.0,646863000.0,993174000.0,1091061000.0,,,,0.0,,8820656128.0,-0.183,,WANBURY.NS,,,,,0.4156541319307239,,3.2587548638132233,,83.60894941634241,3.5627135187896535,69.50389105058366,79.541015625,39.01607403799318,27.209302325581397,,41.76706827309237,52.02569169960475,76.61161427810336,58.32098765432099,,48.961737516214995,Q3 (Medium)
2026-03-31,19.75,20.469999313354492,18.0,18.709999084472656,1604879,-0.27396201970823264,-0.41822141874238117,,,0.494034947952423,16.399993896484375,1.2282406702164792,,0,507759000.0,132660000.0,30420000.0,41933000.0,35602000.0,9271000.0,4383000.0,21948000.0,0.26126567919032456,0.05991031178177048,0.018258662081814404,0.0825844544360612,,,,,,,,,,,,,-0.23145535784560056,-0.5858017245230756,-0.18925896948697885,-0.5354279414712367,-0.14936303148328467,2459513000.0,78056000.0,200196000.0,225975000.0,,,,0.0,,1687928704.0,-0.855,,VIPCLOTHNG.NS,,,,,0.6305958953824886,,22.51945525291829,,1.5077821011673151,72.66959492435335,2.140077821011673,11.767578125,16.609839259620067,3.6175710594315245,,8.785140562248996,23.221343873517785,24.88012786361215,22.617283950617285,,27.355719652899896,Q1 (Lowest)
2026-03-31,8540.0,9009.0,8460.5,8685.5,204361,0.13151380927566447,0.08561964877195183,,,0.3086053415158182,65.58566247066354,0.9683259653230447,,0,6303232000.0,1644503000.0,1039604000.0,1338911000.0,1301020000.0,990826000.0,307975000.0,2219000.0,0.26089837721346765,0.16493189525627489,0.15719332558281213,0.21241658247705303,,,,,,,,,,,,,0.3062001295169019,0.25659288118482904,0.3036059519840637,0.34985504561158765,0.2642793270451951,21517727000.0,3543071000.0,3794269000.0,4839500000.0,,,,0.0,,87872241664.0,-0.368,1.15,VOLTAMP.NS,,,,,0.29940655329295335,,75.77821011673151,,89.54280155642024,53.63591996095657,95.71984435797665,95.703125,74.62250365319045,16.175710594315245,66.70918367346938,87.19879518072288,78.65612648221344,24.77357485348961,73.82716049382717,,65.48953039488755,Q5 (Highest)
2026-03-31,44.099998474121094,45.20000076293945,40.0099983215332,43.689998626708984,199808,-0.04083426216258246,-0.12127921250901508,,,0.38034670281609645,23.80106391412258,0.9951177291290642,,0,1099963000.0,307453000.0,74052000.0,104020000.0,76673000.0,50484000.0,17659000.0,11255000.0,0.2795121290443406,0.06732226447616875,0.04589608923209235,0.09456681724748923,,,,,,,,,,,,,0.7445164830633471,1.164372990353698,0.001417508644344645,0.007845720788165478,0.0008563373776833139,3768580000.0,184404000.0,216957000.0,315849000.0,,,,0.0,,1275529472.0,-0.345,,TEXMOPIPES.NS,,,,,0.3800200173530943,,51.702334630350194,,50.0,55.97852611029771,64.73735408560312,25.244140625,13.443740867023868,17.338501291989665,,95.58232931726907,36.95652173913043,27.543953116675546,90.91358024691358,,48.62939880201689,Q3 (Medium)
2026-03-31,780.0,829.0,767.0,809.0499877929688,2083135,-0.00815253685735473,-0.02235514503400393,,,0.36480870527026965,51.96922024084294,1.3831264652972894,,0,45324800000.0,16844100000.0,5231900000.0,7361600000.0,6436200000.0,4525900000.0,1366000000.0,506600000.0,0.37163098347924317,0.11543128706580062,0.09985482561423327,0.16241880824625812,,,,,,,,,,,,,0.2762192769795213,0.29156440842417664,0.3727175535990648,0.5772434221989893,0.4030379843336065,149667300000.0,21760200000.0,16988800000.0,32879600000.0,,,,0.0,,213349662720.0,0.007,0.62,WELCORP.NS,,,,,0.36850921357707145,,57.24708171206226,,75.43774319066148,80.18545632015618,75.77821011673151,84.814453125,85.43594739405748,45.16795865633075,44.26020408163265,85.8433734939759,92.83596837944664,43.899840170484815,75.65432098765432,,66.43737050854627,Q5 (Highest)
2026-03-31,106.97000122070312,107.94999694824219,99.0,104.08000183105469,30153,-0.07632231497008668,-0.2679701280587874,,,0.4457497259647223,30.477779558387766,0.8529743326438436,,0,0.0,0.0,-11435000.0,-8390000.0,-10101000.0,-10101000.0,0.0,0.0,,,,,,,,,,,,,,,,,,-1.0436139896373058,-1.0,-0.45664335664335665,0.5304633345494345,787608000.0,198382000.0,-41866000.0,202743000.0,,,,0.0,,7247028736.0,0.008,0.48,UNIENTER.NS,,,,,0.6455065802073029,,32.87937743190662,,13.03501945525292,42.60614934114202,49.5136186770428,41.2109375,36.23964929371651,45.29715762273902,35.16156462585034,,13.73517786561265,,12.54320987654321,,38.14812411265374,Q1 (Lowest)
2026-03-31,350.5,350.5,326.79998779296875,330.95001220703125,531568,-0.12423917027718667,-0.1416158145886297,,,0.35421146003376275,36.87636307186956,0.9830494304093776,,0,1363600000.0,971200000.0,390700000.0,441300000.0,410200000.0,369900000.0,107200000.0,12100000.0,0.7122323261953653,0.28652097389263714,0.27126723379290113,0.3236286300968026,,,,,,,,,,,,,0.2722522858742302,0.3426497277676952,0.0742082873798644,-0.10174842156386599,-0.14026884862653421,4672004000.0,1181025000.0,1322684000.0,1724062000.0,,,,0.0,,20751060992.0,0.056,0.6,TAJGVK.NS,,,,,0.40589360670079183,,60.21400778210117,,43.67704280155642,55.14885309907272,27.577821011673155,56.689453125,53.093034583536294,51.55038759689923,42.89965986394558,85.69277108433735,64.9209486166008,87.74640383590835,77.62962962962962,,57.122667535350715,Q4 (High)
2026-03-31,316.0,338.0,311.0,322.3999938964844,125860,-0.227691976359094,-0.28355556911892366,,,0.3894680143116377,20.576784348719187,0.9101146418737637,,0,5211700000.0,2840700000.0,135300000.0,3321000000.0,3008500000.0,2642900000.0,291400000.0,74200000.0,0.5450620718767388,0.025960818926645816,0.5071090047393365,0.637220100926761,,,,,,,,,,,,,-0.09981691308553264,-23.227922624053825,-0.02236020184209042,3.5685393258426963,2.349808351825701,21674200000.0,2949000000.0,929500000.0,4829200000.0,,,,0.0,,22698813440.0,-0.418,,UNICHEMLAB.NS,,,,,0.7240125853974728,,49.5136186770428,,11.040856031128405,47.925817471937535,4.961089494163424,18.505859375,55.13882123721383,13.695090439276486,,18.925702811244978,88.68577075098814,73.52157698454982,0.7407407407407408,,38.843662934219076,Q1 (Lowest)
2026-03-31,1504.0,1594.9000244140625,1470.0,1564.4000244140625,99006,0.12619685545252524,-0.005277501758442771,,,0.6224783940248171,80.47757494876316,0.7621861126989666,,0,2018303000.0,756690000.0,191375000.0,336219000.0,192847000.0,44960000.0,11693000.0,136193000.0,0.374913974759984,0.09481975699387059,0.022276139905653414,0.1665849973963275,,,,,,,,,,,,,0.10110595980966486,-0.07440194342652451,0.35187472454161717,-6.468255898808076,0.21460258512936492,7619834000.0,180332000.0,794924000.0,1339349000.0,,,,0.0,,18864314368.0,0.051,0.03,YASHO.NS,,,,,0.3009610816311751,,7.247081712062254,,78.93968871595331,33.821376281112734,95.52529182879378,99.21875,51.63175840233804,51.059431524547804,0.8503401360544218,66.06425702811245,35.523715415019765,44.485881726158766,48.24691358024691,,50.84096575669334,Q3 (Medium)
2026-03-31,43.79999923706055,46.91999816894531,40.58000183105469,40.810001373291016,823096,-0.278465339773445,-0.4264230428941387,,,0.41621050447063934,26.018210747868963,1.0071694130850055,,0,754169000.0,166255000.0,84002000.0,142555000.0,91940000.0,61614000.0,15731000.0,14596000.0,0.22044793673566535,0.1113835227913107,0.0816978687800745,0.189022619598525,,,,,,,,,,,,,0.043656296099482184,-0.09293800697807941,0.13923842210050252,-0.16183972466705665,0.4428643724696357,2833486000.0,257073000.0,305426000.0,512620000.0,,,,0.0,,3478236416.0,0.67,,VERTOZ.NS,,,,,0.6619415607699728,,41.099221789883266,,1.4591439688715953,57.10102489019033,1.8482490272373542,30.126953125,25.377496346809547,95.5813953488372,,50.903614457831324,39.32806324110672,18.646776771443793,46.46913580246913,,40.52940498464536,Q1 (Lowest)
2026-03-31,358.5,368.8999938964844,341.0,348.04998779296875,11404,-0.06763997006612166,-0.15818121292330267,,,0.5499546197134932,34.72802456843361,1.25836510074526,,0,40645000.0,8797000.0,-33671000.0,-26635000.0,-28687000.0,-28687000.0,0.0,0.0,0.21643498585311846,-0.8284167794316644,-0.7057940706113913,-0.655308155984746,,,,,,,,,,,,,-0.9280443718996852,-0.7987089078342631,3.615602997955939,0.1803406846609612,0.514384807823516,2162833000.0,-450853000.0,-447476000.0,-428603000.0,,,,0.0,,1504580480.0,0.848,,TIPSFILMS.NS,,,,,0.47432232032377786,,14.250972762645915,,37.9863813229572,74.91459248413861,53.30739299610895,51.318359375,15.489527520701413,97.57105943152455,,0.853413654618474,10.968379446640316,17.90090570058604,17.135802469135804,,39.44645247760382,Q1 (Lowest)
2026-03-31,144.80999755859375,144.80999755859375,136.00999450683594,138.17999267578125,870396,-0.13718390295352623,-0.1934863059650349,,,0.499554932586884,15.753412601321912,0.5432789821099269,,0,10613854000.0,1940883000.0,1249513000.0,1332033000.0,1270031000.0,806332000.0,278644000.0,185055000.0,0.18286317109694555,0.11772472091664347,0.07596976555358685,0.12549946513302332,,,,,,,,,,,,,0.5431709240150155,1.557251230527224,0.143966265572393,1.6988114722548557,1.185606203554968,29019927000.0,1441539000.0,2653703000.0,2881166000.0,,,,0.0,,9232482304.0,0.002,1.63,TBZ.NS,,,,,0.5046452970131383,,21.400778210116727,,29.03696498054475,16.886285993167398,22.957198443579767,10.693359375,39.795421334632245,44.78036175710594,77.55102040816327,93.42369477911646,76.28458498023716,14.064997336174748,92.64197530864197,,45.96777619376537,Q2 (Low)
2026-03-31,35.75,37.93000030517578,34.5,34.7400016784668,2602750,-0.23039428116533345,-0.2822313929082888,,,0.4394155860126877,19.47093202091665,1.0060202077046059,,0,2494000000.0,327000000.0,115300000.0,174300000.0,158600000.0,92800000.0,8200000.0,57600000.0,0.13111467522052928,0.046230954290296715,0.037209302325581395,0.06988773055332799,,,,,,,,,,,,,0.10534946593981287,-0.1881014873140857,-0.1539740154007938,-0.8771999470689427,-0.8214688108163475,10795697000.0,775079000.0,789377000.0,1078892000.0,,,,0.0,,7956174336.0,0.057,,VASCONEQ.NS,,,,,0.6225436788653204,,34.192607003891055,,11.186770428015565,56.857003416300635,4.669260700389105,16.6015625,37.94447150511447,51.75710594315246,,67.16867469879519,44.540513833992094,9.057005860415558,38.71604938271605,,38.17940168485214,Q1 (Lowest)
2026-03-31,181.30999755859375,194.89999389648438,172.64999389648438,175.2100067138672,56155,-0.08825514709204418,-0.3340554821388657,,,0.3342348243374068,7.412065898739115,1.7303014784022963,,0,338149000.0,289052000.0,10809000.0,28569000.0,18357000.0,12101000.0,3129000.0,3127000.0,0.8548066089209195,0.031965198773321817,0.03578599966287051,0.0844864246234648,,,,,,,,,,,,,-0.003336467411968247,-0.6611692893543148,0.12255710733623038,0.2988086293871417,0.16574856163545104,1733287000.0,70131000.0,51625000.0,152609000.0,,,,0.0,,4257619200.0,-0.277,,TREJHARA.NS,,,,,0.6896957104989091,,66.73151750972764,,5.642023346303502,88.97022938018546,44.066147859922175,2.5390625,28.2513395031661,20.801033591731265,,36.19477911646587,24.654150197628457,94.5125199786894,20.444444444444446,,42.18714982855095,Q2 (Low)
2026-03-31,1110.800048828125,1145.800048828125,1095.800048828125,1116.699951171875,4878230,-0.03148312994633562,-0.027603685621969132,,,0.21612232088350047,44.87094970803321,1.3868843029570421,,0,51120000000.0,21867800000.0,5613800000.0,7308200000.0,5715300000.0,3846100000.0,1371200000.0,316200000.0,0.42777386541471046,0.10981611893583725,0.07523669796557121,0.14296165884194054,,,,,,,,,,,,,0.06969999435017615,0.1510100254376776,0.21296966389445826,0.05540310630591083,0.13289618502844558,188328000000.0,13424900000.0,19028100000.0,27119800000.0,,,,0.0,,1105039327232.0,0.277,0.74,TATACONSUM.NS,,,,,0.5770254209685114,,95.52529182879377,,74.12451361867704,80.28306490971205,68.23929961089495,74.0234375,95.61617145640527,74.8062015503876,50.97789115646258,58.93574297188755,91.50197628458498,54.87480021310602,67.80246913580247,,69.11405734911429,Q5 (Highest)
