Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,Volume_Ratio_percentile,ROC_6M_percentile,Volatility_60_percentile,ROC_12M_percentile,market_cap_current_percentile,RSI_percentile,beta_percentile,Current_Ratio_percentile,Net_Income_Growth_QoQ_percentile,Revenue_Growth_QoQ_percentile,Tax_Provision_percentile,dividend_yield_percentile,Debt_to_Equity_percentile,composite_score,quality_quintile
2026-05-31,287.54998779296875,290.0,257.1499938964844,277.0,8022437,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156286550016.0,0.74,,GSPL.NS,,,,,0.20708717248776098,,,,,,,76.5079365079365,,87.00440528634361,,,,,,,54.23415611961869,Q4 (High)
2026-07-31,2295.0,2525.5,2267.10009765625,2408.89990234375,9993363,0.07877290745353793,0.18149290369319293,,,0.1992786467754053,58.635439510233915,1.4031005532512806,,0,9042300000.0,6299800000.0,1511200000.0,1859300000.0,1359200000.0,1013700000.0,333200000.0,12300000.0,0.6967032723975095,0.16712562069385,0.1121064330977738,0.20562246331132567,49686464000.0,35893000.0,8094266000.0,41592198000.0,29093736000.0,5911629000.0,1101822000.0,6834030000.0,0.0008629743491796226,0.0007223899048239778,4.9214414504022495,3.765409838810927,-0.15073446539935387,-0.4877457173177018,-0.04765766524834647,-0.30420756400576565,-0.22825004150755435,41477900000.0,7094600000.0,9249200000.0,11403900000.0,0.1705752602928078,0.14278737967749125,0.22218650382022082,1.0,2.6568778490656935,387925901312.0,0.015,,JBCHEPHARM.NS,,,,,0.40803587418451776,78.60125260960335,76.32950990615224,79.49790794979079,,95.92901878914405,,87.72486772486772,74.68619246861925,13.43612334801762,87.28971962616822,26.6384778012685,12.79317697228145,72.78481012658227,,9.25925925925926,57.66468777211698,Q5 (Highest)
2026-08-31,126.94999694824219,128.4499969482422,120.5,123.41999816894531,58287,-0.010264625586383525,-0.02457915625033913,,,0.33720008351764175,47.931518239817855,1.104902937510224,,0,1478070000.0,537025000.0,59240000.0,103384000.0,61839000.0,-9924000.0,-4627000.0,76390000.0,0.3633285297719323,0.040079292591013956,-0.006714161034321785,0.06994526646234617,6401158000.0,4392889000.0,5202056000.0,1199102000.0,3887050000.0,3669020000.0,896000.0,2221107000.0,3.6634823392838975,0.6862647352244703,1.0594245874920278,0.45405666908329745,-0.11430125993367757,-1.838813287127039,-0.04947878148693574,-4.5030003529827045,-0.17214650630194905,6570357000.0,23762000.0,323506000.0,498312000.0,0.0198164960111817,0.0037121408345177544,0.057851666785586744,1.0,1.3614418672371467,1266245376.0,0.555,0.66,BSL.NS,,,,,0.35557530934984577,37.47390396659708,41.918665276329506,55.85774058577406,,55.636743215031316,,13.015873015873018,52.82426778242678,72.90748898678414,15.514018691588785,9.830866807610994,15.991471215351813,9.388185654008439,49.74446337308348,97.5925925925926,41.846418744203454,Q1 (Lowest)
2026-08-31,10.880000114440918,12.449999809265137,10.15999984741211,10.1899995803833,103792040,-0.05473099881286125,-0.17822581501086499,,,0.4192535881472811,11.229943524146307,1.148007602536006,,0,2343600000.0,516300000.0,140600000.0,237000000.0,204600000.0,181400000.0,7100000.0,16100000.0,0.2203020993343574,0.0599931728963987,0.07740228707970644,0.10112647209421403,29255200000.0,20837500000.0,24509000000.0,4746100000.0,28481000000.0,4746300000.0,973400000.0,1460100000.0,4.390446893238659,0.712266537230988,6.000674209384152,5.693045108821608,0.12155436447166923,0.06643151087595522,0.42251896813353573,0.520536462699078,0.5874079035498996,7500800000.0,560300000.0,350500000.0,699600000.0,0.11805482396072565,0.01915215072875933,0.013700182929689332,1.0,1.480152588257814,12103711744.0,0.501,,JYOTISTRUC.NS,,,,,0.44659767184514615,5.741127348643007,20.229405630865486,60.04184100418411,,31.524008350730696,,39.15343915343915,2.1966527196652716,66.02422907488987,90.46728971962617,54.22832980972516,66.95095948827291,25.421940928270043,,98.33333333333333,47.35417043744302,Q2 (Low)
2026-08-31,501.8999938964844,524.7999877929688,485.70001220703125,488.45001220703125,398079,-0.02969801722430565,-0.08134286064894702,,,0.3329551451601319,42.55164578749699,0.6905769492923957,,0,2533244000.0,703088000.0,92393000.0,146885000.0,98194000.0,46864000.0,15762000.0,35568000.0,0.27754452393847573,0.03647220717783206,0.018499599722727064,0.0579829657151068,,,,,,,,,,,,,-0.008710998413229532,-0.6470127444186677,0.46372416917241965,0.8461296040969075,0.3024144565920961,9707802000.0,298248000.0,422910000.0,624859000.0,,,,0.0,,7744998912.0,0.515,,ASAL.NS,,,,,0.1946360581550069,23.2776617954071,31.49113660062565,16.00418410041841,,56.78496868475992,,32.592592592592595,41.945606694560674,68.55726872246696,,21.353065539112052,30.597014925373134,30.37974683544304,,,40.19888309938398,Q1 (Lowest)
2026-08-31,440.45001220703125,648.0,436.0,632.9000244140625,57348969,0.4616628739354791,0.3604901285608706,,,0.42498901800398486,81.00396518991317,2.3607331332493313,,0,2635549000.0,948273000.0,567295000.0,833953000.0,802039000.0,657366000.0,96843000.0,47830000.0,0.35980093711025674,0.2152473735073793,0.2494227957818276,0.31642477525555396,18507822000.0,1518694000.0,2562600000.0,15945222000.0,7938411000.0,2240891000.0,856601000.0,1452787000.0,0.09524445630170593,0.08205687303454723,3.5425243798114234,2.8942166307955186,-0.15284642167438534,-0.07531494933240301,-0.022589971599822234,0.04862462592760375,0.053668083428935365,11073669000.0,2588906000.0,2895815000.0,3324597000.0,0.16236249329109373,0.13988172136083868,0.16581704813513762,1.0,2.31689782298533,73456828416.0,0.567,0.02,BALUFORGE.NS,,,,,0.33137170667308175,92.79749478079331,98.85297184567257,99.3723849372385,,29.43632567849687,,66.45502645502646,97.07112970711297,73.7885462555066,82.80373831775701,43.65750528541226,12.57995735607676,54.219409282700425,0.2555366269165247,32.22222222222222,58.900816583395496,Q5 (Highest)
2026-08-31,765.0,793.1500244140625,698.0499877929688,716.4000244140625,593078,-0.07805155952858123,-0.14013082467603344,,,0.31933968956300396,39.735110045203754,0.7938471157107594,,0,2808555000.0,1028556000.0,227926000.0,329621000.0,258971000.0,178312000.0,62230000.0,18429000.0,0.3662224880766088,0.08115418782968466,0.06348887595222455,0.11736319922522435,,,,,,,,,,,,,0.17760551386159418,-0.2413611184384068,0.05312584954300448,-0.24600298533969867,-0.1532373250580571,10335686000.0,826370000.0,1097250000.0,1430105000.0,,,,0.0,,14346588160.0,0.411,0.28,ASALCBR.NS,,,,,0.2092440302051572,10.438413361169102,11.887382690302397,23.01255230125523,,62.421711899791234,,42.96296296296296,35.87866108786611,54.29515418502202,,34.35517970401691,76.54584221748401,47.46835443037975,20.272572402044293,,41.30258581615294,Q1 (Lowest)
2026-08-31,824.5999755859375,852.3499755859375,794.7000122070312,815.5,3924092,-0.0009800169115911084,-0.007644710396498611,,,0.2529938354642204,47.84947089267071,0.9056188998337562,,0,4335423000.0,,,,,2678209000.0,706884000.0,6594647000.0,,,0.6177503325511721,,,,,,,,,,,,,,-0.009170053481313278,-0.22521533456340326,0.2205307875948741,0.14494917172940092,,16704997000.0,11021450000.0,,,,,,0.0,,108587573248.0,0.417,1.99,CANFINHOME.NS,,,,,0.2635010515624629,41.44050104384134,46.81960375391032,34.10041841004184,,83.7160751565762,,71.42857142857143,52.719665271966534,55.50660792951542,,35.20084566596194,30.49040511727079,83.64978902953587,83.8160136286201,,54.59256642905413,Q4 (High)
2026-08-31,2050.5,2118.5,1982.300048828125,2002.0,21952532,0.048496896617749696,0.15063073433919483,,,0.25825304999874926,42.17354372055909,0.7538018776979536,,0,368592800000.0,,,,167660400000.0,31323500000.0,26355200000.0,78338500000.0,,,0.08498131271147999,,,,,,,,,,,,,,0.10085044299194657,0.23385473495964426,0.21925803755163176,0.12308850683924644,,1345255600000.0,101442700000.0,,,,,,0.0,,3203689873408.0,0.374,0.06,BAJAJFINSV.NS,,,,,0.563748529424481,74.4258872651357,68.19603753910324,20.188284518828453,,81.62839248434238,,98.4126984126984,41.42259414225941,50.77092511013216,,64.79915433403805,62.89978678038379,99.68354430379746,3.2367972742759794,,57.710940144333016,Q5 (Highest)
2026-08-31,892.2999877929688,970.0,860.1500244140625,893.0,4537,-0.02190580503833517,0.03554244249063365,,,0.6005670609790398,37.19550085815214,0.7772286866025784,,0,663000.0,597000.0,-3594000.0,-3530000.0,-3594000.0,-3678000.0,-829000.0,,0.9004524886877828,-5.420814479638009,-5.547511312217194,-5.324283559577677,812423000.0,0.0,21835000.0,774035000.0,36421000.0,20977000.0,1560000.0,,0.0,0.0,1.736234923964342,,-0.9156273861033342,-1.6876051598429613,0.8781869688385269,-1.5264815344975666,0.05153410783437584,8989000.0,3277000.0,-5830000.0,4729000.0,0.004233658684684801,0.004033613031634998,-0.007531959149134083,1.0,1.3531258962387822,300420448.0,,,KAUSHALYA.NS,,,,,0.19325967480161882,53.027139874739035,34.82794577685089,21.75732217573222,,5.949895615866382,,3.068783068783069,30.125523012552303,,48.78504672897196,10.359408033826638,0.9594882729211088,12.341772151898734,,6.018518518518518,28.48138954871072,Q1 (Lowest)
