Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_12M_percentile,Volume_Ratio_percentile,Volatility_60_percentile,RSI_percentile,ROC_6M_percentile,ROC_3M_percentile,ROC_1M_percentile,market_cap_current_percentile,Interest_Expense_percentile,Net_Income_Growth_YoY_percentile,dividend_yield_percentile,beta_percentile,Net_Income_Growth_QoQ_percentile,Tax_Provision_percentile,Revenue_Growth_YoY_percentile,composite_score,quality_quintile
2025-10-31,20.790000915527344,20.790000915527344,20.3700008392334,20.690000534057617,471772,,,,,,,,,0,0.0,,-7700000.0,1800000.0,1800000.0,400000.0,1300000.0,100000.0,,,,,634931000.0,,274472000.0,360459000.0,540943000.0,263937000.0,254070000.0,,,,2.0495156041024942,,,-0.9903846153846154,,-0.9917695473251029,-0.9731743666169895,22477000.0,68246000.0,10834000.0,84896000.0,0.18933082541981197,0.1074856952960243,,1.0,1.3630879575890922,4317160960.0,0.108,,HINDMOTORS.NS,,,,,0.287647046737874,,,,,,,,26.11218568665377,3.3811475409836067,13.72745490981964,,54.83870967741935,11.96078431372549,20.64039408866995,,38.71071174781812,Q1 (Lowest)
2026-02-28,288.5,323.0,285.0,318.1000061035156,21202957,0.17771195451807587,0.27689471876345984,,,0.3394037859604291,76.43677299555884,0.6878424017196776,,0,17482000000.0,,,,,6899600000.0,2106100000.0,15549300000.0,,,0.39466880219654504,,,,,,,,,,,,,,0.14515917725664873,0.3231565826061942,0.1411525105094127,0.4568412162162163,,58637455000.0,22207967000.0,,,,,,0.0,,307481477120.0,-0.201,0.68,KARURVYSYA.NS,,,,,0.52942122413927,,25.606207565470417,54.72972972972973,97.96116504854369,,98.16602316602317,98.35907335907336,86.84719535783366,97.1311475409836,80.96192384769539,49.92012779552716,24.193548387096776,78.62745098039215,94.48275862068965,59.75733063700708,69.78291213573772,Q5 (Highest)
2026-02-28,485.0,532.0,474.8500061035156,504.20001220703125,7752191,-0.025794562652521558,-0.021730717261343013,,,0.2537281212824656,47.487017254851075,1.662386760446229,,0,77430770000.0,34830040000.0,8005990000.0,12085430000.0,8232030000.0,4705180000.0,2525910000.0,1000940000.0,0.44982169233238933,0.10339545893706081,0.06076628193158869,0.15608045742022197,,,,,,,,,,,,,0.13350534102171108,0.8233810119861886,0.11765710338146018,0.3951815445744191,0.2707540345136503,272160690000.0,9260610000.0,24122830000.0,33284790000.0,,,,0.0,,319320850432.0,0.198,1.69,APOLLOTYRE.NS,,,,,0.32232091667629875,,82.54122211445198,83.20463320463321,53.786407766990294,,73.26254826254826,65.15444015444015,87.13733075435202,89.44672131147541,78.3567134268537,79.63258785942492,65.80645161290323,89.31372549019608,95.27093596059113,54.19615773508595,73.14065837692976,Q5 (Highest)
2026-02-28,1569.7261047942345,1748.0,1525.8588864780584,1742.199951171875,9717750,-0.024067785228887306,0.023242465291235526,,,0.2879387484873682,55.75473275947702,1.1737280830829293,,0,43629400000.0,,,,,12899700000.0,4457700000.0,36457400000.0,,,0.2956653082554424,,,,,,,,,,,,,,0.1230132071052219,0.1337106597646398,0.33677924608658083,0.3328890266584006,,153350800000.0,47755700000.0,,,,,,0.0,,1483813421056.0,0.338,0.11,CHOLAFIN.NS,,,,,0.37185597216734667,,64.40349175557711,72.2007722007722,78.05825242718447,,81.37065637065636,66.02316602316603,96.42166344294004,98.15573770491804,74.9498997995992,6.070287539936102,79.6774193548387,66.86274509803921,97.04433497536947,85.13650151668351,71.09166188064536,Q5 (Highest)
2026-02-28,14.0600004196167,14.5,13.25,14.239999771118164,80272,-0.06684144446034601,-0.18906604759660484,,,0.5200700311970856,30.175445875996303,0.5323603434236679,,0,15449000.0,6174000.0,3084000.0,4506000.0,3084000.0,2282000.0,802000.0,0.0,0.39963751699139105,0.19962457116965499,0.14771182600815586,0.2916693637128617,282574000.0,5932000.0,33052000.0,249522000.0,257903000.0,33052000.0,1591000.0,0.0,0.023773454845664913,0.020992731107603673,7.802946871596273,7.802946871596273,-0.0006468723720809422,0.181159420289855,0.44437172774869116,1.986910994764398,0.8302193338748984,63913000.0,8911000.0,12363000.0,18017000.0,0.03571228188296022,0.03153510230948353,0.04839618874631049,1.0,2.4533120527720174,880436736.0,0.35,,CALSOFT.NS,,,,,0.6296236721384777,,13.967022308438409,13.7065637065637,9.223300970873787,,24.42084942084942,44.11196911196911,9.477756286266924,1.0758196721311475,93.88777555110221,,80.64516129032258,71.37254901960785,18.817733990147783,89.98988877654196,41.37975934032099,Q2 (Low)
2026-02-28,138.89999389648438,192.0,136.22000122070312,167.25999450683594,9914986,0.16973206574799482,-0.11647563961820384,,,0.6364504977508211,60.94627818773319,1.9034368172287084,,0,4598169000.0,2131009000.0,174430000.0,339403000.0,151130000.0,-143840000.0,59121000.0,152053000.0,0.4634472982615471,0.03793466486334017,-0.03128201682017342,0.07381264151013153,20369257000.0,6717119000.0,11768058000.0,8895725000.0,11669792000.0,8563767000.0,874362000.0,5309511000.0,0.7550951721191921,0.32976750207432703,1.3626937771660532,0.7426966427274353,0.08562089188576616,0.44407521559729735,0.10183869463511974,-0.8564923636857039,-0.3695636021858898,17001431000.0,-292049000.0,1448238000.0,3158938000.0,-0.03283026397511164,-0.014337734557524608,0.09275939732697003,0.0,1.653541167456427,32128405504.0,0.218,,CAMLINFINE.NS,,,,,0.25411876681360823,,87.29388942774005,4.150579150579148,87.47572815533981,,46.04247104247104,97.97297297297297,57.05996131528046,73.05327868852459,15.931863727454909,,67.84946236559139,82.84313725490196,50.54187192118227,50.96056622851365,58.07838548337015,Q4 (High)
2026-02-28,15.899999618530273,16.739999771118164,15.40999984741211,15.829999923706055,45670,-0.10514418056520702,-0.11662947230411647,,,0.545716840531121,46.38219449154821,0.3924500411086992,,0,82544000.0,51880000.0,41365000.0,41971000.0,41447000.0,35196000.0,0.0,6251000.0,0.6285132777670092,0.5011266718356271,0.42639077340569875,0.5084682108935841,,,,,,,,,,,,,1.1770803112224715,3.5649805447470815,311.6666666666667,-2.5676807269163957,-4.345369041925713,281498000.0,-205822000.0,-39830000.0,-75026000.0,,,,0.0,,909219392.0,0.216,,CINEVISTA.NS,,,,,0.34422280596713856,,7.75945683802134,10.52123552123551,50.679611650485434,,45.84942084942085,26.061776061776058,9.671179883945841,21.209016393442624,5.31062124248497,,67.74193548387096,97.45098039215686,13.30049261083744,99.3933265925177,40.32993690134637,Q2 (Low)
2026-02-28,85.01000213623047,96.0199966430664,82.98999786376953,90.56999969482422,100219,0.0046588814402266365,-0.06926315931424354,,,0.3877890134219898,56.58158154872944,1.769310336361844,,0,1679988000.0,577420000.0,78843000.0,100815000.0,67791000.0,16094000.0,8208000.0,43489000.0,0.3437048359869237,0.0469306923620883,0.00957983033212142,0.06000935720969436,,,,,,,,,,,,,-0.04392512514426594,-0.3927250773526526,0.11437332967179481,-1.9172983756055857,0.658768942198529,6531778000.0,47278000.0,270227000.0,381576000.0,,,,0.0,,1811668864.0,-0.258,,ARCHIDPLY.NS,,,,,0.27595054541579594,,85.7419980601358,40.83011583011583,79.41747572815534,,59.36293436293436,78.66795366795367,17.11798839458414,51.74180327868852,6.913827655310621,,20.591397849462364,25.68627450980392,30.147783251231523,53.48837209302325,46.647194978759956,Q2 (Low)
2026-02-28,305.04998779296875,324.8999938964844,298.20001220703125,300.3999938964844,113051,-0.07866890003618487,-0.06809372356575194,,,0.339081419858364,36.18180708451704,1.3695153878079367,,0,768971000.0,475358000.0,-70488000.0,-520440000.0,-564487000.0,-635271000.0,-115301000.0,186085000.0,0.6181741574129583,-0.09166535539051537,-0.8261312845347873,-0.6768005555476084,14769694000.0,6270900000.0,12917111000.0,1852583000.0,550919000.0,12880310000.0,149219000.0,140009000.0,3.384949554217004,0.42457887076062645,0.04277218483095516,0.0319021824785273,0.09399616731232419,3.6867212110928316,-0.015172549813144642,0.22254959317049883,-3.6181313291378037,3251630000.0,1874031000.0,551554000.0,2910858000.0,1.0115773490310556,0.12688353597576227,0.06789624598217292,1.0,-0.7320957428095667,12829736960.0,0.07,,ASIANHOTNR.NS,,,,,0.2724638289491676,,73.61784675072744,54.826254826254825,20.097087378640776,,59.94208494208494,37.54826254826255,42.16634429400386,75.10245901639344,68.43687374749499,,51.075268817204304,97.54901960784314,1.477832512315271,23.458038422649143,50.35315819092498,Q3 (Medium)
2026-02-28,1790.0999755859375,1939.0,1744.0,1825.699951171875,432026,-0.01664333987956157,-0.05526522578428206,,,0.268348296212303,49.9432720608806,1.527236360504909,,0,5427700000.0,3276300000.0,1704100000.0,2233500000.0,2040700000.0,1638800000.0,380300000.0,1800000.0,0.6036258452014666,0.3139635573078836,0.30193267866683865,0.41150026714814747,,,,,,,,,,,,,0.0637960095645016,0.07251308900523568,0.12351480024839567,0.2529051987767583,0.20449765410127818,20321600000.0,5982100000.0,6350400000.0,8118000000.0,,,,0.0,,139008589824.0,0.022,0.33,CAPLIPOINT.NS,,,,,0.3207589496212627,,78.37051406401552,78.18532818532819,60.87378640776699,,64.0926640926641,69.6911196911197,77.36943907156673,9.528688524590164,71.04208416833667,25.23961661341853,46.236559139784944,61.47058823529412,79.01477832512315,55.81395348837209,58.461941333825386,Q4 (High)
