Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,Volatility_60_percentile,ROC_12M_percentile,ROC_3M_percentile,RSI_percentile,ROC_6M_percentile,ROC_1M_percentile,Volume_Ratio_percentile,market_cap_current_percentile,Net_Income_Growth_YoY_percentile,Revenue_Growth_YoY_percentile,Interest_Expense_percentile,beta_percentile,TTM_Revenue_percentile,Net_Income_Growth_QoQ_percentile,Gross_Margin_percentile,composite_score,quality_quintile
2026-04-30,1130.0,1475.0,1105.199951171875,1413.699951171875,6517495,0.21305982628810405,-0.045506735213737604,,,0.4900749657639121,87.84808483591937,1.0070138658990362,,0,807900000.0,575600000.0,-1068400000.0,-1037700000.0,-1215400000.0,-728500000.0,-331900000.0,190100000.0,0.712464413912613,-1.3224408961505136,-0.9017205099641045,-1.2844411437059042,,,,,,,,,,,,,-0.4397753276471812,1.8602277188849627,-0.6912641394069092,-29.23643410852713,-3.853960396039604,-15771500000.0,-2699600000.0,-2015200000.0,-3487400000.0,,,,0.0,,156323889152.0,0.181,0.14,ABREL.NS,,,,,0.4403645159743321,48.2421875,,40.0390625,94.27032321253674,,82.6171875,60.33300685602351,81.50147203140334,1.0136847440446022,2.211934156378601,75.5958549222798,47.849176845459375,0.05159958720330237,93.45238095238095,87.9144385026738,54.33948728735893,Q4 (High)
2026-04-30,3252.0,4110.0,3252.0,3811.800048828125,96491,0.07064011362828282,-0.03805583331947082,,,0.4061458171427283,67.53409824125731,1.0709417377346158,,0,9165100000.0,3941300000.0,418600000.0,653600000.0,289400000.0,111500000.0,58800000.0,118800000.0,0.43003349663397017,0.04567326052088903,0.01216571559502897,0.07131400639382003,,,,,,,,,,,,,-0.01077183779641444,0.0036003600360035026,0.1417413077871763,-2.867671691792295,0.6459330143540669,34598400000.0,447300000.0,1237900000.0,2634100000.0,,,,0.0,,29187143680.0,0.666,0.44,TVSSRICHAK.NS,,,,,0.3321459499911382,72.55859375,,41.796875,39.569049951028404,,35.009765625,66.84622918707149,57.94896957801766,5.271160669031931,56.73868312757202,68.44559585492227,91.635687732342,73.89060887512899,54.31547619047619,56.096256684491976,54.6748634816722,Q4 (High)
2026-04-30,138.94000244140625,145.89999389648438,129.0,129.36000061035156,24267411,-0.018810647727743546,-0.15577886694998777,,,0.3964783233802281,44.6662638271482,0.639771726617325,,0,1505239000.0,412569000.0,260725000.0,302718000.0,276391000.0,191137000.0,61727000.0,23526000.0,0.2740886995354226,0.17321169594994548,0.12698116378860766,0.20110959123434882,,,,,,,,,,,,,0.1099739474066499,0.07185235862811501,0.7075688307563159,0.5345467099136132,0.7992903122269575,4928821000.0,668218000.0,820100000.0,918000000.0,,,,0.0,,18846253056.0,0.462,0.08,VINCOFE.NS,,,,,0.30175431265536323,75.244140625,,13.720703125,3.281096963761019,,7.6171875,16.16062683643487,50.294406280667324,77.39483020780537,92.90123456790124,39.58549222797927,79.60701009028146,34.00412796697626,60.813492063492056,27.00534759358289,45.175313069925444,Q2 (Low)
2026-04-30,61.29999923706055,89.88999938964844,61.29999923706055,83.6500015258789,1225131,0.23596337394640687,0.0587267341373825,,,0.5619947935639159,82.36001048584305,0.8639398784401879,,0,1086593000.0,600628000.0,77744000.0,145072000.0,94759000.0,43977000.0,16492000.0,34291000.0,0.5527626259326169,0.07154840864978884,0.0404723755812894,0.13351089138251396,,,,,,,,,,,,,0.22486425066479687,-11.35727743758832,0.12798672899388874,0.09920515896820636,0.08934176340727173,3617155000.0,69829000.0,203363000.0,424284000.0,,,,0.0,,4479376896.0,0.471,,ZIMLAB.NS,,,,,0.46494336683181137,29.39453125,,68.603515625,87.65915768854065,,86.083984375,42.948090107737514,27.919528949950934,56.76634566649772,53.60082304526749,45.64766839378238,80.48327137546468,28.637770897832816,1.3888888888888888,74.27807486631016,52.227443408684884,Q3 (Medium)
2026-04-30,168.60000610351562,222.89999389648438,168.60000610351562,206.97000122070312,1148609,0.1219710513964849,0.021166413558068475,,,0.46888784967622105,73.36775707062776,0.5794409617979509,,0,1078930000.0,727470000.0,64800000.0,385890000.0,135540000.0,50360000.0,24710000.0,60470000.0,0.6742513416069624,0.06005950339688395,0.046675873318936356,0.35765990379357326,,,,,,,,,,,,,0.05437363797164041,0.5159542444310656,0.1276795886158637,-0.042403498764023606,0.2658771814722478,4124900000.0,203440000.0,382550000.0,1405790000.0,,,,0.0,,11012104192.0,0.126,,TARSONS.NS,,,,,0.40515695966345694,55.2734375,,59.326171875,61.99804113614103,,56.201171875,11.557296767874632,42.00196270853778,45.15965534718702,53.54938271604939,56.52849740932643,41.76845459373341,30.340557275541798,82.29166666666666,84.8663101604278,52.057507068765716,Q3 (Medium)
2026-04-30,160.0,249.89999389648438,155.1300048828125,223.91000366210938,36791358,0.3632268107282153,0.29976199053188046,,,0.5379661357093555,80.5472581374076,2.33963365490313,,0,1428180000.0,716621000.0,265782000.0,327442000.0,267509000.0,182486000.0,61502000.0,23521000.0,0.5017721855788486,0.1860983909591228,0.1277752104076517,0.22927222058844124,,,,,,,,,,,,,-0.1322754666013728,-0.17570003116770483,-0.11743604226132831,0.22604658662599686,0.12286104233678774,5661485000.0,766412000.0,1147987000.0,1383326000.0,,,,0.0,,15365356544.0,0.346,,BHARATWIRE.NS,,,,,0.47066324890238814,35.15625,,93.45703125,83.54554358472086,,95.60546875,98.82468168462292,47.20314033366046,65.12924480486568,15.329218106995885,39.53367875647668,68.26872012745618,37.254901960784316,39.48412698412698,67.96791443850267,59.117328052147506,Q4 (High)
2026-04-30,454.95001220703125,532.7000122070312,445.04998779296875,502.6000061035156,1081203,0.10219299584104302,0.18879308303796116,,,0.45392591492051076,60.84844388047547,1.0135047033700797,,0,2810030000.0,1896160000.0,446490000.0,582730000.0,469230000.0,333220000.0,109010000.0,27000000.0,0.6747828315000196,0.1588915420831806,0.11858236388935349,0.2073750102312075,,,,,,,,,,,,,0.015074233283964844,-0.15394185603656219,0.349010815974806,0.7411432751593687,0.5636622212681461,10527170000.0,1299990000.0,1477760000.0,2206150000.0,,,,0.0,,22665527296.0,0.486,3.03,UNIPARTS.NS,,,,,0.35725069060127973,59.08203125,,86.669921875,21.939275220372185,,47.216796875,61.116552399608224,53.287536800785084,81.95641155600609,82.92181069958848,41.554404145077726,81.43919277748275,50.10319917440661,41.12103174603175,84.97326203208556,59.55876177009629,Q5 (Highest)
2026-04-30,28.290000915527344,37.88999938964844,27.700000762939453,35.16999816894531,700933,0.08448960339146927,-0.04038208172756963,,,0.4467067613224246,67.77300350776449,0.7190472707193823,,0,693900000.0,201500000.0,-13200000.0,30300000.0,23400000.0,17500000.0,5500000.0,400000.0,0.29038766392851995,-0.019022913964548204,0.025219772301484363,0.043666234327712924,,,,,,,,,,,,,-0.030347238816294198,-0.10778015703069233,,,,2933517000.0,92414000.0,-6718000.0,158728000.0,,,,0.0,,2826392832.0,-0.026,4.26,VARDHACRLC.NS,,,,,0.36002108854961623,61.669921875,,41.11328125,40.156709108716946,,40.33203125,23.94711067580803,22.129538763493624,,,6.50259067357513,26.314391927774828,25.541795665634677,45.43650793650794,29.411764705882355,37.50370958882623,Q1 (Lowest)
2026-04-30,1022.4500122070312,1284.0,993.8499755859375,1223.5,4723715,0.12288915878697337,0.28289816959171854,,,0.43852886581570866,79.07480985124465,1.127405412190844,,0,8721970000.0,1915680000.0,1166990000.0,1577810000.0,1483950000.0,1192500000.0,248390000.0,43060000.0,0.21963845323934844,0.13379890093637103,0.1367236988891271,0.18090064515241397,,,,,,,,,,,,,0.03411328808133507,0.1468220766856121,0.3712107634598272,0.24232985029534637,0.1769958374983216,30314737000.0,4939997000.0,4423275000.0,6177893000.0,,,,0.0,,142292533248.0,0.767,0.74,TECHNOE.NS,,,,,0.34631198055192197,64.453125,,92.3828125,80.26444662095984,,56.54296875,71.93927522037218,79.73503434739942,66.09224531170806,84.41358024691358,50.155440414507765,94.87519915029209,71.56862745098039,66.66666666666666,18.877005347593585,66.53109513515959,Q5 (Highest)
2026-04-30,664.0,795.0,652.7999877929688,720.9500122070312,266659649,0.09043505072506908,0.08623367747461375,,,0.425385705322621,60.00600814951562,1.0270834729740914,,0,229790000000.0,107390000000.0,54420000000.0,57350000000.0,57350000000.0,57100000000.0,10740000000.0,9890000000.0,0.4673397449845511,0.2368249271073589,0.24848774968449455,0.24957569955176465,,,,,,,,,,,,,-0.3861462841267297,0.792778649921507,0.37253613666228635,0.6098111079785735,0.3940204180845892,,,,,,,,0.0,,2815166775296.0,0.74,4.72,VEDL.NS,,,,,0.2826141750213426,67.96875,,73.779296875,19.73555337904016,,42.48046875,62.48775710088149,98.47890088321884,79.52356817029904,84.82510288065843,96.78756476683937,94.07859798194372,,86.65674603174604,62.62032085561498,67.96150851168282,Q5 (Highest)
