Ticker,Predicted_Direction,Predicted_Probability,Quarter_Date,Staleness_Days,debt_to_equity,roce,roe,roc_1m,roc_3m,volatility_30d,rsi_14d,Rank,Category,Confidence
MAZDOCK.NS,1,0.8380037625766229,2025-09-01,60,2.1079910935180606,49.0,,-1.1768929597029631,-1.0225565884750605,21.180777168064356,26.027834588716516,1,Strong Buy,0.6760075251532458
LGHL.NS,1,0.8231474177615344,2025-09-01,60,1.5866666666666667,18.0,,-28.99678652933766,-10.04757989641541,45.627625655886,20.863511535687337,2,Strong Buy,0.6462948355230689
HAL.NS,1,0.809917318759531,2025-09-01,60,2.327173854228667,34.0,,-1.4052500855893817,3.3127075784800395,15.948441280182097,34.265133472039466,3,Strong Buy,0.619834637519062
CURAA.NS,1,0.8090557556058738,2025-09-01,60,1.4828025477707,-10.69,,-26.27360983017411,-34.19938435412384,45.342770738482244,19.679474054183075,4,Strong Buy,0.6181115112117477
UBL.NS,1,0.8053012130688457,2025-09-01,60,0.8803596127247579,14.0,,-0.18880632618124782,-7.417327608382044,15.437477133785743,54.530475329877916,5,Strong Buy,0.6106024261376914
HESTERBIO.NS,1,0.8016573478117832,2025-09-01,60,0.5603448275862069,11.0,,-16.412070839094195,-14.549567004203093,17.81800140859831,26.58099038381357,6,Strong Buy,0.6033146956235664
KIRIINDUS.NS,1,0.8009312756460776,2025-09-01,60,0.5050890585241731,2.0,,-3.6783202807309165,-4.802639407379821,30.156709853353703,31.140676186612723,7,Strong Buy,0.6018625512921552
KSCL.NS,1,0.7944424943274407,2025-09-01,60,0.4153066966797974,19.0,,-1.0562338509965825,-7.94971198663505,21.49075910858985,36.80181590692536,8,Strong Buy,0.5888849886548815
MARSHALL.NS,1,0.7937626188178526,2024-06-01,517,1.0563009734280453,-3.39,,-18.78557447250907,-49.168644049559354,32.776763698892424,0.0,9,Strong Buy,0.5875252376357052
LODHA.NS,1,0.7935318412062583,2025-09-01,60,1.6178274633953305,15.0,,5.467509501343117,-2.935823301443154,22.439824720975576,64.46281478093752,10,Strong Buy,0.5870636824125166
CONCORDBIO.NS,1,0.79052543261313,2025-09-01,60,0.1073972602739726,28.0,,-12.374819954247894,-20.33951786577224,28.744751238467618,23.572402400552477,11,Strong Buy,0.58105086522626
WINDMACHIN.NS,1,0.7802831331996167,2025-09-01,60,0.360056258790436,2.0,,-0.17035775127768313,-11.050393008787747,32.722323532929146,48.68247630765272,12,Strong Buy,0.5605662663992335
GUFICBIO.NS,1,0.7790250642445474,2025-09-01,60,1.0158982511923689,13.0,,-8.195801187779056,-19.54320138724824,20.391160613141203,7.395520689140852,13,Strong Buy,0.5580501284890949
SIYSIL.NS,1,0.7780898916849405,2025-09-01,60,0.6086956521739131,20.0,,15.386970618736962,16.34281011477709,33.856667506314416,59.7269856823997,14,Strong Buy,0.5561797833698809
SHREECEM.NS,1,0.7735535397783148,2025-09-01,60,0.3323148485954031,7.0,,-3.263282043415389,-7.453414916203739,18.389301973973787,34.641403577217844,15,Strong Buy,0.5471070795566295
COROMANDEL.NS,1,0.773502098627858,2025-09-01,60,0.8535495614760881,25.0,,-5.5061292503371,-19.908013089921006,26.29506992059708,37.81448267561084,16,Strong Buy,0.547004197255716
FEL.NS,1,0.7719367668961106,2023-03-01,975,-14.30607476635514,-10.0,,-22.80701699349358,-24.137929262644278,33.60760170466101,13.33332273695035,17,Strong Buy,0.5438735337922211
FIBERWEB.NS,1,0.7702051988886631,2025-09-01,60,0.09239130434782608,10.0,,-1.5715283059438308,-12.957286149694239,26.158449100881143,47.656246119489424,18,Strong Buy,0.5404103977773262
SARLAPOLY.NS,1,0.7698791472751733,2025-09-01,60,0.48333333333333334,12.0,,-2.790992168154798,-22.918940194027993,28.9001206667128,42.77023546141018,19,Strong Buy,0.5397582945503465
SUDARSCHEM.NS,1,0.765842673144527,2025-09-01,60,0.40033153750518025,11.0,,-13.82100952573001,-18.80885965517934,27.438014914143842,8.36323506108846,20,Strong Buy,0.5316853462890541
STEELCITY.NS,1,0.763965095593835,2025-09-01,60,0.7586206896551724,21.0,,-1.0027568425287587,-6.416509440985598,12.902405691835222,44.67832406202762,21,Strong Buy,0.5279301911876699
INDIANCARD.NS,1,0.7591329454536184,2025-09-01,60,0.07183908045977011,7.0,,-0.8055258938184993,-12.055767101208769,17.008958964211246,64.12080627133656,22,Strong Buy,0.5182658909072368
HIKAL.NS,1,0.7566463661227769,2025-09-01,60,0.9673366834170855,10.0,,-5.266295579718134,-27.502720416382665,17.01685055159219,33.04195794868457,23,Strong Buy,0.5132927322455538
TTL.NS,1,0.7565289383655996,2025-09-01,60,0.7380952380952381,1.0,,-6.965644791245415,-28.082987920808407,22.282590557836976,31.944435246200214,24,Strong Buy,0.5130578767311993
RAJTV.NS,1,0.7558394340326418,2025-09-01,60,0.39516324062877856,-12.7,,-0.24378909727543013,-6.361561888922826,14.35456457580912,51.891889105399365,25,Strong Buy,0.5116788680652835
DALBHARAT.NS,1,0.7554494044079247,2025-09-01,60,0.023276748971193417,3.0,,-5.678067455859145,-6.196118153340446,16.847656953904103,27.385111131055965,26,Strong Buy,0.5108988088158495
SUNPHARMA.NS,1,0.7520705977920054,2025-09-01,60,0.9073195313484231,17.0,,6.04653449108327,-2.485874751554041,16.51890450678696,57.710250386698526,27,Strong Buy,0.5041411955840107
ASPINWALL.NS,1,0.75119801082594,2025-09-01,60,0.702247191011236,9.0,,-0.6810396807050612,-8.472799451619954,14.142417235446947,52.31481743120822,28,Strong Buy,0.5023960216518799
DEVYANI.NS,1,0.7501498073919128,2025-09-01,60,1.9267015706806283,8.0,,-3.707668733439678,-1.8620683910662919,24.01375862733653,47.29382963662104,29,Strong Buy,0.5002996147838257
ASTEC.NS,1,0.749379656129374,2025-09-01,60,1.1380145278450364,-13.0,,-17.97564585805515,-23.649509798384184,23.63811905846539,16.100052265524525,30,Strong Buy,0.4987593122587479
DRREDDY.NS,1,0.7487988762428686,2025-09-01,60,0.3515374607304922,26.0,,-2.1328737948336833,-7.3136755503107596,21.575573010917058,33.24972880052698,31,Strong Buy,0.4975977524857371
LUXIND.NS,1,0.7476625719927436,2025-09-01,60,0.645287228109314,13.0,,-0.29678606339171076,-9.019692826941963,16.502242764902018,41.82585336206707,32,Strong Buy,0.4953251439854871
GUJAPOLLO.NS,1,0.747485439312196,2025-09-01,60,0.11096373056994811,1.23,,-3.0599221652616975,-2.6692261679862535,34.18304213151198,51.44995616487943,33,Strong Buy,0.49497087862439204
SAGCEM.NS,1,0.7469057887225224,2025-09-01,60,0.6928792569659443,-2.0,,-9.125427614382822,-8.078286012672532,31.390547315819127,25.31572242692782,34,Strong Buy,0.4938115774450449
DIXON.NS,1,0.745491812401459,2025-09-01,60,0.6803942273847237,12.0,,-5.072907731895601,-7.540144585076076,29.436844391704852,17.90062520565975,35,Strong Buy,0.490983624802918
