Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,Volume_Ratio_percentile,ROC_6M_percentile,Volatility_60_percentile,ROC_12M_percentile,market_cap_current_percentile,RSI_percentile,beta_percentile,Current_Ratio_percentile,Net_Income_Growth_QoQ_percentile,Revenue_Growth_QoQ_percentile,Tax_Provision_percentile,dividend_yield_percentile,Debt_to_Equity_percentile,composite_score,quality_quintile
2026-05-31,287.54998779296875,290.0,257.1499938964844,277.0,8022437,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156286550016.0,0.74,,GSPL.NS,,,,,0.21437627317145924,,,,,,,76.31004366812228,,87.1501272264631,,,,,,,54.23067805963904,Q4 (High)
2026-05-31,1286.0,1288.0,1222.0999755859375,1260.0999755859375,157368,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIGNITITEC.NS,,,,,0.21406031754283192,,,,,,,,,,,,,,,,50.00000000000001,Q3 (Medium)
2026-07-31,2295.0,2525.5,2267.10009765625,2408.89990234375,9993363,0.07877290745353793,0.18149290369319293,,,0.19927864677540535,58.635439510233915,1.4031005532512806,,0,9042300000.0,6299800000.0,1511200000.0,1859300000.0,1359200000.0,1013700000.0,333200000.0,12300000.0,0.6967032723975095,0.16712562069385,0.1121064330977738,0.20562246331132567,49686464000.0,35893000.0,8094266000.0,41592198000.0,29093736000.0,5911629000.0,1101822000.0,6834030000.0,0.0008629743491796226,0.0007223899048239778,4.9214414504022495,3.765409838810927,-0.15073446539935387,-0.4877457173177018,-0.04765766524834647,-0.30420756400576565,-0.22825004150755435,41477900000.0,7094600000.0,9249200000.0,11403900000.0,0.1705752602928078,0.14278737967749125,0.22218650382022082,1.0,2.6568778490656935,387925901312.0,0.015,0.77,JBCHEPHARM.NS,,,,,0.40803587418451776,78.06451612903226,78.6021505376344,70.11866235167206,,96.23655913978494,,87.22707423580786,68.56835306781485,12.977099236641221,87.8839590443686,26.361655773420477,11.648351648351648,72.5,55.4481546572935,8.29103214890017,56.92850453138146,Q4 (High)
2026-08-31,11250.0,12453.0,11250.0,12025.0,28491,0.08089887640449445,-0.02544776724207798,,,0.28811891524482086,70.24106400665003,1.5623763749807098,,0,331430000.0,309053000.0,300425000.0,300451000.0,300425000.0,135411000.0,76172000.0,,0.9324834806746523,0.9064508342636454,0.40856591135383036,0.9065292822013699,372026310000.0,,41911558000.0,330114752000.0,1388323000.0,84725000.0,25867000.0,,,,16.386226025376217,,0.014701740205983471,-0.5784753502821869,0.12492151039456934,0.3928020406903787,0.17382471411436984,,,,,,,,0.0,,133458714624.0,,,JSWHL.NS,,,,,0.30998104683517846,34.623655913978496,79.03225806451613,75.29665587918015,,73.44086021505376,,73.7991266375546,89.1280947255113,,96.07508532423208,23.52941176470588,36.81318681318682,49.891304347826086,,,58.77530931238303,Q5 (Highest)
2026-08-31,228.5,244.99000549316406,227.2100067138672,231.2100067138672,667014,-0.0029323932794472762,0.08912343504685705,,,0.31696477238435394,57.185478356279994,0.16726957775398738,,0,822320000.0,536080000.0,150980000.0,200730000.0,179310000.0,131890000.0,44910000.0,2510000.0,0.6519116645588092,0.1836024905146415,0.16038768362681194,0.24410205272886468,,,,,,,,,,,,,0.28081242309549403,0.5052327638351537,0.0875522403851241,0.22176933765632234,0.17813123606057046,2938450000.0,454761000.0,518680000.0,710250000.0,,,,0.0,,15243553792.0,-0.278,1.73,JAGSNPHARM.NS,,,,,0.17776738014713897,64.73118279569893,44.83870967741935,2.0496224379719528,,63.01075268817205,,43.122270742358076,65.44671689989235,2.5445292620865136,,74.07407407407408,83.51648351648352,43.369565217391305,79.34973637961336,,51.0702429127441,Q3 (Medium)
2026-08-31,57.959999084472656,66.04000091552734,57.709999084472656,65.61000061035156,2203489,-0.00771328062681953,-0.20932757343797626,,,0.38768639968588453,54.87309940535285,1.2770627473660334,,0,17451700000.0,4909700000.0,602400000.0,920300000.0,601100000.0,213700000.0,210700000.0,176700000.0,0.2813307586080439,0.03451812717385699,0.012245225393514672,0.05273411759312846,40774600000.0,4166300000.0,18199000000.0,22575600000.0,20546900000.0,16480800000.0,19400000.0,14186200000.0,0.18454880490441006,0.1021788073947997,1.2467173923595942,0.3859460705790981,0.3135603426214455,0.8502164502164502,0.09791573609809179,-0.7168786433492316,-0.39294195250659636,57842700000.0,1299500000.0,2203300000.0,3825500000.0,0.05756214674250075,0.0318703310394216,0.08239130353490216,1.0,2.36204622485567,59852820480.0,0.354,,JAIBALAJI.NS,,,,,0.4167662358459622,4.086021505376344,41.72043010752688,65.48004314994607,,39.032258064516135,,63.1004366812227,59.95694294940797,48.091603053435115,25.426621160409557,81.37254901960785,84.50549450549451,66.63043478260869,,41.793570219966156,51.41309367996787,Q3 (Medium)
2026-08-31,198.0,219.00999450683594,193.72999572753906,194.85000610351562,2249470,-0.013717308607854029,-0.026431464486186163,,,0.2310399054766618,49.22031692633029,2.1919378146777553,,0,3014844000.0,2351995000.0,1071251000.0,1146291000.0,890795000.0,503765000.0,164868000.0,222146000.0,0.7801382094728616,0.3553255160134322,0.1670948811945162,0.3802156927522618,42920996000.0,11936601000.0,14236484000.0,28684281000.0,1975367000.0,2998557000.0,108598000.0,106054000.0,0.4161373610863734,0.27810633751369607,0.6587725362566061,0.6234041907490836,0.021521159288293346,-0.22997262376245187,0.08618289456239148,-0.08328526221355226,-0.09105391155963627,10476813000.0,1416084000.0,3104818000.0,4007190000.0,0.04936794476389351,0.032992803801663875,0.07643403705512844,1.0,1.219603615442661,43354591232.0,0.319,,JUNIPER.NS,,,,,0.34180470200617274,34.30107526881721,37.8494623655914,88.3495145631068,,90.64516129032258,,58.406113537117896,45.31754574811625,41.85750636132315,7.167235494880546,33.87799564270153,39.34065934065934,62.17391304347826,,61.59052453468698,50.05844714605347,Q3 (Medium)
2026-08-31,78.9000015258789,81.13999938964844,76.8499984741211,78.0,42719012,-0.04889650081424546,-0.1819611825041617,,,0.39124522181135807,45.944143067444074,0.7675254364617489,,0,12442400000.0,4571700000.0,1475200000.0,2608300000.0,2087800000.0,912500000.0,382300000.0,648700000.0,0.3674291133543368,0.11856233524078956,0.0733379412332026,0.20962997492445187,120677600000.0,15869500000.0,43757100000.0,63820400000.0,76121500000.0,37897200000.0,1308100000.0,17902800000.0,0.24865873607811922,0.13150327815601237,2.0086312445246612,1.5362269508037534,0.030469170566068904,-0.22267654825794359,-0.023987700224345376,-0.5205947252285383,-0.10095822418309663,43971200000.0,4062500000.0,6882600000.0,10644300000.0,0.06365519489066192,0.03366407684607583,0.08636728117364936,1.0,1.5419486300688778,134802546688.0,,,INOXWIND.NS,,,,,0.19821352766354142,5.268817204301075,19.78494623655914,34.41208198489752,,38.27956989247312,,74.0174672489083,36.92142088266954,,58.36177474402731,34.31372549019608,42.637362637362635,74.23913043478261,,47.20812182741117,44.3629612389059,Q2 (Low)
2026-08-31,569.9000244140625,622.0,563.25,565.0,4208647,0.005442031460033636,-0.12335201636063087,,,0.202337303699974,43.602352980754674,2.9970675070019026,,0,19015300000.0,6553000000.0,2024000000.0,3136000000.0,2299100000.0,1240600000.0,516600000.0,531900000.0,0.34461722928378724,0.10644060309329856,0.06524219970234496,0.16491982771767996,85481100000.0,25857800000.0,46649800000.0,38856300000.0,23330200000.0,18033000000.0,734000000.0,6448500000.0,0.6654725231172294,0.30249727717589037,1.293750346586813,0.9361559363389341,0.19713548224628563,1.1795502459592409,0.0020604757538389418,-0.29386988445557516,-0.1626168224299065,,,,,,,,0.0,,70141599744.0,0.489,1.15,JKLAKSHMI.NS,,,,,0.38107972933967693,10.86021505376344,50.645161290322584,94.06688241639698,,95.59139784946237,,65.50218340611353,31.646932185145317,64.63104325699746,27.474402730375424,85.72984749455338,77.14285714285715,79.02173913043478,67.13532513181019,74.78849407783417,61.615765411071116,Q5 (Highest)
2026-08-31,2173.10009765625,2296.39990234375,1884.9000244140625,1896.0,834587,-0.11953186310800756,-0.03775884261683704,,,0.38365445170920764,28.600949470633836,3.601749606597818,,0,2078597000.0,1028605000.0,306939000.0,384913000.0,309405000.0,265445000.0,21822000.0,22138000.0,0.4948554241154009,0.1476664307703706,0.1277039272162906,0.18517923387746638,9706592000.0,1098875000.0,2796527000.0,6910065000.0,5644710000.0,2281718000.0,40509000.0,1007499000.0,0.15902527689681645,0.11320914693849293,2.4738859052696256,2.032333092871249,0.004561758937693394,0.0395746847340801,-0.06243778255796173,-0.1582634119116929,-0.23475171523943772,8222877000.0,1103924000.0,1463212000.0,1758398000.0,0.1597559501972847,0.11372930890677181,0.18269733572732472,1.0,2.3647429396434916,37979660288.0,,0.63,ANUP.NS,,,,,0.39269257290881643,30.53763440860215,4.838709677419355,96.33225458468176,,40.43010752688172,,56.659388646288214,8.288482238966631,,68.25938566552901,50.0,33.07692307692307,33.15217391304348,48.154657293497365,39.424703891708965,43.94362806156945,Q2 (Low)
