Ticker,Predicted_Direction,Predicted_Probability,Quarter_Date,Staleness_Days,debt_to_equity,roce,roe,roc_1m,roc_3m,volatility_30d,rsi_14d,Rank,Category,Confidence
NORBTEAEXP.NS,1,0.6145094783055636,2025-09-01,241,0.5814999999999999,3.9,,-31.20275675910848,-30.779558377452016,40.11269169458561,10.215776077497779,1,Buy,0.22901895661112714
PRIVISCL.NS,1,0.6052402336628024,2025-09-01,241,1.1192,18.0,,13.720518265267092,23.65129235333279,30.0055298726693,86.11606258665083,2,Buy,0.21048046732560488
LAURUSLABS.NS,1,0.6019684027644729,2025-09-01,241,0.7673851159007726,9.0,,9.134611864985247,8.318567958177107,36.48914112721254,53.82907465113128,3,Buy,0.20393680552894589
CRAFTSMAN.NS,1,0.6012640953634597,2025-09-01,241,1.4182892906815021,8.0,,11.034084344309647,6.800027783566021,38.416345735181565,62.85057471264368,4,Buy,0.2025281907269194
SENORES.NS,1,0.5973769488556133,2025-09-01,241,0.14425770308123248,2.0,,14.111676676019194,12.119702270203398,40.95716499687557,68.44899215817739,5,Buy,0.19475389771122664
DSSL.NS,1,0.5943244218241559,2025-09-01,241,2.208791208791209,39.0,,27.176578763061272,17.268318965517242,57.80447940569427,73.83285263177692,6,Buy,0.1886488436483118
IRISDOREME.NS,1,0.5939599355870903,2025-09-01,241,0.36363636363636365,18.0,,29.515257453367038,16.018010671581806,49.814778776993,68.32413496590304,7,Buy,0.18791987117418052
SANGAMIND.NS,1,0.5923995664634366,2025-09-01,241,2.0049019607843137,7.0,,20.15314378137532,22.512716259446712,41.72819392659474,71.99997539371971,8,Buy,0.18479913292687322
HINDZINC.NS,1,0.5922629884715425,2025-09-01,241,1.6055086301872934,61.0,,19.057987886600593,-13.147483681426722,44.76537367631475,67.8685823432623,9,Buy,0.18452597694308492
SPAL.NS,1,0.5908486382196937,2025-09-01,241,0.5,13.0,,15.740276531283445,26.027504184163714,37.706064298563945,56.6438458185355,10,Buy,0.18169727643938738
BAJAJ-AUTO.NS,1,0.5870715997189201,2025-09-01,241,0.369759651348099,38.0,,12.279519155151107,6.1666755192011475,30.969854279797588,65.92122830440587,11,Buy,0.17414319943784018
PREMIERENE.NS,1,0.5870509831881052,2025-09-01,241,0.1769436997319035,12.0,,13.912512678384262,49.048464471211794,34.15844458225054,65.92669290621541,12,Buy,0.17410196637621045
NATIONALUM.NS,1,0.5860167765009108,2025-09-01,241,0.25724096745297104,44.0,,7.628029054708558,9.078720930048377,46.93993722348486,43.92174309801017,13,Buy,0.17203355300182155
SBC.NS,1,0.5859117105866282,2025-09-01,241,3.536231884057971,16.0,,8.94414732491731,13.564465561025015,25.121372728074043,72.6224961275932,14,Buy,0.17182342117325633
POWERINDIA.NS,1,0.5849475427265324,2025-09-01,241,1.130045821514292,19.0,,35.91249746809804,103.32101084782741,34.461496681254864,94.12597310686482,15,Buy,0.16989508545306475
KAJARIACER.NS,1,0.584153158972665,2025-09-01,241,0.25396825396825395,17.0,,24.9171732226203,27.136968728230315,48.06060847234211,69.08124737100306,16,Buy,0.1683063179453299
ASHIANA.NS,1,0.584012366207539,2025-09-01,241,3.8251572327044023,4.0,,18.441067526658316,20.867838433456974,34.09223297513254,73.7588184304249,17,Buy,0.1680247324150781
ARVIND.NS,1,0.5832756608524584,2025-09-01,241,1.3023569023569024,13.0,,13.660343570581942,33.67432364642025,32.16802233621257,63.66782682889227,18,Buy,0.16655132170491682
POLYCAB.NS,1,0.5831835708606811,2025-09-01,241,0.5897875583500047,30.0,,14.765812933352201,20.656054745611424,37.265577105096554,64.09969196303555,19,Buy,0.16636714172136213
HINDALCO.NS,1,0.5809228972651156,2025-09-01,241,0.619397892898084,13.0,,19.764622750697484,9.228666035312786,31.76511430763856,62.96111824707215,20,Buy,0.16184579453023118
ATUL.NS,1,0.5804289051690871,2025-09-01,241,0.19941449974169106,12.0,,9.254807692307693,17.008495666352015,27.252956082709623,68.7240663900415,21,Buy,0.16085781033817415
TATASTEEL.NS,1,0.5788610146903066,2025-09-01,241,0.9930501814466142,13.0,,9.388261709473984,12.659239871400315,29.53773067392084,63.77461470849962,22,Buy,0.1577220293806132
TIPSMUSIC.NS,1,0.5768735263700687,2025-09-01,241,0.43410852713178294,109.0,,29.823158429309167,23.82313647644412,45.925124755672044,77.67857548330844,23,Buy,0.15374705274013745
TRITURBINE.NS,1,0.5762042250907192,2025-09-01,241,0.7329749103942652,48.0,,26.83924870377105,24.55701104380721,48.68979173405034,85.46594902427083,24,Buy,0.15240845018143845
KANORICHEM.NS,1,0.5727918920942843,2025-09-01,241,0.7014925373134329,4.0,,47.81438945122039,28.294177345741055,54.594360061723854,84.138174766945,25,Buy,0.14558378418856854
PRAJIND.NS,1,0.5725871074701605,2025-09-01,241,1.102919708029197,24.0,,28.93905600375269,44.0134098689041,36.93842431434495,80.441245169236,26,Buy,0.145174214940321
ESABINDIA.NS,1,0.572500576446202,2025-09-01,241,0.53125,70.0,,22.44822005360981,15.675032263361683,33.923202953699935,79.62795637616543,27,Buy,0.145001152892404
NLCINDIA.NS,1,0.5710200728532874,2025-09-01,241,1.1008839779005526,9.0,,17.0858037166664,28.12626397543872,39.675856720000944,83.47340503967499,28,Buy,0.14204014570657475
BIL.NS,1,0.5706423417882224,2025-09-01,241,1.7770114942528736,10.0,,9.47789983259252,12.145156136212174,44.19522694892826,61.24926642132134,29,Buy,0.14128468357644475
BHEL.NS,1,0.5705106853301549,2025-09-01,241,1.9197062621045835,5.0,,38.281340091067754,45.32371285035438,40.9936756027424,89.15149656935246,30,Buy,0.14102137066030984
CONSOFINVT.NS,1,0.5704554091731937,2025-09-01,241,0.0953757225433526,8.0,,8.506944125060846,34.601576376371774,36.327778629690194,65.53125164182764,31,Buy,0.1409108183463874
PARAS.NS,1,0.5703393185713427,2025-09-01,241,0.32200886262924666,17.0,,26.907410878525944,27.498191578177366,54.140968574574686,72.07925057260734,32,Buy,0.14067863714268536
MOTHERSON.NS,1,0.5702157035643679,2025-09-01,241,0.26004759040870223,5.0,,10.81550752250089,12.16435210679734,50.43151860884556,55.242030521289365,33,Buy,0.1404314071287358
GESHIP.NS,1,0.5699927214549912,2025-09-01,241,0.17012874180554458,15.0,,11.4346324260159,43.25832310137178,42.68652667191808,71.77382906144474,34,Buy,0.1399854429099825
DENORA.NS,1,0.5696935899701631,2025-09-01,241,0.3779527559055118,1.0,,23.630986071002557,47.53858201637757,45.680814449737376,71.27436882175341,35,Buy,0.13938717994032612
TATVA.NS,1,0.5695117224338053,2025-09-01,241,0.23601637107776263,0.0,,18.900782607338236,13.349474984714824,41.63729005592721,68.20455561730317,36,Buy,0.13902344486761065
ABB.NS,1,0.5680771335023201,2025-09-01,241,0.7792604948568251,39.0,,18.9118761540211,54.63990523827557,34.003489436565566,70.60640717224697,37,Buy,0.13615426700464028
SJS.NS,1,0.5678784290514372,2025-09-01,241,0.18502202643171806,19.0,,11.923771805783343,15.107548728884822,48.00122624015801,57.05311786877856,38,Buy,0.1357568581028743
LINDEINDIA.NS,1,0.5676897444260888,2025-09-01,241,0.35003796507213364,17.0,,2.837875807811183,24.840112560757227,41.374380106247685,58.71091257179324,39,Buy,0.13537948885217754
VHLTD.NS,1,0.5665938413634315,2025-09-01,241,0.2682926829268293,10.0,,0.3503542764376303,-1.7775864630011473,24.3325581201528,59.6063278485798,40,Buy,0.133187682726863
RRKABEL.NS,1,0.5646488642869505,2025-09-01,241,0.5728363324764353,20.0,,19.504033863973035,16.23261529869069,43.784852394502025,70.61580421248843,41,Buy,0.12929772857390098
COMSYN.NS,1,0.56424595644508,2025-09-01,241,0.9177215189873418,11.0,,0.880860075624895,3.8696636013775043,18.281446251935144,52.83426739278564,42,Buy,0.12849191289016004
