Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,Volume_Ratio_percentile,ROC_6M_percentile,Volatility_60_percentile,ROC_12M_percentile,market_cap_current_percentile,RSI_percentile,beta_percentile,Current_Ratio_percentile,Net_Income_Growth_QoQ_percentile,Revenue_Growth_QoQ_percentile,Tax_Provision_percentile,dividend_yield_percentile,Debt_to_Equity_percentile,composite_score,quality_quintile
2026-04-30,49.75,50.400001525878906,48.02000045776367,49.88999938964844,674866,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12887883776.0,0.438,,SANGHIIND.NS,,,,,0.2201556361332582,,,,,,,43.898809523809526,,59.76145637162587,,,,,,,50.24401772636237,Q3 (Medium)
2026-05-31,287.54998779296875,290.0,257.1499938964844,277.0,8022437,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156286550016.0,0.74,,GSPL.NS,,,,,0.21324789793519638,,,,,,,80.2579365079365,,86.34651600753295,,,,,,,54.440296834364645,Q4 (High)
2026-07-31,2295.0,2525.5,2267.10009765625,2408.89990234375,9993363,0.07684394382822979,0.20605571896077945,,,0.19892721890138462,64.62152523097288,1.4907943378294857,,0,9042300000.0,6299800000.0,1511200000.0,1859300000.0,1359200000.0,1013700000.0,333200000.0,12300000.0,0.6967032723975095,0.16712562069385,0.1121064330977738,0.20562246331132567,49686464000.0,35893000.0,8094266000.0,41592198000.0,29093736000.0,5911629000.0,1101822000.0,6834030000.0,0.0008629743491796226,0.0007223899048239778,4.9214414504022495,3.765409838810927,-0.15073446539935387,-0.4877457173177018,-0.04765766524834647,-0.30420756400576565,-0.22825004150755435,41477900000.0,7094600000.0,9249200000.0,11403900000.0,0.1705752602928078,0.14278737967749125,0.22218650382022082,1.0,2.6568778490656935,387925901312.0,0.015,0.77,JBCHEPHARM.NS,,,,,0.40803587418451776,79.27308447937132,77.79960707269156,72.06896551724138,,96.56188605108055,,89.23611111111111,78.31858407079646,14.783427495291901,86.19813717188823,25.856079404466502,14.228255404725992,76.93452380952381,55.840336134453786,10.034013605442176,58.47553408853898,Q5 (Highest)
2026-08-31,21.8700008392334,23.979999542236328,20.15999984741211,21.5,161903,-0.1217320097206217,0.45074227008983847,,,0.4550238774634523,37.021715568363255,0.39917539258119983,,0,123669000.0,122673000.0,12624000.0,15867000.0,13671000.0,9659000.0,3216000.0,796000.0,0.9919462436018728,0.10207893651602261,0.07810364764007148,0.1283021614147442,328197000.0,111632000.0,177475000.0,93893000.0,208315000.0,60117000.0,61761000.0,,1.1889278220953639,0.34013717370969265,3.4651596054360665,,0.026503203957634724,6.284313725490196,1.166325082768406,-0.38304803270311705,-0.3166372367457686,447911000.0,14922000.0,24394000.0,32925000.0,0.1589255855069068,0.04546659475863582,0.11869115679357742,1.0,2.4446082688141573,2216547328.0,0.162,,EQUIPPP.NS,,,,,0.4861664952205007,94.00785854616896,7.858546168958743,7.832512315270936,,25.540275049115905,,19.29563492063492,21.091445427728615,25.98870056497175,80.10160880609652,96.67493796526054,42.38310708898944,24.751984126984127,,89.1156462585034,45.64281714924559,Q2 (Low)
2026-08-31,161.89999389648438,166.5,145.0,145.77999877929688,1828423,-0.1106095081309767,0.15323150507109373,,,0.5255935933030329,39.86058232199056,0.7163267241165086,,0,1339928000.0,532383000.0,154430000.0,197940000.0,166146000.0,87184000.0,36464000.0,42498000.0,0.39732209491853293,0.11525246132628021,0.06506618266056087,0.1477243553384958,7703482000.0,1495471000.0,2138665000.0,5564817000.0,4436683000.0,1513589000.0,731704000.0,1791247000.0,0.26873677966409315,0.1941292262382128,2.9312336440077194,1.747790186107325,-0.8734387500366009,-0.8430926499172126,0.030978728380984144,-0.35471360161055143,-0.011954975416177849,13928676000.0,747010000.0,1401158000.0,2021309000.0,0.13423801717109476,0.09697043492799749,0.19845621028490623,1.0,3.3459433539274834,7004962304.0,,,INDOFARM.NS,,,,,0.3376309889308903,73.1827111984283,9.3811394891945,24.82758620689655,,14.440078585461691,,33.87896825396825,26.745329400196656,,74.85182049110924,17.766749379652605,1.1563599798893918,45.18849206349206,,49.57482993197279,38.06627099868414,Q1 (Lowest)
2026-08-31,813.0,829.25,701.4000244140625,701.4000244140625,122123,0.03636663865863765,0.14396988101127972,,,0.41964614097473385,35.12489614220705,0.4427517179858958,,0,1761457000.0,398993000.0,151271000.0,182146000.0,154746000.0,100138000.0,36229000.0,18379000.0,0.2265130514114168,0.08587833821660137,0.0568495285436999,0.1034064413721141,,,,,,,,,,,,,0.5064406936210535,1.7124437943550572,0.3439762984394539,7.53254942058623,2.400657182330757,5047308000.0,143807000.0,232336000.0,348982000.0,,,,0.0,,8834765824.0,0.478,0.14,FAIRCHEMOR.NS,,,,,0.18722034824980197,72.44597249508841,67.19056974459725,9.310344827586208,,33.546168958742626,,37.74801587301587,17.05998033431662,64.65787821720025,,90.27295285359801,91.60382101558572,44.99007936507937,11.008403361344538,,49.32227913641032,Q3 (Medium)
2026-08-31,1608.699951171875,1720.0999755859375,1578.0,1668.800048828125,2566903,0.08370674873072326,0.1452100636471212,,,0.3499579902438308,64.40261290300668,0.47648955665184645,,0,7471640000.0,2749490000.0,1334180000.0,1926650000.0,1584590000.0,1284390000.0,293480000.0,6720000.0,0.36799016012548785,0.1785658837952578,0.17190201883388387,0.2578617278134385,,,,,,,,,,,,,0.03145737647661373,0.07467744364676943,0.24061894459286903,0.24619414932324268,0.26025327385235286,28097550000.0,4727770000.0,5048720000.0,7125840000.0,,,,0.0,,234867671040.0,0.105,,AFFLE.NS,,,,,0.21454049267336361,72.4950884086444,79.32220039292731,10.83743842364532,,54.518664047151276,,84.87103174603175,77.77777777777779,21.563088512241055,,56.72456575682382,43.84112619406737,75.29761904761905,,,55.14990668712862,Q4 (High)
2026-08-31,215.0,290.3900146484375,204.49000549316406,288.3299865722656,15222435,0.534976534249987,0.883894026939414,,,0.7598309664165732,93.14787538752731,0.9877908712428758,,0,1005550000.0,496969000.0,91470000.0,133107000.0,105615000.0,63427000.0,17867000.0,24321000.0,0.4942260454477649,0.09096514345383123,0.06307692307692307,0.13237233354880415,3583355000.0,1285163000.0,1808275000.0,1775080000.0,1783364000.0,1399539000.0,4715000.0,825397000.0,0.7240028618428466,0.35864797096575696,1.2742510212291334,0.6844875348239671,0.03152165215803504,0.056623575664689785,0.028316936984844387,-0.21405913112438357,-0.023906076983434388,3870041000.0,263221000.0,371389000.0,506291000.0,0.14828683777632556,0.07345657909975428,0.12135931689084821,1.0,1.9993197715548696,11631000576.0,0.079,0.14,COMSYN.NS,,,,,0.3497508013396233,99.11591355599214,99.3614931237721,42.70935960591133,,1.0314341846758452,,41.66666666666667,99.50835791543756,19.554300062774637,28.619813717188826,54.789081885856085,43.89140271493213,35.367063492063494,11.008403361344538,77.29591836734694,50.26128057693082,Q3 (Medium)
2026-08-31,834.0,847.0,730.0,732.1500244140625,818310,-0.17906593658530245,-0.3079213465189422,,,0.31207985873074345,12.21759438679608,2.115353478950195,,0,20482800000.0,7341800000.0,881900000.0,2185200000.0,1508800000.0,732300000.0,458000000.0,201100000.0,0.35843732302224307,0.04305563692463921,0.035751947975862675,0.10668463296033745,80771400000.0,9509100000.0,51894700000.0,27365800000.0,60343400000.0,43474500000.0,3242200000.0,16526500000.0,0.34748116261903544,0.11772855243316323,1.3880182635797997,1.0078758812637294,0.17814743235781338,0.04944110060189155,0.1739541601471828,5.329299913569576,0.4834023487882697,68189200000.0,2392100000.0,4690700000.0,7332800000.0,0.08741202522856997,0.02961568079790619,0.12720576869361003,1.0,1.6308128867396132,53834633216.0,,0.82,ISGEC.NS,,,,,0.6739689651224613,0.8840864440078585,1.8664047151277015,89.01477832512316,,69.59724950884086,,65.8234126984127,0.688298918387414,,34.97036409822184,54.39205955334988,76.06837606837607,80.90277777777779,58.02521008403362,56.88775510204081,49.274718219579974,Q3 (Medium)
2026-08-31,622.9000244140625,642.4000244140625,585.0999755859375,588.0,1960608,-0.012677336827674246,-0.10290641689045599,,,0.45389574877889105,47.87980781771703,0.502607790575086,,0,2628700000.0,857800000.0,403700000.0,583700000.0,583700000.0,453800000.0,114800000.0,15100000.0,0.3263209951687146,0.1535740099669038,0.17263286034922204,0.22204892152014305,25570100000.0,931800000.0,7367800000.0,18202300000.0,7352400000.0,4656800000.0,600000.0,633700000.0,0.051191332963416714,0.0364409994485747,1.5788524308538052,1.442771860505068,0.08812815630432991,-2.359089547768793,0.07289498387820914,-0.3662896243541405,-0.37431664701468537,9965700000.0,2106200000.0,2321300000.0,2784000000.0,0.11571065195057767,0.08236964266858557,0.12131743849985105,1.0,1.5881772069722058,17040888832.0,-0.356,0.17,JINDRILL.NS,,,,,0.173911176007516,16.601178781925345,47.59332023575639,11.724137931034482,,25.884086444007863,,47.867063492063494,42.428711897738445,2.7620841180163214,42.167654530059274,7.841191066997519,59.57767722473605,60.36706349206349,13.991596638655462,25.42517006802721,33.61539572807209,Q1 (Lowest)
